/tmp/tmp.ojTZCk3ETu ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.490029195944466 minutes:
 Average MSE:        1.556800113786827
 Average Error:      3.323785152743493
 Structure           |Error               |MSE                 |weights&biases
 [4, 5, 18, 17, 6]   |6.003676336356959   |1.3977614663377387  |583       
 [3, 19, 0, 0, 0]    |1.921430140204142   |1.4778225781234045  |105       
 [17, 12, 20, 6, 0]  |1.2329527480526028  |0.23678846259721    |660       
 [14, 7, 0, 0, 0]    |0.4898060896448085  |0.33245668381270854 |155       
 [6, 1, 16, 20, 0]   |4.25592952021498    |1.4967755961092297  |418       
 [2, 4, 3, 0, 0]     |2.5833175377940023  |2.3550793950005584  |37        
 [3, 18, 16, 1, 0]   |7.893342883310754   |2.8749052903675887  |404       
 [16, 16, 18, 17, 0] |3.9002729303245802  |0.34768670865305873 |967       
 [14, 9, 0, 0, 0]    |0.517923529123537   |0.32451365136700877 |187       
 [20, 3, 0, 0, 0]    |0.6214712676799125  |0.4524103759295496  |127       
 [11, 6, 13, 2, 0]   |1.4594402304801086  |0.8274165344107584  |227       
 [15, 8, 18, 1, 18]  |1.3618910865030844  |0.48986484065407876 |409       
 [10, 6, 14, 12, 0]  |1.9309894215121033  |0.7338376392175958  |387       
 [20, 15, 17, 18, 0] |3.3028717075945506  |0.2779795593474262  |990       
 [15, 0, 0, 0, 0]    |0.2962409601383183  |0.25434031108093497 |61        
 [2, 13, 16, 0, 0]   |4.526772301206544   |2.214461301648369   |286       
 [9, 2, 0, 0, 0]     |1.714614425622252   |1.5131419197385025  |50        
 [1, 11, 1, 2, 19]   |9.035885521691101   |6.727502191624902   |118       
 [12, 14, 10, 4, 1]  |1.7913549826040547  |0.628431847877203   |419       
 [19, 13, 4, 7, 0]   |1.6061004637192007  |0.5676837285977193  |416       
 [14, 0, 0, 0, 0]    |0.32025388145461364 |0.27772018021122813 |57        
 [1, 4, 12, 13, 0]   |10.09283369333913   |5.3485507517876805  |254       
 [6, 0, 0, 0, 0]     |1.0440969273064054  |0.9808382923550493  |25        
 [20, 11, 0, 0, 0]   |0.31521184016796766 |0.1477829910830436  |303       
 [1, 2, 17, 13, 2]   |14.875948392541646  |6.6342505467381345  |323       
Gen 1 Train time: 58.53741896549861 minutes:
 Average MSE:        0.6328973052468279
 Average Error:      0.9047207283703693
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3842462040691704  |0.3298979959725701  |61        
 [20, 11, 0, 0, 0]   |0.6176498496094899  |0.2895771369776049  |303       
 [14, 0, 0, 0, 0]    |0.40131121970123923 |0.34801209512275944 |57        
 [14, 0, 0, 0, 0]    |0.2675216497396654  |0.2319914451579697  |57        
 [14, 7, 0, 0, 0]    |0.6164262530132484  |0.41840032662821824 |155       
 [2, 11, 0, 0, 0]    |2.3706359179678667  |2.0868551899272276  |51        
 [13, 4, 0, 0, 0]    |0.3802393419783163  |0.2961306972872685  |100       
 [14, 9, 0, 0, 0]    |0.7954673624689967  |0.49841338310105143 |187       
 [20, 4, 0, 0, 0]    |0.6513494372771221  |0.4487860488207317  |149       
 [20, 11, 2, 0, 0]   |0.9864343839836752  |0.44545525728945456 |318       
 [17, 9, 0, 0, 0]    |0.3064759639500015  |0.17550005060564536 |223       
 [15, 16, 0, 0, 0]   |0.7626483664721884  |0.34439769114320845 |318       
 [14, 7, 10, 0, 0]   |0.8588671468888304  |0.47371896727758556 |238       
 [15, 17, 3, 0, 0]   |1.0969715734355676  |0.4295802404618697  |375       
 [14, 10, 2, 0, 0]   |0.6376120412354389  |0.3706395446465601  |217       
 [3, 7, 0, 0, 0]     |1.266157068846532   |1.131434597743955   |45        
 [14, 5, 0, 0, 0]    |0.6616428972246697  |0.48649468676398994 |123       
 [20, 0, 0, 0, 0]    |0.2531168849105009  |0.20671713842374784 |81        
 [2, 4, 3, 0, 0]     |2.4268252229106744  |2.21241329961517    |37        
 [15, 5, 0, 0, 0]    |0.6301806257680062  |0.45418585470159734 |131       
 [2, 5, 0, 0, 0]     |2.241429852490721   |2.0951266169393703  |27        
 [14, 7, 8, 0, 0]    |0.6353072158958456  |0.366540377744463   |220       
 [14, 1, 0, 0, 0]    |1.3794166098673233  |1.190246779451124   |59        
 [14, 9, 7, 0, 0]    |0.8445860940014759  |0.44645860130113835 |255       
 [15, 11, 20, 0, 0]  |1.6064911918413851  |0.4814525574833629  |482       
 [20, 12, 0, 0, 0]   |0.44372856208164924 |0.1969033558298773  |325       
Gen 2 Train time: 58.47163872321447 minutes:
 Average MSE:        0.4649249227673901
 Average Error:      0.7595971428382812
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.36217818201149476 |0.29578602554074607 |81        
 [14, 0, 0, 0, 0]    |0.34166899761496955 |0.29629110241921175 |57        
 [14, 10, 2, 0, 0]   |1.108433575871183   |0.6443249017628802  |217       
 [14, 9, 0, 0, 0]    |0.7241287970164334  |0.4537150115142804  |187       
 [17, 9, 11, 0, 0]   |0.7492549803353459  |0.3242709245510835  |335       
 [20, 4, 0, 0, 0]    |0.6118519828887364  |0.4215719215351668  |149       
 [14, 15, 0, 0, 0]   |0.6117643050431654  |0.30152323740633724 |283       
 [14, 7, 12, 11, 0]  |0.9704890639184213  |0.3588125596042581  |398       
 [20, 7, 0, 0, 0]    |0.39655756667397696 |0.2316716847858264  |215       
 [3, 9, 0, 0, 0]     |1.3760868800957142  |1.1993069845838351  |55        
 [14, 7, 10, 0, 0]   |1.216330150461342   |0.6708821787308612  |238       
 [20, 20, 2, 0, 0]   |1.4785930625208075  |0.3979579240337773  |525       
 [15, 0, 0, 0, 0]    |0.3031728414750101  |0.26029173945440204 |61        
 [20, 12, 0, 0, 0]   |0.5220285445641956  |0.23164876243590293 |325       
 [14, 10, 0, 0, 0]   |0.5202830827060672  |0.3132097372737059  |203       
 [17, 11, 10, 0, 0]  |0.8167742119803731  |0.3158800946725332  |380       
 [14, 10, 0, 0, 0]   |0.523429047779782   |0.3151036041453435  |203       
 [17, 9, 0, 0, 0]    |0.6443752112823765  |0.36899429479412504 |223       
 [20, 8, 0, 0, 0]    |0.6942154564386481  |0.38386171413490333 |237       
 [14, 4, 0, 0, 0]    |0.9412362109798641  |0.7203189710949559  |107       
 [20, 1, 6, 0, 0]    |1.83009662266063    |1.425280682824432   |100       
 [14, 7, 0, 0, 0]    |0.4801787639770654  |0.32592212078225735 |155       
 [14, 16, 0, 0, 0]   |0.4147863498528474  |0.19642163899507897 |299       
 [15, 5, 0, 0, 0]    |0.6564519699297812  |0.4731202243321043  |131       
 [17, 3, 8, 0, 0]    |0.5556718533611371  |0.3857455395904607  |146       
 [14, 1, 0, 0, 0]    |0.8994880023559451  |0.7761344109536739  |59        
Increasing Epochs
Gen 3 Train time: 67.59322720766068 minutes:
 Average MSE:        0.2778545118844077
 Average Error:      0.4664614898765191
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3428679010940215  |0.2943722859364336  |61        
 [14, 0, 0, 0, 0]    |0.27988758111631645 |0.2427150269450336  |57        
 [20, 20, 2, 0, 0]   |0.8979805396808835  |0.24168818348497184 |525       
 [15, 18, 0, 0, 0]   |0.46812886123502656 |0.1941718521052473  |352       
 [15, 14, 0, 0, 0]   |0.5225407419055755  |0.25690412369482396 |284       
 [14, 10, 0, 0, 0]   |0.3471748778473029  |0.2089988237038572  |203       
 [14, 4, 0, 0, 0]    |0.8585041250401664  |0.6570049056930486  |107       
 [15, 5, 0, 0, 0]    |0.2994547990823894  |0.21582404838291552 |131       
 [17, 3, 0, 0, 0]    |0.33071510106814156 |0.25183076209038235 |109       
 [14, 8, 0, 0, 0]    |0.45531780623080614 |0.29692977123793945 |171       
 [15, 0, 0, 0, 0]    |0.2865329626597229  |0.2460054235031806  |61        
