/tmp/tmp.EAd0G0AOq7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.586531174182895 minutes:
 Average MSE:        0.9723522123326095
 Average Error:      1.946797227619543
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.18082052141716037 |0.15217100858587806 |69        
 [10, 17, 1, 0, 0]   |1.002212462291206   |0.5541665633260986  |237       
 [6, 13, 18, 7, 10]  |4.443577843788292   |1.0293832871899777  |585       
 [20, 13, 2, 0, 0]   |0.7109952758482121  |0.2861928217023825  |364       
 [12, 0, 0, 0, 0]    |0.4571178228985308  |0.4044148371732398  |49        
 [13, 8, 16, 0, 0]   |1.7828975619466996  |0.8172909599377943  |312       
 [16, 12, 18, 3, 0]  |1.7392860711795726  |0.44307098936966893 |547       
 [4, 20, 0, 0, 0]    |1.9026633595730909  |1.3644544423469296  |133       
 [10, 18, 4, 6, 0]   |1.6682496594065608  |0.711254453990214   |341       
 [7, 19, 20, 0, 0]   |3.7594794461969703  |0.8515308942886882  |594       
 [15, 0, 0, 0, 0]    |0.6891155131172283  |0.591646252750121   |61        
 [9, 11, 0, 0, 0]    |0.9784227203079369  |0.6741426975956856  |149       
 [12, 0, 0, 0, 0]    |0.4699284562740613  |0.4157484801666377  |49        
 [6, 3, 0, 0, 0]     |0.8338141844276409  |0.7488289431209278  |43        
 [13, 18, 5, 12, 16] |4.270174811030013   |0.7742617887293937  |683       
 [17, 7, 12, 13, 0]  |1.0513809716111895  |0.3362516338969657  |456       
 [1, 20, 3, 9, 5]    |9.797620231670827   |5.972344253964262   |198       
 [8, 4, 2, 6, 14]    |2.1073769480504403  |1.2749972497510647  |201       
 [15, 0, 0, 0, 0]    |0.6084482248926213  |0.5223886349935406  |61        
 [18, 0, 0, 0, 0]    |0.34432837869199634 |0.2868891175949103  |73        
 [11, 18, 5, 11, 1]  |1.8458337118060484  |0.6394998143583022  |424       
 [15, 2, 14, 0, 0]   |0.5350844319369419  |0.3827662735788186  |134       
 [11, 12, 4, 0, 0]   |1.1177033916028911  |0.6226791112293184  |234       
 [2, 10, 8, 0, 0]    |3.1530482018179926  |2.2611412598337206  |133       
 [4, 9, 2, 19, 0]    |3.220350488704446   |2.191289538840695   |154       
Gen 1 Train time: 59.91568963925044 minutes:
 Average MSE:        0.36302895087049863
 Average Error:      0.6253619732431367
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.4824238776253404  |0.40598781293632175 |69        
 [18, 0, 0, 0, 0]    |0.25358291715631687 |0.2112813925371932  |73        
 [17, 18, 0, 0, 0]   |0.4154465366869255  |0.1551440334938786  |394       
 [18, 10, 0, 0, 0]   |0.45438546454209294 |0.24019374743657135 |255       
 [19, 6, 0, 0, 0]    |0.2766785093837422  |0.17466261803719102 |184       
 [11, 0, 0, 0, 0]    |0.5418350793721878  |0.48418238949731895 |45        
 [14, 20, 0, 0, 0]   |0.7178806551121687  |0.28968766829849046 |363       
 [15, 2, 14, 0, 0]   |0.6763029691143038  |0.4837852717207805  |134       
 [10, 17, 0, 0, 0]   |1.095147716243961   |0.608589834254996   |235       
 [17, 17, 1, 0, 0]   |1.8144632023859213  |0.707010096595339   |377       
 [17, 13, 0, 0, 0]   |0.4570263350485975  |0.21642433948466974 |299       
 [17, 6, 0, 0, 0]    |0.3566559549571476  |0.23551429341150656 |166       
 [12, 7, 12, 13, 0]  |1.1921879895445016  |0.43205182422803895 |406       
 [15, 0, 0, 0, 0]    |0.2504044221735183  |0.21498694374308602 |61        
 [17, 10, 16, 0, 0]  |0.9277074609824155  |0.3214096401439029  |424       
 [17, 9, 0, 0, 0]    |0.39377151238679753 |0.22548887508261034 |223       
 [18, 17, 0, 0, 0]   |0.4791984685604018  |0.1785046856420339  |395       
 [12, 0, 0, 0, 0]    |0.4072013386516592  |0.3602534288060141  |49        
 [15, 2, 14, 9, 0]   |1.1426196874617018  |0.5905645102810688  |264       
 [12, 10, 0, 0, 0]   |0.535140849972722   |0.3437896484322448  |177       
 [17, 2, 0, 0, 0]    |0.4750286545119055  |0.37931808500320124 |90        
 [6, 3, 1, 0, 0]     |1.1193965781826456  |1.0002898126263622  |45        
 [15, 3, 0, 0, 0]    |0.4487526190663037  |0.3521199118123327  |97        
 [17, 8, 0, 0, 0]    |0.3317611183976206  |0.1992210848195839  |204       
 [17, 7, 0, 0, 0]    |0.6552558429196015  |0.412619458101737   |185       
 [17, 8, 0, 0, 0]    |0.3591555438810562  |0.215671316206489   |204       
Increasing Epochs
Gen 2 Train time: 68.98125461737315 minutes:
 Average MSE:        0.4872751147822126
 Average Error:      0.6926393574060979
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.36900252469760714 |0.3168103994714948  |61        
 [18, 0, 0, 0, 0]    |0.21385483875653777 |0.17818056768171645 |73        
 [12, 0, 0, 0, 0]    |0.5612928592240091  |0.49657910695809226 |49        
 [15, 2, 14, 0, 0]   |0.5637987594787627  |0.4033067256934853  |134       
 [17, 0, 0, 0, 0]    |0.23187296013862074 |0.19513461155597817 |69        
 [15, 6, 0, 0, 0]    |0.369690990661369   |0.25535825897714126 |148       
 [18, 10, 0, 0, 0]   |0.24988247705492    |0.13209095199169646 |255       
 [17, 8, 0, 0, 0]    |0.41708447395488774 |0.25045738260114975 |204       
 [17, 18, 8, 0, 0]   |0.9046672162709231  |0.23688319208716221 |536       
 [15, 10, 0, 0, 0]   |0.3669824811965199  |0.21385839956914246 |216       
