/tmp/tmp.ACODlMkRUM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 63.87799834012985 minutes:
 Average MSE:        1.9556596106636848
 Average Error:      3.560819705256547
 Structure           |Error               |MSE                 |weights&biases
 [2, 3, 1, 18, 0]    |2.9944293272065097  |2.488683041533769   |74        
 [4, 11, 2, 0, 0]    |1.703423583145872   |1.346677029405257   |94        
 [5, 6, 7, 11, 7]    |2.51315458038509    |1.2479956307753022  |280       
 [2, 18, 2, 10, 1]   |7.123147585186077   |5.00706394460552    |141       
 [13, 10, 9, 15, 0]  |1.2463704486887561  |0.4107525501846837  |444       
 [5, 11, 15, 8, 0]   |3.2165139710431134  |1.1892206247981494  |398       
 [1, 0, 0, 0, 0]     |5.453922289787495   |5.386172579012888   |5         
 [17, 11, 0, 0, 0]   |0.6326717230282142  |0.32945892335696414 |261       
 [3, 16, 17, 0, 0]   |4.444754699850285   |1.7189689816243034  |380       
 [12, 13, 20, 0, 0]  |3.8373729935936947  |1.0830574527405372  |506       
 [4, 2, 0, 0, 0]     |1.9417250832163016  |1.824081907565977   |25        
 [6, 19, 7, 16, 0]   |3.028417771394596   |1.0182040045774505  |436       
 [15, 0, 0, 0, 0]    |0.3176520466127587  |0.2727229898028352  |61        
 [7, 1, 8, 0, 0]     |1.284847204038053   |1.1225914462559294  |54        
 [7, 0, 0, 0, 0]     |0.8496199933222416  |0.7902024534667514  |29        
 [7, 14, 18, 0, 0]   |2.664239551585123   |0.9276680363915994  |422       
 [2, 3, 16, 0, 0]    |2.9747569878200593  |2.3400267265216765  |96        
 [20, 5, 1, 2, 0]    |0.9141490221620384  |0.5858088853126404  |178       
 [3, 6, 16, 0, 0]    |2.124596344231222   |1.417056494036914   |162       
 [4, 0, 0, 0, 0]     |1.0014481645628082  |0.9597783726304476  |17        
 [7, 8, 0, 0, 0]     |1.2087706147995212  |0.9556188119483064  |94        
 [1, 18, 13, 7, 0]   |17.719594202821344  |6.650360371461768   |392       
 [7, 7, 5, 10, 7]    |2.239939728373174   |1.1635189125768337  |262       
 [12, 8, 15, 0, 0]   |1.1672230353466737  |0.5639032716228501  |291       
 [1, 1, 18, 7, 12]   |16.417751679212635  |8.091896824382772   |283       
Gen 1 Train time: 63.48106755812963 minutes:
 Average MSE:        0.6838024945141493
 Average Error:      1.0974892644912164
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.23924951381554366 |0.20540979796107833 |61        
 [17, 11, 0, 0, 0]   |0.5599198634419567  |0.2915739532230349  |261       
 [4, 11, 2, 0, 0]    |1.6759880233368691  |1.3249872755770138  |94        
 [15, 3, 0, 0, 0]    |0.40168261347785356 |0.31518578482874804 |97        
 [15, 20, 6, 0, 0]   |1.0713591978759505  |0.30848814037065475 |498       
 [17, 11, 3, 13, 0]  |0.5303288073256253  |0.22052194315186768 |351       
 [12, 13, 20, 0, 0]  |2.0147811802971214  |0.5686504222042323  |506       
 [15, 14, 11, 0, 0]  |1.1754080081542109  |0.3854342448146979  |446       
 [5, 0, 0, 0, 0]     |1.7065984939140277  |1.6193133552576477  |21        
 [3, 11, 11, 0, 0]   |1.9608691737214419  |1.1982807617102122  |197       
