/tmp/tmp.x1FGFkPHFy ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 58.93989961147308 minutes:
 Average MSE:        1.1667945730089386
 Average Error:      2.2575950015036517
 Structure           |Error               |MSE                 |weights&biases
 [3, 8, 15, 17, 0]   |5.269345318594945   |1.6436282189454001  |466       
 [7, 0, 0, 0, 0]     |0.7592201984786993  |0.7061247007776562  |29        
 [5, 19, 3, 0, 0]    |1.698199806928836   |1.0481940729756625  |193       
 [2, 12, 6, 0, 0]    |3.121346309961378   |2.27223611280973    |127       
 [20, 11, 16, 0, 0]  |1.2084612144017193  |0.3462299347455832  |500       
 [8, 4, 11, 16, 0]   |1.7539658160952427  |0.7802658411692723  |324       
 [15, 10, 1, 10, 3]  |0.7374218835137477  |0.3726576470863705  |273       
 [2, 18, 15, 0, 0]   |5.769107851635462   |2.339687679426936   |361       
 [8, 0, 0, 0, 0]     |0.5719691299653427  |0.5266757169730927  |33        
 [3, 18, 0, 0, 0]    |2.2938200928122012  |1.786428884507065   |100       
 [10, 20, 0, 0, 0]   |1.1025969641475968  |0.5599925907252554  |271       
 [8, 0, 0, 0, 0]     |0.6373107658662219  |0.5868430426788971  |33        
 [7, 0, 0, 0, 0]     |0.9927876159471974  |0.9233577553010079  |29        
 [5, 8, 20, 16, 12]  |10.253237849468597  |1.4015707100272579  |796       
 [4, 14, 3, 6, 15]   |2.7253301806702606  |1.3806985793343363  |272       
 [7, 0, 0, 0, 0]     |0.7290156754218187  |0.678032508488241   |29        
 [3, 16, 18, 0, 0]   |4.696577850836734   |1.736434940580691   |398       
 [1, 0, 0, 0, 0]     |5.307794909725839   |5.241860422419664   |5         
 [15, 0, 0, 0, 0]    |0.32186937363574414 |0.27634381342714204 |61        
 [17, 0, 0, 0, 0]    |0.2286701021177827  |0.19243921984065462 |69        
 [17, 13, 0, 0, 0]   |0.41113819379519523 |0.194694058537313   |299       
 [8, 10, 0, 0, 0]    |1.2956982551711826  |0.9479530938821311  |125       
 [19, 11, 0, 0, 0]   |0.7971878381058612  |0.3870641077685128  |289       
 [3, 10, 0, 0, 0]    |1.4635491428682852  |1.2596884211567896  |60        
 [3, 19, 3, 0, 0]    |2.2942526974254096  |1.5807622516388098  |149       
Gen 1 Train time: 59.768774541219074 minutes:
 Average MSE:        0.4581474074627426
 Average Error:      0.728265804598794
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.2516112550616532  |0.21174553725546746 |69        
 [15, 0, 0, 0, 0]    |0.46586327018594925 |0.39997105398575766 |61        
 [15, 10, 0, 0, 0]   |0.6329436287416683  |0.3688467935004585  |216       
 [15, 1, 10, 3, 0]   |1.5371905271692616  |1.1444869034308884  |118       
 [17, 13, 0, 0, 0]   |0.589944927531668   |0.2793677989251889  |299       
 [17, 13, 0, 0, 0]   |0.6031365509259523  |0.2856146782861669  |299       
 [17, 1, 0, 0, 0]    |0.4800707591633554  |0.40199253064490126 |71        
 [7, 0, 0, 0, 0]     |1.1169556349356433  |1.0388421765928244  |29        
 [17, 12, 19, 0, 0]  |1.1588845933381988  |0.3049699551469822  |534       
 [15, 14, 0, 0, 0]   |0.5254023256676965  |0.2583110047470193  |284       
 [15, 7, 0, 0, 0]    |0.683378108648389   |0.45239165869268305 |165       
 [8, 0, 0, 0, 0]     |0.5754932583140229  |0.5299207746650328  |33        
 [15, 2, 0, 0, 0]    |0.4607148512472446  |0.37720141711586697 |80        
 [17, 17, 0, 0, 0]   |0.5986498055011605  |0.2344346322432258  |375       
 [15, 2, 0, 0, 0]    |0.6840219443033454  |0.5600298015813433  |80        
 [8, 10, 0, 0, 0]    |0.8130104416844716  |0.5948111456331717  |125       
 [17, 0, 0, 0, 0]    |0.20510059139925596 |0.17260410273224053 |69        
 [17, 13, 0, 0, 0]   |0.3782292702810517  |0.1791100724767664  |299       
 [17, 14, 0, 0, 0]   |2.408280153707516   |1.0875341258508102  |318       
 [17, 19, 0, 0, 0]   |1.0142257188218802  |0.36118155767992544 |413       
 [17, 8, 0, 0, 0]    |0.41101981111576047 |0.2468155793792668  |204       
 [17, 4, 0, 0, 0]    |0.3337376303864761  |0.24234325894039496 |128       
 [7, 3, 0, 0, 0]     |0.7096195339658045  |0.6278045919627901  |49        
 [18, 0, 0, 0, 0]    |0.40904139071863105 |0.3408070054778517  |73        
 [20, 3, 0, 0, 0]    |0.40740081074511814 |0.29657421594288713 |127       
 [5, 19, 3, 0, 0]    |1.4809841260074652  |0.9141202211413979  |193       
Gen 2 Train time: 60.177902257442476 minutes:
 Average MSE:        0.42818328198826233
 Average Error:      0.7952788157909993
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.4488941602220646  |0.3777706013340786  |69        
 [17, 0, 0, 0, 0]    |0.349065804413059   |0.29375922104455904 |69        
 [15, 0, 0, 0, 0]    |0.16974013258421367 |0.14573190049151427 |61        
 [17, 8, 0, 0, 0]    |0.31514825001441105 |0.18924513080407646 |204       
 [17, 4, 0, 0, 0]    |0.3001739244860732  |0.21797100622019286 |128       
 [17, 13, 0, 0, 0]   |0.5248768744262954  |0.24855489092638341 |299       
 [3, 0, 0, 0, 0]     |1.2360727858078289  |1.1965462062875016  |13        
 [17, 6, 11, 0, 0]   |0.47098545653274854 |0.2533640065297804  |248       
 [17, 4, 9, 0, 0]    |0.4098180925131732  |0.26262138243970007 |178       
 [17, 4, 1, 0, 0]    |0.8215498093513359  |0.5935922096357696  |130       
 [14, 4, 0, 0, 0]    |0.4137098820410028  |0.31660817240908923 |107       
 [17, 13, 9, 0, 0]   |1.0565537639173175  |0.3688048802831564  |421       
 [10, 0, 0, 0, 0]    |0.689752785614988   |0.6225557930273022  |41        
 [17, 17, 0, 0, 0]   |0.8816943872985147  |0.34527648307545117 |375       
 [20, 3, 0, 0, 0]    |0.6672804210079631  |0.4857579132268522  |127       
 [15, 2, 0, 0, 0]    |0.9600126923545728  |0.7859919145758802  |80        
 [17, 20, 0, 0, 0]   |0.3698768732494657  |0.12560853119505883 |432       
 [17, 13, 13, 0, 0]  |0.9586365408838593  |0.2880148395460072  |481       
 [15, 7, 0, 0, 0]    |0.5346623022100407  |0.35394280659010563 |165       
