/tmp/tmp.66ulPgMiDQ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.39210878610611 minutes:
 Average MSE:        0.6564853909926281
 Average Error:      1.3319297862944537
 Structure           |Error               |MSE                 |weights&biases
 [6, 4, 7, 0, 0]     |0.9372313135683893  |0.750267731307725   |89        
 [13, 7, 18, 10, 11] |2.006651719813525   |0.4432893871961541  |604       
 [19, 14, 5, 0, 0]   |0.6290285176231115  |0.22122418380356051 |418       
 [16, 4, 0, 0, 0]    |0.4201430014564267  |0.31047243863883106 |121       
 [17, 18, 0, 0, 0]   |0.7092280994915096  |0.26485359319586654 |394       
 [10, 8, 0, 0, 0]    |1.2092067765331258  |0.8802622434826244  |127       
 [3, 4, 17, 0, 0]    |1.9829276920226542  |1.4399010341490066  |128       
 [2, 0, 0, 0, 0]     |2.2521547490337834  |2.2020470922186295  |9         
 [18, 2, 10, 0, 0]   |0.431719044201894   |0.30959810349173644 |133       
 [8, 18, 15, 6, 18]  |3.361948485111538   |0.5669527637416711  |712       
 [7, 4, 13, 13, 16]  |2.9955002534531747  |0.7746153055149293  |541       
 [4, 8, 0, 0, 0]     |1.2527405413201242  |1.075551533570141   |61        
 [20, 3, 15, 0, 0]   |0.6097904267564098  |0.37078238806719477 |199       
 [12, 17, 5, 15, 11] |2.6880349701677266  |0.563442738807517   |625       
 [13, 13, 0, 0, 0]   |0.6369956364483642  |0.35398792606431045 |235       
 [5, 7, 0, 0, 0]     |1.2847300260270296  |1.0920411937186696  |65        
 [12, 2, 6, 0, 0]    |0.8412134470536522  |0.6767794397844272  |87        
 [12, 10, 0, 0, 0]   |0.5277910699407177  |0.3390679414398036  |177       
 [19, 4, 4, 15, 0]   |0.625851839191909   |0.33667351565168413 |248       
 [17, 10, 10, 0, 0]  |1.3177113769158688  |0.5465641616731098  |352       
 [16, 4, 4, 7, 0]    |0.8486181413797281  |0.5424572663192683  |179       
 [15, 2, 17, 2, 0]   |2.1792923948911853  |1.4354813587639534  |167       
 [17, 15, 17, 18, 0] |2.464548212083727   |0.23740410857520972 |936       
 [19, 5, 0, 0, 0]    |0.3802383986059879  |0.2529769608538119  |163       
 [18, 3, 18, 0, 0]   |0.7049485242697717  |0.42544036478587166 |202       
Gen 1 Train time: 62.494832511742906 minutes:
 Average MSE:        0.5172630062702877
 Average Error:      1.022562588954197
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.2994457047105209  |0.1992246564158621  |163       
 [16, 4, 0, 0, 0]    |0.5006694445070329  |0.36997894252480745 |121       
 [19, 6, 2, 0, 0]    |0.5425950026316964  |0.3340742220986454  |194       
 [13, 3, 0, 0, 0]    |0.7976420201925118  |0.6449416841581397  |85        
 [6, 4, 0, 0, 0]     |0.993890026137371   |0.8749148460720295  |51        
 [19, 5, 7, 0, 0]    |0.5888644442173055  |0.35096833703618274 |207       
 [4, 14, 17, 10, 0]  |6.718768831653685   |1.794820340682551   |528       
 [17, 15, 4, 15, 4]  |1.3350170838537796  |0.35573972988649144 |529       
 [16, 4, 7, 0, 0]    |0.4830531680614089  |0.32461073512666677 |159       
 [6, 1, 0, 0, 0]     |1.205163130302558   |1.1264993857581866  |27        
 [12, 2, 6, 13, 16]  |1.4229451883755568  |0.5080013367584504  |412       
 [7, 4, 13, 0, 0]    |0.741549829737735   |0.5331177721208616  |132       
 [20, 5, 13, 0, 0]   |0.5509577478016606  |0.289790463873618   |257       
 [19, 3, 15, 0, 0]   |0.5067159677657687  |0.3127645356730765  |193       
 [12, 5, 0, 0, 0]    |0.41116858413276125 |0.31466334169267995 |107       
 [19, 10, 0, 0, 0]   |0.939480015317478   |0.4807399824969858  |268       
 [18, 5, 6, 6, 0]    |0.7531270330899279  |0.4195714848236099  |234       
 [17, 18, 0, 0, 0]   |1.1563648398307724  |0.43183199184313936 |394       
 [5, 7, 0, 0, 0]     |1.3612397206513431  |1.1570756652075678  |65        
 [20, 3, 15, 0, 0]   |0.3915637528448338  |0.238089902677919   |199       
 [18, 2, 0, 0, 0]    |0.502544406139871   |0.39630495626183365 |95        
 [13, 13, 10, 0, 0]  |1.5565249620352688  |0.6141326990570308  |372       
 [19, 5, 7, 9, 0]    |1.1379799087719256  |0.5636931029388645  |281       
 [16, 4, 8, 12, 0]   |0.6357933584390009  |0.31810248235907473 |277       
 [19, 5, 13, 0, 0]   |0.39150193363330654 |0.21008042938336988 |249       
 [20, 3, 15, 9, 0]   |0.6620612079740327  |0.28510513609983296 |337       
Gen 2 Train time: 63.22889394760132 minutes:
 Average MSE:        0.39612948835719614
 Average Error:      0.9982701118623906
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.2687411490518734  |0.1787965639260758  |163       
 [19, 5, 13, 0, 0]   |0.5539528288844893  |0.2972517838422382  |249       
 [16, 4, 8, 9, 0]    |0.6512812842256598  |0.35123012278563065 |247       
 [20, 14, 15, 15, 0] |5.188755323122535   |0.643388747327527   |835       
 [20, 5, 13, 0, 0]   |0.661668897534724   |0.34802185378534606 |257       
 [16, 4, 7, 0, 0]    |0.6772179548404907  |0.4550890723768175  |159       
 [19, 5, 2, 0, 0]    |0.5373279838528819  |0.349536740345643   |172       
 [12, 5, 0, 0, 0]    |0.32114458652393274 |0.24576884679863115 |107       
 [18, 5, 0, 0, 0]    |0.45125121787826294 |0.30628750159281204 |155       
 [19, 3, 15, 0, 0]   |0.6979649462347992  |0.4308107425304587  |193       
 [9, 4, 10, 0, 0]    |1.0103753292553035  |0.733683072421752   |128       
 [13, 13, 13, 20, 0] |2.140740980629143   |0.3683034904927645  |704       
 [19, 6, 2, 19, 0]   |0.6734754545985508  |0.3446231670467696  |268       
 [19, 18, 13, 0, 0]  |1.5916944997357463  |0.2922338829991421  |678       
 [19, 5, 5, 0, 0]    |0.49172992750683053 |0.3035145766796164  |193       
 [19, 5, 13, 10, 0]  |1.6125181359807683  |0.6143423190836649  |386       
 [19, 16, 13, 0, 0]  |1.139989072367416   |0.24684829451803428 |612       
 [12, 5, 11, 0, 0]   |1.039624481774673   |0.6645531445570706  |179       
 [19, 5, 10, 0, 0]   |0.7950635846169466  |0.4496286824845252  |228       
 [16, 4, 0, 0, 0]    |0.34238647322063415 |0.25301281451616353 |121       
 [18, 5, 16, 0, 0]   |0.675554466436719   |0.3509114054357821  |262       
 [19, 3, 15, 20, 0]  |1.8917171284180514  |0.5181372813929193  |518       
 [19, 3, 15, 3, 0]   |0.781144383587351   |0.4406540070063743  |229       
 [13, 3, 0, 0, 0]    |0.4852753808013696  |0.3923744154037687  |85        
 [20, 3, 6, 6, 0]    |0.555694214020653   |0.3404329426046159  |196       
 [18, 5, 15, 0, 0]   |0.7187332233223507  |0.3799312253329554  |255       
Gen 3 Train time: 62.640209861596425 minutes:
 Average MSE:        0.4114303969064903
 Average Error:      0.6954585815567709
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.31661072171680826 |0.21064473879358697 |163       
 [12, 5, 0, 0, 0]    |0.8654332852478235  |0.662307724999305   |107       
