/tmp/tmp.BymzNEEDR9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 59.10654581387838 minutes:
 Average MSE:        0.9870396316112147
 Average Error:      2.3468007381948657
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 5, 5, 5]    |0.7227001885579165  |0.4689492057126454  |173       
 [15, 8, 1, 11, 0]   |0.7247727258125589  |0.42236003933560146 |216       
 [6, 20, 13, 0, 0]   |2.996757644354307   |0.9851423987336269  |445       
 [1, 9, 0, 0, 0]     |5.674651696964982   |5.251476034409628   |31        
 [3, 14, 0, 0, 0]    |1.798590424825014   |1.472561292995831   |80        
 [7, 4, 0, 0, 0]     |1.1867099701332742  |1.0265305796220643  |58        
 [19, 20, 14, 0, 0]  |1.45096567393769    |0.21378794141759472 |766       
 [4, 0, 0, 0, 0]     |1.6616805062406605  |1.5925387539230695  |17        
 [20, 3, 6, 0, 0]    |1.2188330296309444  |0.8293557104395411  |154       
 [16, 9, 12, 0, 0]   |1.7065529083126885  |0.7404297581321302  |334       
 [18, 0, 0, 0, 0]    |0.24876416704658516 |0.20726648394283678 |73        
 [19, 4, 2, 13, 0]   |0.7954307160233858  |0.48245311694535653 |200       
 [11, 4, 8, 20, 0]   |1.203804005774076   |0.5382062369253792  |322       
 [13, 17, 20, 20, 17]|23.60844148639173   |0.6581017911513112  |1432      
 [1, 0, 0, 0, 0]     |5.2895809478433415  |5.223872718005468   |5         
 [17, 15, 15, 0, 0]  |0.9382736119062798  |0.22174800035830705 |577       
 [15, 5, 13, 3, 0]   |0.7712518744406152  |0.41385472465372575 |249       
 [5, 14, 0, 0, 0]    |1.3864235591132987  |1.0426102789774119  |114       
 [10, 6, 9, 6, 17]   |1.3168660116580533  |0.5407786032914169  |356       
 [20, 10, 2, 0, 0]   |0.739585077146489   |0.3537496014751183  |295       
 [17, 0, 0, 0, 0]    |0.6950983305519238  |0.5849657616151973  |69        
 [12, 0, 0, 0, 0]    |0.5302216136839153  |0.4690901925548225  |49        
 [19, 6, 16, 0, 0]   |0.6835520816804299  |0.3180799771940294  |306       
 [17, 6, 9, 7, 13]   |1.0414821807808026  |0.37368012524743427 |410       
 [13, 0, 0, 0, 0]    |0.2790280220606953  |0.2444014632208134  |53        
Gen 1 Train time: 59.05893516937892 minutes:
 Average MSE:        0.6638825141224843
 Average Error:      1.0581687249202825
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.4151441098750526  |0.34589169736518943 |73        
 [13, 0, 0, 0, 0]    |0.5099344535564087  |0.4466530840719017  |53        
 [2, 10, 0, 0, 0]    |2.5185424217019743  |2.2393380976872317  |47        
 [18, 7, 0, 0, 0]    |0.8626369473785928  |0.5297970008280596  |195       
 [13, 3, 0, 0, 0]    |0.5469205493346949  |0.44221825237276347 |85        
