/tmp/tmp.yNLxduQNcF ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.912917125225064 minutes:
 Average MSE:        1.0604940134055527
 Average Error:      1.9518886465536796
 Structure           |Error               |MSE                 |weights&biases
 [15, 7, 10, 0, 0]   |0.729870146964405   |0.3926295857259093  |248       
 [14, 4, 17, 0, 0]   |0.5068150698834605  |0.3035803084896913  |205       
 [12, 18, 4, 0, 0]   |1.0215304878593825  |0.42477399880958994 |351       
 [8, 17, 10, 0, 0]   |1.7133548354733903  |0.682804526070371   |368       
 [13, 4, 0, 0, 0]    |0.4396120374802741  |0.3423701990372533  |100       
 [8, 0, 0, 0, 0]     |0.6517603121383452  |0.6001483501581094  |33        
 [6, 8, 2, 15, 12]   |2.877702599058642   |1.2238385443134132  |342       
 [13, 6, 0, 0, 0]    |0.3952640011136519  |0.285589052714624   |130       
 [5, 15, 2, 0, 0]    |2.095020839673378   |1.4763362334303274  |140       
 [17, 13, 15, 15, 11]|3.3717497027622745  |0.3355218524405681  |923       
 [6, 20, 10, 0, 0]   |3.3039076057508647  |1.2809549966882927  |379       
 [5, 2, 0, 0, 0]     |1.4910812622290501  |1.3833409286195582  |30        
 [6, 10, 10, 5, 18]  |2.4650529963964622  |0.9533371186959526  |380       
 [10, 5, 7, 0, 0]    |0.6223798662841916  |0.4441003826046539  |135       
 [14, 19, 0, 0, 0]   |0.8585602600130483  |0.3605955139171985  |347       
 [7, 2, 11, 6, 0]    |1.9095012378904888  |1.315664782568268   |149       
 [2, 0, 0, 0, 0]     |2.4509400773498595  |2.3964096929155563  |9         
 [7, 0, 0, 0, 0]     |1.1523994942823157  |1.0718072961006093  |29        
 [7, 20, 2, 0, 0]    |1.5559734746990923  |0.8843533124308163  |226       
 [16, 10, 5, 5, 1]   |1.2520681867726302  |0.5753922674458652  |311       
 [6, 11, 6, 9, 18]   |3.0751890766095498  |1.0521822993901109  |429       
 [1, 20, 5, 2, 17]   |11.701435675314316  |6.600936557176174   |229       
 [5, 0, 0, 0, 0]     |1.0673630557207197  |1.0127720475559288  |21        
 [9, 15, 0, 0, 0]    |1.0724624509091547  |0.6619649701673982  |193       
 [13, 19, 0, 0, 0]   |1.016221411213039   |0.450945517672585   |325       
Gen 1 Train time: 62.773910168806715 minutes:
 Average MSE:        0.6047250787343517
 Average Error:      1.141766377160149
 Structure           |Error               |MSE                 |weights&biases
 [13, 6, 0, 0, 0]    |0.38830130124938733 |0.2805583116074929  |130       
 [13, 4, 0, 0, 0]    |0.7777595194580008  |0.6057197227951306  |100       
 [15, 6, 5, 0, 0]    |1.3460950001549765  |0.8540272375135947  |182       
 [13, 6, 8, 0, 0]    |0.6994240863768367  |0.4371416404770786  |188       
 [13, 8, 0, 0, 0]    |0.5467434346606828  |0.3664930842914324  |160       
 [4, 4, 0, 0, 0]     |1.6235820455897094  |1.4801372907979253  |37        
 [13, 7, 3, 0, 0]    |0.7733612248057306  |0.5119598694058842  |165       
 [13, 7, 0, 0, 0]    |0.4563391436811143  |0.31758206876241546 |145       
 [3, 4, 0, 0, 0]     |1.7814525542951358  |1.652731003450675   |30        
 [20, 6, 12, 0, 0]   |0.4473010086686104  |0.22046341559493757 |283       
 [10, 19, 0, 0, 0]   |1.3209959080064932  |0.6913465425911627  |259       
 [9, 5, 7, 0, 0]     |0.7633377580766427  |0.555684454056758   |127       
 [15, 7, 10, 0, 0]   |0.5617121288244333  |0.30216991523056713 |248       
 [14, 4, 19, 12, 0]  |2.206076005845271   |0.7162080184777204  |450       
 [13, 19, 0, 0, 0]   |0.8146736345127106  |0.3615092339089921  |325       
 [14, 6, 0, 0, 0]    |1.0299473383893443  |0.7276083714465458  |139       
 [13, 18, 0, 0, 0]   |0.9226762125251523  |0.425080419748143   |310       
 [13, 4, 4, 0, 0]    |0.5141636497294426  |0.38090180013178365 |120       
 [13, 4, 4, 0, 0]    |0.6042234649255721  |0.4476197521803047  |120       
 [13, 19, 7, 0, 0]   |1.993362013548904   |0.6423144274900706  |453       
 [8, 9, 0, 0, 0]     |0.8709668256346367  |0.6533440643529866  |115       
 [6, 20, 10, 16, 0]  |4.190507170062112   |1.0307861562295204  |561       
 [14, 4, 10, 0, 0]   |0.6920232193032982  |0.46041097243581347 |163       
 [14, 19, 18, 0, 0]  |2.1187895987436534  |0.3627087826466434  |706       
 [16, 10, 5, 5, 0]   |1.424775492937644   |0.6580425082714602  |309       
 [10, 5, 7, 1, 0]    |0.8173360661583793  |0.5803029831981029  |137       
Gen 2 Train time: 63.23383380572001 minutes:
 Average MSE:        0.414932554442455
 Average Error:      0.7087576495801299
 Structure           |Error               |MSE                 |weights&biases
 [13, 6, 0, 0, 0]    |0.6605898783987877  |0.47729425668221437 |130       
 [20, 6, 12, 0, 0]   |0.5348323468912258  |0.2636054104086589  |283       
 [15, 7, 10, 0, 0]   |0.6209079038319558  |0.3340139531249697  |248       
 [10, 6, 14, 0, 0]   |0.7539078743433596  |0.4470945877686134  |209       
 [14, 4, 10, 0, 0]   |0.6331304455494238  |0.42122893565276753 |163       
 [15, 18, 10, 0, 0]  |1.4342083634346252  |0.3774236561452329  |534       
 [16, 10, 5, 0, 0]   |0.6022874699739776  |0.29983575943897084 |279       
 [14, 4, 10, 5, 0]   |0.8449403999383022  |0.4960943310705206  |213       
 [20, 6, 4, 0, 0]    |0.6002029903498175  |0.34715380202504115 |219       
 [13, 4, 12, 0, 0]   |0.6537876169424193  |0.4295690745464812  |168       
 [13, 4, 5, 5, 0]    |0.7259361095063791  |0.49150003338774645 |156       
 [16, 10, 4, 0, 0]   |0.5803591905092165  |0.29771814174080263 |267       
 [13, 6, 16, 0, 0]   |0.8052709851357857  |0.4288807242720664  |252       
