/tmp/tmp.8dHhD6vYhT ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 58.74608870347341 minutes:
 Average MSE:        1.0739009954991414
 Average Error:      1.615166404437272
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.3151322136307225  |0.2573642191034312  |81        
 [17, 3, 16, 0, 0]   |0.5710947094531492  |0.35872463539560123 |186       
 [2, 0, 0, 0, 0]     |2.319701234981713   |2.26809075242228    |9         
 [17, 12, 5, 7, 5]   |1.220541108533227   |0.4271134082177518  |420       
 [12, 6, 10, 3, 7]   |1.2119446878591174  |0.6438601399370816  |253       
 [13, 3, 18, 13, 0]  |2.3750006905289998  |0.8436628999908775  |414       
 [15, 0, 0, 0, 0]    |0.3570392171644793  |0.30653919538779234 |61        
 [15, 1, 15, 0, 0]   |1.1674024855890004  |0.8934018341663146  |107       
 [14, 4, 19, 3, 8]   |2.4190867814867927  |1.1484234697030282  |298       
 [8, 0, 0, 0, 0]     |1.081171399242649   |0.9955549907062771  |33        
 [5, 20, 16, 0, 0]   |3.3364854801265125  |0.9850311652372999  |488       
 [14, 0, 0, 0, 0]    |0.37187802142074855 |0.3224879918909017  |57        
 [13, 0, 0, 0, 0]    |0.4559023910003972  |0.39932624194328137 |53        
 [16, 4, 19, 3, 0]   |0.6120788705232583  |0.3077725843078812  |275       
 [1, 0, 0, 0, 0]     |5.356820902237632   |5.29027740427149    |5         
 [16, 0, 0, 0, 0]    |0.4196734868258157  |0.35672921644294    |65        
 [20, 9, 18, 6, 0]   |1.1472285726535456  |0.2900648086053787  |550       
 [4, 0, 0, 0, 0]     |1.256451407794362   |1.2041710496204878  |17        
 [7, 0, 0, 0, 0]     |0.9609799412446907  |0.8937745265792938  |29        
 [1, 10, 4, 0, 0]    |7.187025213601638   |6.003108069583183   |72        
 [9, 0, 0, 0, 0]     |0.5296418728535739  |0.48284759548070044 |37        
 [19, 14, 0, 0, 0]   |0.6957632501006936  |0.288590706717806   |352       
 [12, 8, 19, 15, 3]  |2.9887863661116763  |0.5697072807430952  |663       
 [16, 6, 12, 0, 0]   |0.6616112145705872  |0.3568009610567313  |247       
 [6, 9, 3, 6, 0]     |1.36071859139682    |0.9540997399676268  |142       
Gen 1 Train time: 59.50472120046616 minutes:
 Average MSE:        0.6382348386158992
 Average Error:      0.986399433070328
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.20065947541575727 |0.16387588117727692 |81        
 [15, 0, 0, 0, 0]    |0.35762222033434204 |0.3070397379444828  |61        
 [8, 0, 0, 0, 0]     |0.5941266068872764  |0.5470785751568574  |33        
 [7, 0, 0, 0, 0]     |0.8416473022433013  |0.7827873265855251  |29        
 [9, 0, 0, 0, 0]     |0.6253562899631099  |0.5701055683165323  |37        
 [9, 0, 0, 0, 0]     |0.7487643781134118  |0.6826104545053877  |37        
 [16, 0, 0, 0, 0]    |0.31267219758397496 |0.2657763989125136  |65        
 [10, 16, 14, 0, 0]  |2.012426390268408   |0.638803204240838   |459       
 [3, 3, 16, 0, 0]    |2.297724071694564   |1.7805442909184275  |102       
 [9, 14, 0, 0, 0]    |1.1959804465207828  |0.7587873640009253  |182       
 [20, 6, 2, 0, 0]    |0.5002331170352399  |0.3011396840875745  |203       
 [2, 0, 0, 0, 0]     |2.3761418287714937  |2.3232756128281644  |9         
 [7, 6, 0, 0, 0]     |0.8155161756904002  |0.6743985503657363  |76        
 [13, 0, 0, 0, 0]    |0.5195809448326825  |0.4551024740846198  |53        
 [20, 9, 18, 6, 3]   |1.8470086541063118  |0.44644788102762567 |568       
 [19, 14, 5, 0, 0]   |0.867298968814254   |0.3050219522870063  |418       
 [19, 14, 5, 7, 0]   |1.1832701276194801  |0.37279817189918096 |462       
 [2, 6, 10, 0, 0]    |2.759817159071302   |2.122648137878507   |105       
 [16, 0, 0, 0, 0]    |0.24819125887254945 |0.21096656349496415 |65        
 [9, 19, 0, 0, 0]    |0.9709954214454011  |0.536905312948927   |237       
 [20, 19, 0, 0, 0]   |0.5552803500459565  |0.16766586857437735 |479       
 [10, 8, 0, 0, 0]    |0.5780884001551656  |0.42082909385508793 |127       
 [20, 2, 0, 0, 0]    |0.7033718385055652  |0.5409818249490227  |105       
 [16, 6, 12, 7, 0]   |1.123344394613587   |0.48861046721558427 |333       
 [19, 14, 0, 0, 0]   |1.0855716717129285  |0.45027657883213024 |352       
 [15, 0, 0, 0, 0]    |0.32569556951128137 |0.2796288279261038  |61        
Gen 2 Train time: 59.60680629809698 minutes:
 Average MSE:        0.3725858359117233
 Average Error:      0.8291289638843075
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.3612608614113474  |0.2950368622063969  |81        
 [16, 0, 0, 0, 0]    |0.6383137152546596  |0.5425769285780139  |65        
 [20, 18, 0, 0, 0]   |0.8175680108822828  |0.260820933430035   |457       
 [16, 14, 9, 0, 0]   |0.8579283381332317  |0.29207790774007675 |431       
 [20, 10, 0, 0, 0]   |0.5000011143647163  |0.24767324752973732 |281       
 [10, 16, 14, 20, 0] |4.511797323754824   |0.666440506313015   |765       
 [20, 10, 18, 6, 0]  |1.526108059074096   |0.35001500371174765 |589       
 [8, 2, 3, 0, 0]     |1.4167346998032344  |1.2347329557114304  |55        
 [16, 17, 0, 0, 0]   |0.43261980254362453 |0.17810251083939418 |355       
 [15, 0, 0, 0, 0]    |0.5427235361730218  |0.46596011894081296 |61        
 [16, 14, 10, 0, 0]  |1.263642112429043   |0.41333293065732235 |447       
 [15, 8, 0, 0, 0]    |0.779634267443313   |0.49463737672221536 |182       
 [16, 10, 0, 0, 0]   |0.43889757751293446 |0.2475880007077312  |229       
 [19, 0, 0, 0, 0]    |0.22302521373510018 |0.1839722316262284  |77        
 [15, 19, 0, 0, 0]   |0.7434330684965449  |0.2955324780635112  |369       
 [20, 7, 0, 0, 0]    |0.28685628801078655 |0.16758343584830201 |215       
 [16, 1, 0, 0, 0]    |1.2373291924541763  |1.0465040988666303  |67        
 [15, 11, 0, 0, 0]   |0.3787045920729547  |0.21150665436710855 |233       
 [20, 19, 0, 0, 0]   |0.5627283334296633  |0.16991477329980728 |479       
 [15, 16, 0, 0, 0]   |0.45874637454253303 |0.20716125433217908 |318       
 [19, 14, 5, 15, 0]  |1.1140590389074818  |0.3051383914959021  |518       
 [17, 0, 0, 0, 0]    |0.38520725470494194 |0.3241743581073718  |69        
 [15, 13, 0, 0, 0]   |0.6549695162275678  |0.33599245166954467 |267       
 [15, 18, 0, 0, 0]   |0.5704835068552535  |0.23662681003974143 |352       
 [20, 6, 0, 0, 0]    |0.46748978433925725 |0.28855263033345446 |193       
 [15, 10, 0, 0, 0]   |0.38709147843540354 |0.22557688256709532 |216       
Increasing Epochs
Gen 3 Train time: 69.0353050629298 minutes:
 Average MSE:        0.28172199273956744
 Average Error:      0.5142714409512535
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.2062295693561164  |0.17011760000743636 |77        
 [20, 7, 0, 0, 0]    |0.3666373585095444  |0.2141920913620159  |215       
 [19, 9, 0, 0, 0]    |0.4312225011863264  |0.23255440576597622 |247       
 [16, 10, 0, 0, 0]   |0.24712767547917697 |0.13940803099929452 |229       
 [16, 4, 0, 0, 0]    |0.459535125418658   |0.33958197693251    |121       
 [16, 10, 3, 10, 0]  |0.8654606289728323  |0.40677568224859895 |302       
 [19, 20, 0, 0, 0]   |0.6522061853415839  |0.197425391244949   |478       
 [15, 0, 0, 0, 0]    |0.2996445450559123  |0.25726248918327116 |61        
 [19, 10, 0, 0, 0]   |0.4137931067907628  |0.2117414821737761  |268       
 [19, 10, 0, 0, 0]   |0.3465547234730572  |0.1773350246736066  |268       
 [16, 17, 0, 0, 0]   |0.7075544450403752  |0.2912886152606425  |355       
 [15, 11, 0, 0, 0]   |0.301433548206129   |0.1683507478641899  |233       
 [15, 16, 0, 0, 0]   |0.5767817198263815  |0.26046380131997393 |318       
 [20, 0, 0, 0, 0]    |0.33504550453804444 |0.2736271346114849  |81        
 [15, 8, 0, 0, 0]    |0.2718290187804174  |0.17246136859459654 |182       
 [20, 10, 1, 0, 0]   |0.7385512463160905  |0.36401333151335147 |283       
 [11, 20, 0, 0, 0]   |1.1416895944808172  |0.547446393008385   |294       
 [17, 0, 0, 0, 0]    |0.5921690689871058  |0.4983447883840496  |69        
 [20, 7, 4, 0, 0]    |0.26449103975889005 |0.14371143631541097 |244       
 [15, 19, 0, 0, 0]   |0.7492370281414993  |0.29783969124670034 |369       
 [19, 11, 0, 0, 0]   |0.31974433657906126 |0.15524767242569837 |289       
 [20, 6, 0, 0, 0]    |0.33830278325968577 |0.2088134569543222  |193       
 [20, 19, 0, 0, 0]   |0.5013563079623371  |0.1513836043951334  |479       
 [13, 11, 5, 0, 0]   |0.8034332070607522  |0.4204787967455615  |259       
 [5, 11, 3, 0, 0]    |1.0698803411395852  |0.7906078583098828  |121       
 [19, 6, 0, 0, 0]    |0.3711468550714501  |0.23429893968793575 |184       
Increasing Epochs
Gen 4 Train time: 78.36872995694479 minutes:
 Average MSE:        0.3178993294839411
 Average Error:      0.54281603276339
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.24638262224492832 |0.20323962519394612 |77        
 [16, 10, 0, 0, 0]   |0.5110146935208179  |0.2882702315607214  |229       
 [19, 10, 0, 0, 0]   |0.3901130626396712  |0.19962420045929852 |268       
 [16, 1, 0, 0, 0]    |0.6718212480319165  |0.5682107025832038  |67        
 [19, 8, 0, 0, 0]    |0.6101283373592755  |0.346772631362452   |226       
 [17, 0, 0, 0, 0]    |0.20399528812935389 |0.17167392560380368 |69        
 [4, 13, 0, 0, 0]    |1.503154826852058   |1.1972965225698444  |91        
 [20, 0, 0, 0, 0]    |0.2277155679162965  |0.1859722261943914  |81        
 [19, 6, 0, 0, 0]    |0.28710419472564236 |0.18124418268673384 |184       
 [15, 9, 0, 0, 0]    |0.4320039970774025  |0.26267954802596283 |199       
 [16, 17, 0, 0, 0]   |0.6423825015942298  |0.26445838997785265 |355       
 [19, 14, 0, 0, 0]   |0.2955743794876291  |0.12259920174235547 |352       
 [20, 5, 0, 0, 0]    |0.2703802812122016  |0.17632509414071068 |171       
 [15, 11, 0, 0, 0]   |0.5178755277996729  |0.28923367330705196 |233       
 [19, 10, 3, 0, 0]   |0.37106493578120586 |0.17792766234125673 |294       
 [20, 6, 0, 0, 0]    |0.2755849429488218  |0.17010159971852842 |193       
 [20, 6, 4, 0, 0]    |0.47123283284796436 |0.2725582381168343  |219       
 [19, 20, 0, 0, 0]   |0.5497908647127967  |0.16642386872178314 |478       
 [19, 17, 13, 0, 0]  |1.6915811960469076  |0.3372818697331324  |645       
 [19, 11, 0, 0, 0]   |0.36335511760213085 |0.17642231563888403 |289       
 [3, 6, 0, 0, 0]     |1.4864105237763756  |1.344959860475294   |40        
 [11, 20, 0, 0, 0]   |0.7903065513998618  |0.3789563056598565  |294       
 [16, 4, 0, 0, 0]    |0.26570559100537466 |0.19634805890719104 |121       
