/tmp/tmp.KK5Tnckzbt ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 64.74565154314041 minutes:
 Average MSE:        1.3744361154032685
 Average Error:      3.1004360481163564
 Structure           |Error               |MSE                 |weights&biases
 [7, 3, 16, 0, 0]    |1.5670558992529713  |1.1436199606325104  |126       
 [10, 6, 18, 9, 0]   |1.762803059366248   |0.6436534553644311  |403       
 [1, 10, 5, 0, 0]    |6.370343256281355   |5.163699884964089   |84        
 [11, 10, 13, 5, 0]  |1.7130505989963105  |0.675890469888288   |372       
 [19, 19, 0, 0, 0]   |0.6786498647457675  |0.21650320076019244 |457       
 [15, 8, 1, 0, 0]    |0.5850799302351988  |0.3693513912718142  |184       
 [16, 0, 0, 0, 0]    |0.6495969141731284  |0.5521678292079261  |65        
 [3, 17, 20, 19, 7]  |16.6291862582699    |1.4207137126017408  |984       
 [13, 11, 3, 15, 9]  |0.9622812821786983  |0.31792223251863794 |443       
 [10, 15, 6, 9, 0]   |1.8036246894922248  |0.7260026285857655  |364       
 [8, 8, 8, 12, 11]   |2.744325595954517   |0.9342935098379478  |431       
 [7, 4, 8, 9, 3]     |1.6158178426715157  |0.9606369092450867  |208       
 [3, 17, 5, 0, 0]    |2.906779310906876   |1.886165066252076   |173       
 [16, 0, 0, 0, 0]    |0.22710800708849258 |0.19304546024424246 |65        
 [4, 0, 0, 0, 0]     |1.5921460818953659  |1.5258976246050515  |17        
 [5, 17, 10, 18, 1]  |17.680251054361296  |4.866856552957453   |516       
 [2, 0, 0, 0, 0]     |2.362597929776626   |2.310033048829511   |9         
 [19, 14, 18, 0, 0]  |1.9621101951605668  |0.41025372233316537 |626       
 [9, 3, 7, 20, 0]    |1.4636059119551985  |0.7526937755134822  |266       
 [9, 12, 0, 0, 0]    |0.5734095887061363  |0.3843679418987743  |160       
 [1, 9, 0, 0, 0]     |5.601459474039972   |5.183741973339162   |31        
 [17, 0, 0, 0, 0]    |0.4812563120915475  |0.4050052384836274  |69        
 [13, 18, 0, 0, 0]   |0.9435276085258821  |0.4346867367247859  |310       
 [16, 12, 3, 0, 0]   |1.1314840961148223  |0.5411981128937425  |295       
 [2, 8, 13, 0, 0]    |3.5033504406683007  |2.3425024461282065  |161       
Gen 1 Train time: 64.38431043624878 minutes:
 Average MSE:        0.7937305112964441
 Average Error:      1.2230026614111051
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.3060101364612245  |0.2601135397641106  |65        
 [17, 0, 0, 0, 0]    |0.32806006863630366 |0.27608166998904055 |69        
 [1, 0, 0, 0, 0]     |5.246185942096353   |5.181016773677437   |5         
 [13, 11, 3, 15, 9]  |1.2752508835032996  |0.4213223466082601  |443       
 [19, 19, 0, 0, 0]   |0.8335996496266551  |0.2659353544030473  |457       
 [13, 2, 0, 0, 0]    |0.7716798226498988  |0.6477920449093943  |70        
 [13, 18, 0, 0, 0]   |0.6142837484801715  |0.2830028455310327  |310       
 [7, 0, 0, 0, 0]     |1.0442691877919568  |0.9712390018580488  |29        
 [16, 8, 1, 0, 0]    |0.8345359375814584  |0.5125384881292895  |195       
 [15, 0, 0, 0, 0]    |0.21096993818018134 |0.18113011678202545 |61        
 [6, 0, 0, 0, 0]     |1.0564677098724222  |0.9924595670947909  |25        
 [17, 11, 0, 0, 0]   |0.4736585223567972  |0.24665402472486003 |261       
 [14, 14, 0, 0, 0]   |0.6930132547753032  |0.3555084881699175  |267       
 [13, 18, 17, 0, 0]  |1.9339551078587602  |0.39834659326504407 |632       
 [16, 12, 1, 0, 0]   |0.5878709708480861  |0.30157160580275905 |267       
 [15, 8, 3, 0, 0]    |1.5969114046146209  |0.9589382382259654  |204       
 [11, 10, 13, 5, 0]  |1.1085696254608874  |0.43739025893084926 |372       
 [1, 19, 6, 0, 0]    |7.872011186035699   |5.17227991533331    |168       
 [16, 14, 0, 0, 0]   |0.46980710281899957 |0.22136705163389597 |301       
 [16, 19, 0, 0, 0]   |0.7167980614009706  |0.26969566514475324 |391       
 [9, 1, 0, 0, 0]     |0.8905694011125944  |0.8078375890671824  |39        
 [16, 20, 0, 0, 0]   |0.5578438507779571  |0.20065340891015718 |409       
 [16, 12, 0, 0, 0]   |0.5492513611653937  |0.2831724821324887  |265       
 [16, 7, 0, 0, 0]    |0.4576349771593102  |0.29547134864477065 |175       
 [16, 11, 6, 0, 0]   |0.5138757440981654  |0.23438885115292862 |314       
 [16, 11, 0, 0, 0]   |0.8549856013252686  |0.46108602382219194 |247       
Gen 2 Train time: 64.0842034816742 minutes:
 Average MSE:        0.3911399106035862
 Average Error:      0.6832019256106486
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3870912221791287  |0.3323406115743418  |61        
 [16, 0, 0, 0, 0]    |0.2941340423973395  |0.250018668720778   |65        
 [16, 4, 0, 0, 0]    |0.3557164773495062  |0.26286326751576156 |121       
 [17, 0, 0, 0, 0]    |0.23592765692317558 |0.19854687524363873 |69        
 [16, 9, 0, 0, 0]    |0.35489195421427777 |0.20941404919848808 |211       
 [17, 14, 10, 0, 0]  |0.9896139627219293  |0.31023030172179855 |464       
 [16, 14, 0, 0, 0]   |0.8558644319189672  |0.40327228931916237 |301       
 [19, 19, 0, 0, 0]   |0.9117366059600721  |0.2908626431606771  |457       
 [14, 14, 0, 0, 0]   |0.8969267793147861  |0.46011397490037764 |267       
 [16, 5, 0, 0, 0]    |0.48412092550718205 |0.3420082028099929  |139       
 [16, 1, 0, 0, 0]    |0.8474154593229867  |0.7167241806244677  |67        
 [16, 12, 0, 0, 0]   |0.6582072326639311  |0.3393458605829038  |265       
 [15, 20, 0, 0, 0]   |1.1846200031847283  |0.45132031928854166 |386       
 [16, 7, 0, 0, 0]    |0.6209115507613594  |0.400890627791129   |175       
 [13, 2, 0, 0, 0]    |0.6311557045521659  |0.5298280873848512  |70        
 [17, 17, 0, 0, 0]   |0.43726073229841045 |0.17123376309287508 |375       
 [16, 12, 0, 0, 0]   |0.39493105088928154 |0.20361097642839354 |265       
 [17, 11, 2, 0, 0]   |0.7272329411744541  |0.3647626399296287  |276       
 [15, 12, 0, 0, 0]   |0.48013549463029276 |0.2569980107384825  |250       
 [16, 8, 1, 0, 0]    |0.5807349194160337  |0.3566640862273536  |195       
 [4, 7, 0, 0, 0]     |1.680829202156151   |1.4649003861574026  |55        
 [16, 7, 12, 0, 0]   |0.8705268351988665  |0.4366354280155614  |276       
 [15, 11, 0, 0, 0]   |0.7710848076209001  |0.4306511494895845  |233       
 [16, 20, 0, 0, 0]   |0.9056730968026399  |0.3257657030336298  |409       
 [16, 12, 1, 0, 0]   |0.6085864114731887  |0.31219840828836476 |267       
 [15, 10, 0, 0, 0]   |0.5979205652451071  |0.3484371644550542  |216       
Increasing Epochs
Gen 3 Train time: 74.72791031599044 minutes:
 Average MSE:        0.6000368579035258
 Average Error:      0.9655578724892523
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.17343189365724987 |0.14595304765158063 |69        
 [16, 0, 0, 0, 0]    |0.4883043469561256  |0.4150665518397122  |65        
 [17, 20, 0, 0, 0]   |0.9008444423376512  |0.3059227419199767  |432       
 [16, 9, 0, 0, 0]    |0.9101895082145294  |0.5370830986438767  |211       
 [15, 0, 0, 0, 0]    |0.267422049110634   |0.22959757870397857 |61        
 [16, 9, 17, 0, 0]   |0.5271920043918148  |0.19935054683166484 |389       
 [13, 2, 0, 0, 0]    |0.5321749979068046  |0.4467380382707053  |70        
 [16, 16, 14, 0, 0]  |0.5571369269853922  |0.13299493424772518 |573       
 [16, 0, 0, 0, 0]    |0.2718504960897995  |0.23107729581208628 |65        
 [16, 4, 0, 0, 0]    |0.31700338663735267 |0.23425551339637013 |121       
 [16, 12, 0, 0, 0]   |0.5659019777585842  |0.29175688767629276 |265       
 [16, 9, 0, 0, 0]    |0.35141651414808145 |0.2073632673524466  |211       
 [15, 17, 18, 0, 0]  |1.127188884965491   |0.21647652235595222 |660       
 [1, 2, 16, 0, 0]    |6.278459206360135   |5.244209948633477   |72        
 [16, 14, 13, 0, 0]  |0.7686001112720015  |0.2229774896079882  |495       
 [17, 7, 0, 0, 0]    |0.3264298284822827  |0.20555528102803775 |185       
 [4, 12, 0, 0, 0]    |1.4756054895757649  |1.193116041417052   |85        
 [16, 4, 16, 0, 0]   |0.3766802763845955  |0.2211622852382487  |213       
 [16, 1, 0, 0, 0]    |0.8263876516657275  |0.6989393525951106  |67        
 [2, 0, 0, 0, 0]     |2.436416030488211   |2.382208788127526   |9         
 [20, 6, 0, 0, 0]    |0.266740784753409   |0.1646426459705262  |193       
 [16, 20, 12, 0, 0]  |2.379343901797876   |0.4650198333984946  |653       
 [17, 17, 12, 0, 0]  |1.2984490067805279  |0.30004298852257866 |586       
 [16, 20, 0, 0, 0]   |0.593067962363565   |0.21332333088855188 |409       
 [16, 5, 0, 0, 0]    |0.577624701281608   |0.40806413351585447 |139       
 [16, 10, 0, 0, 0]   |0.510642304355347   |0.288060161845854   |229       
Gen 4 Train time: 74.99074904123943 minutes:
 Average MSE:        0.4205998526834452
 Average Error:      0.7590702059454946
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3543128708248209  |0.2981749332753231  |69        
 [20, 6, 0, 0, 0]    |0.39114519960315364 |0.2414298236427071  |193       
 [16, 0, 0, 0, 0]    |0.2245448629848969  |0.1908667465146198  |65        
 [17, 14, 0, 0, 0]   |0.5198272661034085  |0.23474423877341213 |318       
 [17, 16, 0, 0, 0]   |0.4000654346911538  |0.1642891722332901  |356       
 [17, 7, 0, 0, 0]    |0.40357614515924545 |0.25413488810175766 |185       
 [17, 12, 0, 0, 0]   |0.7422817511001788  |0.3686062088689017  |280       
 [20, 6, 19, 0, 0]   |0.47816759377767376 |0.204887548685924   |339       
 [17, 17, 0, 0, 0]   |0.4401220316819506  |0.17235426403107623 |375       
 [15, 0, 0, 0, 0]    |0.2601320572591478  |0.22333869136301546 |61        
 [16, 9, 0, 0, 0]    |0.40756762148836495 |0.24049681860790256 |211       
 [3, 0, 0, 0, 0]     |1.6265682351480828  |1.574554567805831   |13        
 [17, 19, 0, 0, 0]   |0.8700937438162761  |0.30985391899168724 |413       
 [16, 20, 0, 0, 0]   |0.5070693569156852  |0.1823900987294594  |409       
 [16, 18, 0, 0, 0]   |0.44101731388192406 |0.17357054829922938 |373       
 [18, 6, 4, 0, 0]    |0.3867011444031291  |0.23396046732204168 |201       
 [16, 16, 17, 0, 0]  |2.096810756659723   |0.437323319037808   |627       
 [13, 2, 0, 0, 0]    |0.4977107022552881  |0.41780674332017415 |70        
 [3, 5, 0, 0, 0]     |1.6499322416854714  |1.5116990567774655  |35        
 [17, 1, 3, 0, 0]    |0.8442080207736623  |0.6929091780096598  |79        
 [15, 1, 0, 0, 0]    |1.156984379722634   |0.9883849293042347  |63        
 [11, 0, 0, 0, 0]    |0.5682075773668781  |0.5077487837419989  |45        
 [10, 6, 20, 0, 0]   |0.9783278644750926  |0.5145768197251743  |257       
 [16, 9, 17, 20, 0]  |2.385448644216039   |0.36399586089854064 |752       
 [17, 12, 9, 0, 0]   |0.7262754861150267  |0.27121975607784315 |394       
 [20, 6, 19, 0, 0]   |0.37872705247394906 |0.1622787876304967  |339       
Increasing Epochs
Gen 5 Train time: 85.9875743707021 minutes:
 Average MSE:        0.3295273700788073
 Average Error:      0.6645184776698841
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.38057822461772756 |0.32349761451448417 |65        
 [15, 0, 0, 0, 0]    |0.6274251775299148  |0.5386814664604782  |61        
 [17, 7, 0, 0, 0]    |0.22727431231858258 |0.14311631800411861 |185       
 [17, 12, 9, 0, 0]   |0.5674888812730366  |0.21192260911775335 |394       
 [20, 6, 6, 0, 0]    |0.4741733517412954  |0.2635051667131322  |235       
 [17, 12, 0, 0, 0]   |0.5899414956899213  |0.29295627685633807 |280       
 [16, 18, 0, 0, 0]   |0.4637900192517629  |0.18253316911451556 |373       
 [17, 19, 4, 0, 0]   |1.0826164820707844  |0.32771228998558743 |478       
 [16, 20, 14, 0, 0]  |1.553004952622026   |0.2719034424315372  |697       
 [16, 4, 1, 0, 0]    |0.6181845434462062  |0.45454050377885447 |123       
 [17, 17, 0, 0, 0]   |0.5214392616959587  |0.20419854885033328 |375       
 [13, 2, 0, 0, 0]    |0.44322435550634537 |0.37206779700570874 |70        
 [15, 19, 0, 0, 0]   |0.4956747593873284  |0.19704260701170656 |369       
 [7, 18, 0, 0, 0]    |1.2896830503928303  |0.8141558176004784  |184       
 [17, 14, 0, 0, 0]   |0.3481816000236482  |0.15723227691600308 |318       
 [20, 6, 19, 0, 0]   |0.846087014072015   |0.3625354301379302  |339       
 [17, 0, 0, 0, 0]    |0.19884955716736297 |0.16734349306074484 |69        
 [17, 12, 20, 1, 0]  |1.7749370226134193  |0.4487743593764571  |550       
 [16, 14, 0, 0, 0]   |0.34507712165524557 |0.1625958921199258  |301       
 [16, 9, 0, 0, 0]    |0.23794231954652034 |0.14040460489513323 |211       
 [15, 1, 0, 0, 0]    |0.638762677334144   |0.5456801446450339  |63        
 [17, 0, 0, 0, 0]    |0.25651536515693135 |0.21587263175539428 |69        
 [15, 5, 0, 0, 0]    |0.5199126517910785  |0.37471315757466034 |131       
 [5, 7, 0, 0, 0]     |1.0047298555619744  |0.8540365435575185  |65        
 [17, 16, 19, 0, 0]  |1.2106851775504663  |0.22006913363049674 |682       
 [16, 9, 2, 0, 0]    |0.5613011894004607  |0.32062032693466347 |224       
Result:  [17]
Fold 0
Fold 0 Train time: 18.35418096383413 minutes, MSE: 0.5769579732944511
Fold 1
Fold 1 Train time: 18.39337316354116 minutes, MSE: 0.3146942907915108
Fold 2
Fold 2 Train time: 18.395643711090088 minutes, MSE: 0.305514292203043
Fold 3
Fold 3 Train time: 18.05753810008367 minutes, MSE: 0.44134942414620626
Fold 4
Fold 4 Train time: 18.04537497361501 minutes, MSE: 0.1717110274791612
Total Time: 520.1742754817009 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [17]
 MSE after 5-Fold CV: 0.36204540158287446
 Weights and Biases: 69
 Objective Function Value: 0.4302083484841669
~/workspace/SolarCellResearch
