CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
1,0.429173069,184,0.679841893,"[11, 4, 17]"
2,0.045066778,77,0.054633396,[19]
3,0.034508066,106,0.044978883,"[15, 2, 7]"
4,0.313899665,114,0.417411855,"[10, 3, 10]"
5,0.064743825,135,0.09073456,"[12, 7]"
6,0.092531549,101,0.119110264,"[14, 2, 7]"
7,0.04913779,90,0.06153637,"[16, 1, 8]"
8,0.011798105,179,0.018456912,"[18, 4, 8]"
9,0.025719788,144,0.036864929,"[20, 3, 4]"
10,0.055701236,102,0.071880307,"[15, 2, 6]"
1,0.229848901,73,0.275867904,[18]
2,0.043447853,81,0.053200161,[20]
3,0.048466866,57,0.055889716,[14]
4,0.117079338,121,0.158436172,"[16, 4]"
5,0.078966772,88,0.098398657,"[17, 1, 6]"
6,0.01266542,72,0.01516326,"[16, 1, 2]"
7,0.106546671,158,0.158156194,"[19, 2, 15]"
8,0.156297196,158,0.232005087,"[19, 3, 8]"
9,0.009353675,91,0.011743141,"[17, 1, 3, 3]"
10,0.0666969,98,0.085213381,"[9, 4, 5]"
1,0.242202986,103,0.31333602,"[16, 3]"
2,0.053311907,69,0.063349037,[17]
3,0.714890734,88,0.890808708,"[9, 3, 6]"
4,0.0194162,77,0.023537803,[19]
5,0.013423094,85,0.016601228,"[14, 2, 3]"
6,0.013707947,84,0.016911194,"[16, 1, 6]"
7,0.091223118,240,0.166219358,"[17, 6, 10]"
8,0.013713854,105,0.01783043,"[18, 2, 3]"
9,0.011737013,149,0.017034613,"[14, 6, 2]"
10,0.009055771,109,0.011892432,"[18, 2, 4]"
