/tmp/tmp.7tFOfVY4vb ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 10.586643703778584 minutes:
 Average MSE:        1.850268602189466
 Average Error:      2.254120976800368
 Structure           |Error               |MSE                 |weights&biases
 [1, 16, 1, 12, 17]  |9.423274626901803   |6.877000981894833   |315       
 [5, 5, 0, 0, 0]     |1.7699059802489805  |1.6819039018783932  |51        
 [18, 16, 9, 13, 17] |1.4059288405316146  |0.5733254091555896  |897       
 [17, 0, 0, 0, 0]    |0.5722776946807576  |0.5341220408591983  |69        
 [9, 1, 0, 0, 0]     |1.4651224204310747  |1.4090825268358274  |39        
 [4, 15, 9, 6, 0]    |1.8277010538155536  |1.3567049409057044  |298       
 [15, 14, 7, 11, 0]  |1.1935049040718897  |0.7429654587598525  |474       
 [16, 17, 2, 0, 0]   |1.1179278349531796  |0.7675718596517817  |376       
 [17, 2, 0, 0, 0]    |0.7486378970068766  |0.6842035205504543  |90        
 [13, 20, 0, 0, 0]   |0.8943235579251897  |0.6365529674786178  |340       
 [14, 0, 0, 0, 0]    |0.7025232572506568  |0.6635993023910228  |57        
 [18, 0, 0, 0, 0]    |0.6694015302476065  |0.6222762181387108  |73        
 [1, 19, 4, 0, 0]    |8.171970413423502   |7.204530443948968   |126       
 [1, 16, 5, 0, 0]    |7.6801477872241035  |6.7709323147075695  |126       
 [14, 12, 18, 17, 0] |1.5676041900280246  |0.7064862495885562  |797       
 [13, 16, 15, 7, 10] |1.254091724047122   |0.609821848999081   |721       
 [8, 0, 0, 0, 0]     |1.222118668626225   |1.1824469362894832  |33        
 [6, 0, 0, 0, 0]     |0.9186258890400308  |0.8959449350265813  |25        
 [5, 9, 11, 0, 0]    |1.2542064609688193  |1.03614082967612    |191       
 [8, 12, 0, 0, 0]    |0.6309548859854539  |0.5457900423245637  |145       
 [1, 2, 9, 0, 0]     |5.248821928475796   |5.022880916526222   |44        
 [13, 20, 0, 0, 0]   |0.8616367107669278  |0.6132874397266896  |340       
 [11, 0, 0, 0, 0]    |0.629139975090997   |0.6014562319075323  |45        
 [7, 16, 12, 10, 0]  |1.2914059298977452  |0.7879910815929537  |494       
 [4, 2, 1, 0, 0]     |3.831770258369276   |3.7296966559223472  |27        
Gen 1 Train time: 10.866403575738271 minutes:
 Average MSE:        0.8996806224384718
 Average Error:      1.1539751757892385
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7711040573688023  |0.7196919898588556  |69        
 [11, 0, 0, 0, 0]    |0.6581154149704979  |0.6291566794673416  |45        
 [7, 16, 2, 0, 0]    |1.428211744456444   |1.185806499465269   |186       
 [16, 17, 12, 10, 0] |1.1418569665135636  |0.5704417919067993  |694       
 [11, 12, 12, 10, 0] |0.8243527667122327  |0.5131655759526031  |474       
 [7, 0, 0, 0, 0]     |1.3251061542826077  |1.2872299354361503  |29        
 [14, 2, 5, 0, 0]    |0.7714092694223246  |0.7029031123658165  |93        
 [17, 8, 0, 0, 0]    |0.6862307467738006  |0.55959535194579    |204       
 [5, 5, 0, 0, 0]     |1.3913627209117925  |1.3221823166564384  |51        
 [17, 13, 0, 0, 0]   |0.7635488824674533  |0.5662168583573269  |299       
 [2, 6, 13, 12, 0]   |5.452927124353211   |4.055818641004149   |296       
 [12, 16, 15, 7, 10] |1.621670209919284   |0.8036886081765562  |702       
 [14, 0, 0, 0, 0]    |0.8059540683243462  |0.7612994331209991  |57        
 [18, 0, 0, 0, 0]    |0.5725084471838349  |0.5322043276988706  |73        
 [8, 12, 3, 0, 0]    |0.8284743433453826  |0.6954686040484404  |175       
 [13, 20, 1, 0, 0]   |1.8773398622825817  |1.333565000801406   |342       
 [8, 12, 11, 0, 0]   |1.5934039306323502  |1.1958683387146647  |287       
 [14, 17, 0, 0, 0]   |0.8109619367523979  |0.5918309988975865  |315       
 [14, 12, 4, 0, 0]   |0.9130201151634034  |0.6907361495591126  |279       
 [14, 12, 0, 0, 0]   |0.7026953521014555  |0.5555304615410112  |235       
 [14, 17, 2, 0, 0]   |0.9563647909252925  |0.6834403771841567  |336       
 [16, 0, 0, 0, 0]    |0.6265267389992774  |0.5870978220521693  |65        
