/tmp/tmp.diHMtDbZov ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k.mat
  Evaluating with: datasets/N2dataset100k.mat
Gen 0 Train time: 10.665881498654683 minutes:
 Average MSE:        1.160137033365358
 Average Error:      1.376160163793709
 Structure           |Error               |MSE                 |weights&biases
 [13, 17, 16, 0, 0]  |0.8814776672907764  |0.49255181668591713 |582       
 [4, 11, 0, 0, 0]    |0.6495469722643644  |0.6002073351746982  |79        
 [12, 0, 0, 0, 0]    |0.4254298027584725  |0.40508623019797446 |49        
 [11, 6, 11, 13, 0]  |0.5436352531042208  |0.38232786711377537 |352       
 [5, 0, 0, 0, 0]     |1.2782734866139673  |1.2517096399987222  |21        
 [16, 6, 19, 14, 6]  |1.0461351820364375  |0.5406963648942494  |660       
 [12, 0, 0, 0, 0]    |0.5305080375039504  |0.5051397424646483  |49        
 [12, 18, 0, 0, 0]   |0.9865603268832326  |0.7389457262015884  |289       
 [10, 5, 4, 15, 8]   |0.8962285479679333  |0.6501450268970719  |321       
 [1, 2, 19, 15, 0]   |5.114076098617225   |3.497319287619603   |380       
 [1, 6, 0, 0, 0]     |2.8886311100863766  |2.8257751761071352  |22        
 [1, 0, 0, 0, 0]     |4.052524344489398   |4.032312294999096   |5         
 [6, 4, 0, 0, 0]     |0.5259176162284123  |0.49976829315911875 |51        
 [7, 2, 13, 0, 0]    |0.5745340672757051  |0.5250846010839847  |90        
 [2, 0, 0, 0, 0]     |4.065314668098565   |4.0288909885033615  |9         
 [5, 20, 0, 0, 0]    |0.8153295001515226  |0.6975626470352438  |156       
 [8, 6, 7, 9, 9]     |1.10379026407009    |0.8185260563639304  |299       
 [17, 14, 0, 0, 0]   |0.6177586875460415  |0.44948294362584057 |318       
 [7, 12, 16, 0, 0]   |0.8263374420805547  |0.5869873184658958  |342       
 [10, 8, 0, 0, 0]    |0.4103296911738655  |0.3613911758832158  |127       
 [3, 0, 0, 0, 0]     |2.86128163199775    |2.8243257047699357  |13        
 [13, 1, 3, 5, 0]    |0.8978376081717298  |0.824674872503356   |85        
 [15, 19, 7, 1, 19]  |0.7502838949414354  |0.4307171721082991  |555       
 [7, 3, 14, 14, 19]  |1.1579158332646178  |0.6253909490402436  |616       
 [20, 6, 3, 0, 0]    |0.5043463602260798  |0.4084066032370418  |211       
Gen 1 Train time: 11.320796263217925 minutes:
 Average MSE:        0.6217031573253851
 Average Error:      0.7987159146584512
 Structure           |Error               |MSE                 |weights&biases
 [10, 8, 0, 0, 0]    |0.4211066322094803  |0.3708827907408758  |127       
 [12, 0, 0, 0, 0]    |0.5194669153999769  |0.49462659434654765 |49        
 [6, 4, 6, 0, 0]     |0.5946761072380118  |0.547310837520902   |83        
 [5, 20, 0, 0, 0]    |0.7154947340364866  |0.6121480953669837  |156       
 [11, 6, 11, 0, 0]   |0.7561246447407399  |0.62278804025298    |194       
 [5, 20, 13, 0, 0]   |1.7998048322779043  |1.180193292789426   |422       
 [5, 0, 0, 0, 0]     |1.5133926247200846  |1.4819427589654581  |21        
 [10, 8, 16, 0, 0]   |0.7206202888208546  |0.5451780035593288  |279       
 [12, 6, 11, 13, 0]  |0.7853248452794046  |0.5473549241339912  |361       
 [11, 6, 11, 13, 0]  |0.7043583448635418  |0.4953612226906853  |352       
 [7, 0, 0, 0, 0]     |1.824892659141084   |1.7727307749738928  |29        
