/tmp/tmp.M0O5FaA5qv ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k.mat
  Evaluating with: datasets/N4dataset100k.mat
Gen 0 Train time: 10.83099353313446 minutes:
 Average MSE:        1.0221107622708496
 Average Error:      1.3428159553294443
 Structure           |Error               |MSE                 |weights&biases
 [11, 7, 15, 12, 7]  |1.7207820033437515  |1.014888587651845   |528       
 [11, 9, 0, 0, 0]    |0.278489516816225   |0.23945857013514518 |151       
 [3, 6, 16, 16, 0]   |2.636701571156166   |1.708351262009559   |434       
 [1, 16, 16, 0, 0]   |4.153605139142821   |3.0040959236352043  |324       
 [1, 5, 17, 13, 3]   |4.621353536391146   |3.11331363177888    |395       
 [8, 10, 11, 13, 13] |0.7015687170197731  |0.3900671298015495  |587       
 [14, 1, 18, 6, 0]   |0.42100736226803503 |0.3398996140097571  |214       
 [9, 12, 20, 2, 9]   |0.6658499746624669  |0.4095522058150574  |486       
 [9, 12, 12, 19, 3]  |2.034206121792568   |1.1008753440194077  |614       
 [1, 0, 0, 0, 0]     |3.5868710693899244  |3.5689814752981768  |5         
 [1, 7, 13, 6, 0]    |4.412754896723991   |3.569762930463414   |212       
 [10, 1, 6, 0, 0]    |0.393104765056406   |0.37021212571309187 |60        
 [6, 0, 0, 0, 0]     |1.1212648883843377  |1.0935807596505867  |25        
 [13, 1, 13, 0, 0]   |0.32116960510966325 |0.29264765666860326 |93        
 [20, 2, 6, 0, 0]    |0.3072524380625468  |0.27060756818925735 |127       
 [3, 2, 7, 0, 0]     |1.4050430506139444  |1.341875072020769   |46        
 [15, 0, 0, 0, 0]    |0.3290722503944183  |0.30959882073645895 |61        
 [13, 11, 0, 0, 0]   |0.38858035856314466 |0.316555946313651   |205       
 [10, 16, 12, 0, 0]  |0.40830107692177137 |0.26746931136799246 |423       
 [8, 12, 0, 0, 0]    |1.3360314349692424  |1.1556969755451283  |145       
 [11, 5, 12, 0, 0]   |0.4090335418382718  |0.3423375237943176  |178       
 [16, 5, 18, 16, 0]  |0.4627967201725818  |0.26382550227458534 |562       
 [5, 7, 15, 0, 0]    |0.592412940103007   |0.4884337903616805  |193       
 [17, 20, 5, 8, 0]   |0.475800726688485   |0.26827139208840717 |573       
 [8, 19, 0, 0, 0]    |0.3873451776514152  |0.312409937428715   |215       
Gen 1 Train time: 11.046885251998901 minutes:
 Average MSE:        0.44818254966222276
 Average Error:      0.5501674042611465
 Structure           |Error               |MSE                 |weights&biases
 [11, 9, 0, 0, 0]    |0.3790264048279625  |0.3259049819223959  |151       
 [20, 2, 6, 0, 0]    |0.2780016263859829  |0.24484539339490943 |127       
 [13, 1, 13, 8, 0]   |0.47643201685811176 |0.3900695439527036  |200       
 [5, 2, 6, 0, 0]     |0.5932388426439795  |0.5631787582543963  |52        
 [1, 19, 12, 0, 0]   |1.9757507822831475  |1.4724806109863169  |294       
 [10, 16, 0, 0, 0]   |0.4809708814457152  |0.38483194432300727 |223       
 [16, 5, 18, 16, 0]  |0.459668499421241   |0.2620422043924385  |562       
 [15, 0, 0, 0, 0]    |0.32471831812608426 |0.30550254007399963 |61        
 [13, 1, 13, 0, 0]   |0.2999667199266627  |0.2733277255023278  |93        
 [17, 3, 11, 8, 0]   |0.4731894286675792  |0.36704916063249693 |254       
 [20, 1, 6, 0, 0]    |0.28631188772171334 |0.25906570923911665 |100       
 [10, 2, 6, 0, 0]    |0.4819670504903482  |0.4462484018216628  |77        
 [10, 11, 12, 0, 0]  |0.40762047087877207 |0.2995665279828791  |308       
 [8, 19, 12, 0, 0]   |0.5927115829399654  |0.3786862066203155  |448       
 [2, 19, 0, 0, 0]    |2.621056795436261   |2.4122926286088666  |83        
 [10, 1, 6, 0, 0]    |0.26750089678750477 |0.2519228572964527  |60        
 [13, 1, 17, 0, 0]   |0.4414819283984723  |0.39747700641581846 |105       
 [7, 9, 11, 11, 0]   |0.5283442965694793  |0.3734365639699006  |347       
 [11, 5, 12, 0, 0]   |0.32573568580067497 |0.2726220142907928  |178       
 [10, 1, 7, 0, 0]    |0.29918360084065715 |0.2809164894441497  |63        
 [17, 20, 13, 0, 0]  |0.49675228090022194 |0.24717373577338778 |698       
 [13, 1, 5, 8, 0]    |0.322805656408817   |0.28630293375687665 |120       
 [15, 1, 16, 0, 0]   |0.3994882807810717  |0.357875238574608   |110       
 [13, 13, 13, 0, 0]  |0.4057539959832828  |0.26740037170390607 |417       
 [20, 14, 0, 0, 0]   |0.41379481314406574 |0.2861082485203444  |369       
 [15, 2, 6, 0, 0]    |0.27287976712203704 |0.2464184937637206  |102       
Gen 2 Train time: 11.293749082088471 minutes:
 Average MSE:        0.3441890144713807
 Average Error:      0.42641181108159076
 Structure           |Error               |MSE                 |weights&biases
 [10, 1, 6, 0, 0]    |0.34224838809602137 |0.3223173935852105  |60        
 [15, 2, 6, 0, 0]    |0.3116291667067384  |0.28141034669813164 |102       
 [13, 1, 13, 20, 0]  |0.45153418235577175 |0.30878680225336697 |380       
 [13, 1, 13, 0, 0]   |0.3097794518346628  |0.2822690230370461  |93        
 [11, 9, 0, 0, 0]    |0.3084318399309423  |0.26520440775784515 |151       
 [10, 1, 6, 16, 0]   |0.4567878631504548  |0.38077897500785857 |182       
 [10, 1, 7, 0, 0]    |0.33932700479103417 |0.3186088765950228  |63        
 [11, 5, 12, 0, 0]   |0.330039819005009   |0.2762243259658466  |178       
 [17, 20, 12, 0, 0]  |0.6179117053845933  |0.31429925570739436 |676       
 [17, 3, 1, 8, 0]    |0.4179124306050338  |0.3655020596813928  |134       
 [13, 1, 6, 8, 0]    |0.45583538435069537 |0.4002669682502636  |130       
 [13, 1, 17, 0, 0]   |0.4562966929535374  |0.4108151022410854  |105       
 [13, 1, 7, 5, 0]    |0.33501693932724874 |0.29922060051017935 |113       
 [10, 1, 17, 0, 0]   |0.32499263676639    |0.2961311782656391  |93        
 [11, 5, 7, 0, 0]    |0.34782820176253226 |0.3014815091542759  |143       
 [13, 1, 5, 8, 0]    |0.35224708246447245 |0.3124151362117345  |120       
 [11, 9, 12, 0, 0]   |0.38124452017195487 |0.28987243720418165 |274       
 [16, 15, 18, 16, 0] |0.6880598953835861  |0.27640740747944137 |912       
 [11, 1, 0, 0, 0]    |1.114345951083683   |1.063183428484798   |47        
 [15, 14, 13, 0, 0]  |0.5014909574695293  |0.31093552521686124 |478       
 [13, 2, 6, 18, 0]   |0.2967019566160771  |0.23573967445995966 |230       
 [15, 1, 5, 8, 0]    |0.4113552935698806  |0.3619323450764964  |128       
 [20, 1, 11, 11, 0]  |0.3187708836846577  |0.24900490915904325 |247       
 [20, 9, 6, 0, 0]    |0.3534056440509934  |0.2576537245379522  |316       
 [7, 2, 6, 0, 0]     |0.5582905235810878  |0.5247277089715012  |62        
 [20, 2, 6, 13, 0]   |0.3052226730247717  |0.24372525474337037 |225       
Increasing Epochs
Gen 3 Train time: 13.537737389405569 minutes:
 Average MSE:        0.3134643775625111
 Average Error:      0.39808646408285614
 Structure           |Error               |MSE                 |weights&biases
 [13, 2, 6, 18, 0]   |0.3534778752616501  |0.280850049636863   |230       
 [20, 2, 6, 13, 0]   |0.34734268103222815 |0.2773587642715992  |225       
 [10, 1, 17, 0, 0]   |0.32205433740857425 |0.29345381898887307 |93        
 [13, 1, 17, 14, 0]  |0.44936626424225257 |0.3153989320456464  |354       
 [11, 5, 12, 0, 0]   |0.2822811535713574  |0.236253072775217   |178       
 [11, 9, 0, 0, 0]    |0.2404819975212369  |0.20677789213760428 |151       
 [11, 1, 6, 12, 0]   |0.3157443816222686  |0.27067882415633504 |154       
 [15, 2, 0, 0, 0]    |0.35174564844633427 |0.3247021578511781  |80        
 [10, 1, 6, 15, 0]   |0.4422063336481467  |0.37158461028944695 |174       
 [10, 1, 6, 14, 0]   |0.4190959880729038  |0.3549936784610387  |166       
 [13, 9, 18, 0, 0]   |0.4684512658642778  |0.32552265981525685 |364       
 [11, 2, 6, 18, 0]   |0.5469201108941707  |0.43891366997629533 |220       
 [15, 2, 6, 0, 0]    |0.32546175298726115 |0.29390158088545315 |102       
 [11, 9, 12, 0, 0]   |0.36205843352042494 |0.2752846401242888  |274       
 [20, 9, 6, 0, 0]    |0.4038333733239384  |0.2944185371148873  |316       
 [11, 3, 12, 0, 0]   |0.4137768307170008  |0.36333554447338895 |130       
 [20, 9, 6, 4, 0]    |0.3476108140551342  |0.24692471770156024 |342       
 [13, 1, 6, 8, 0]    |0.2931464617563972  |0.25741056865882145 |130       
 [11, 5, 11, 0, 0]   |0.3429149154516982  |0.2890160886078878  |171       
 [10, 1, 17, 17, 0]  |0.5755553735285193  |0.38619230375164565 |399       
 [13, 1, 17, 0, 0]   |0.6780204447801814  |0.6104384332504443  |105       
 [20, 1, 6, 11, 0]   |0.3451241695849824  |0.2876959703759088  |182       
 [20, 1, 6, 0, 0]    |0.3487029104095474  |0.31551944111659935 |100       
 [20, 9, 11, 11, 0]  |0.3394145370743317  |0.20524865258674357 |503       
 [11, 4, 12, 0, 0]   |0.3477294108296695  |0.2980986947870741  |154       
 [13, 1, 13, 20, 17] |0.6877306005497732  |0.3301005127852304  |734       
Gen 4 Train time: 13.373892954985301 minutes:
 Average MSE:        0.36708672064395975
 Average Error:      0.4447262800534108
 Structure           |Error               |MSE                 |weights&biases
 [11, 9, 0, 0, 0]    |0.4337674575248973  |0.3729739501060376  |151       
 [11, 5, 12, 0, 0]   |0.7213645195743834  |0.6037405692313953  |178       
 [13, 1, 6, 8, 0]    |0.3839195963159723  |0.33711804336592166 |130       
 [6, 9, 5, 0, 0]     |0.5664601325873664  |0.4939363699070306  |137       
 [11, 1, 6, 14, 0]   |0.3095017064523388  |0.26111570041038024 |170       
 [10, 9, 0, 0, 0]    |0.3237937944597722  |0.2817744353797439  |139       
 [13, 1, 16, 14, 0]  |0.44969351666115015 |0.32071929708114    |338       
 [11, 3, 12, 13, 0]  |0.4091300230612303  |0.3030909757116908  |300       
 [20, 1, 6, 11, 18]  |0.43620463673008764 |0.2909383774879132  |405       
 [20, 1, 6, 11, 0]   |0.3005771359951827  |0.25056150346390704 |182       
 [10, 1, 17, 0, 0]   |0.42183307711182844 |0.38437155807421874 |93        
 [6, 9, 10, 0, 0]    |0.32785096470695685 |0.27057765301427567 |192       
 [20, 1, 6, 14, 0]   |0.6398067405446793  |0.5206958878840249  |206       
 [20, 1, 6, 0, 0]    |0.3184023430171688  |0.2881023539522549  |100       
 [11, 1, 6, 12, 10]  |0.8454334325129287  |0.6376881901689833  |282       
 [11, 3, 12, 0, 0]   |0.3520120157961622  |0.3091001426997465  |130       
 [4, 1, 4, 0, 0]     |0.5493182079167711  |0.5330834013697012  |30        
 [10, 1, 17, 17, 0]  |0.4256414229196643  |0.2856014368899442  |399       
 [15, 2, 6, 0, 0]    |0.32443356483927305 |0.2929730966031442  |102       
 [7, 9, 0, 0, 0]     |0.4498683297533852  |0.40583835478560626 |103       
 [13, 9, 0, 0, 0]    |0.4756640513391257  |0.39929952742415376 |175       
 [15, 2, 18, 0, 0]   |0.4940029410829256  |0.42519227176751195 |150       
 [11, 1, 6, 13, 0]   |0.30788682291376596 |0.2618396405408485  |162       
 [20, 2, 6, 12, 0]   |0.2612614497101264  |0.2102971706957522  |217       
 [20, 1, 6, 17, 0]   |0.5938100324656502  |0.4718020242975548  |230       
 [11, 9, 13, 0, 0]   |0.44124536539588777 |0.33182280443007206 |285       
Increasing Epochs
Gen 5 Train time: 15.876145803928376 minutes:
 Average MSE:        0.3401702096689446
 Average Error:      0.434569328396845
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 6, 12, 0]   |0.28537674909350474 |0.2297082978881959  |217       
 [20, 1, 6, 11, 0]   |0.3252365423941267  |0.2711176176919231  |182       
 [15, 1, 6, 11, 0]   |0.45576090416432957 |0.3875978523198581  |162       
 [20, 2, 20, 12, 0]  |0.5135531295299413  |0.3350746991508605  |427       
 [11, 9, 18, 0, 0]   |0.4864700233365311  |0.34625492552457704 |340       
 [15, 2, 13, 0, 0]   |0.3372035671233636  |0.2960969115811404  |130       
