/tmp/tmp.3TfnjNQMNC ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k.mat
  Evaluating with: datasets/N6dataset100k.mat
Gen 0 Train time: 11.177288941542308 minutes:
 Average MSE:        0.8423702948616909
 Average Error:      1.1998905601402947
 Structure           |Error               |MSE                 |weights&biases
 [4, 12, 15, 0, 0]   |1.5294631738456532  |1.1524807662954264  |283       
 [4, 4, 1, 4, 0]     |1.1779584557809193  |1.1205087439782335  |50        
 [16, 18, 15, 0, 0]  |0.38207332703633334 |0.19846495705524878 |655       
 [3, 18, 8, 10, 0]   |2.3778185603612543  |1.702645973596732   |334       
 [10, 20, 2, 2, 20]  |1.275204143758963   |0.872935401864056   |379       
 [14, 15, 0, 0, 0]   |0.4133492106733852  |0.3114668095385908  |283       
 [3, 11, 17, 10, 0]  |2.695000585251564   |1.7218484973859798  |448       
 [14, 18, 1, 0, 0]   |0.3095850469496105  |0.22190133420977348 |333       
 [5, 19, 20, 3, 17]  |2.9191217872844777  |1.4818374133495946  |678       
 [8, 20, 4, 12, 0]   |1.4639257991408692  |1.0203255373150193  |361       
 [2, 11, 15, 0, 0]   |3.0096828223328025  |2.3793675059646544  |235       
 [9, 10, 17, 13, 0]  |1.0007367625707984  |0.5704877919865715  |562       
 [3, 19, 2, 9, 9]    |1.369229868995217   |1.0642267108833647  |252       
 [8, 17, 2, 17, 0]   |0.35632878523151396 |0.26876942574177376 |282       
 [2, 8, 14, 18, 0]   |3.819382044128979   |2.447552733319791   |445       
 [20, 17, 1, 18, 0]  |0.3391784692951686  |0.20778968262928882 |490       
 [10, 18, 0, 0, 0]   |1.0927802152764285  |0.8536150952383963  |247       
 [11, 19, 18, 0, 0]  |0.3597599676904152  |0.18969870543712783 |640       
 [10, 0, 0, 0, 0]    |1.438360026933464   |1.3805798532032394  |41        
 [18, 19, 0, 0, 0]   |0.2931608208948116  |0.18975264113680357 |435       
 [7, 20, 12, 0, 0]   |0.6397574149195879  |0.4095623150876301  |446       
 [11, 2, 14, 4, 18]  |0.3526999345435408  |0.26978292432682516 |268       
 [20, 11, 16, 10, 0] |0.5278980748255238  |0.271755625002533   |664       
 [14, 10, 5, 13, 0]  |0.28606540287286514 |0.20381657883854526 |339       
 [9, 0, 0, 0, 0]     |0.5687433029132227  |0.5480843481570705  |37        
Gen 1 Train time: 11.506008625030518 minutes:
 Average MSE:        0.3225361215784907
 Average Error:      0.479766572064728
 Structure           |Error               |MSE                 |weights&biases
 [14, 10, 5, 13, 0]  |0.2687288808147771  |0.1914646111439099  |339       
 [18, 19, 0, 0, 0]   |0.261200762759536   |0.1690660247480798  |435       
 [20, 11, 16, 10, 0] |0.5186535474905467  |0.266996652724409   |664       
 [18, 19, 1, 0, 0]   |0.3790646575957939  |0.24486493946433324 |437       
 [20, 0, 0, 0, 0]    |0.23818056565089596 |0.21964861506796454 |81        
 [9, 17, 1, 18, 0]   |0.3514916442737563  |0.26832151366932916 |270       
 [9, 15, 0, 0, 0]    |0.8990488299056575  |0.7412495541280718  |193       
 [14, 0, 0, 0, 0]    |0.4265341937935389  |0.40290166983940817 |57        
 [14, 19, 0, 0, 0]   |0.31365653783420455 |0.22169411218409416 |347       
 [8, 10, 5, 13, 0]   |0.5874147608760015  |0.4524743822030383  |261       
 [11, 2, 18, 0, 0]   |0.319270767889986   |0.28035020251069576 |130       
 [18, 19, 3, 0, 0]   |0.32021178178334697 |0.19833997326451352 |479       
 [14, 18, 1, 0, 0]   |1.2442459821248455  |0.8918384341850738  |333       
 [18, 1, 0, 0, 0]    |0.34365815876082134 |0.3188266183140157  |75        
 [14, 10, 5, 0, 0]   |0.2740292294629023  |0.21277489535885077 |253       
 [18, 19, 4, 13, 0]  |0.35371703042836683 |0.19923743304951103 |574       
 [16, 10, 5, 13, 0]  |0.3246158297596663  |0.22534722184113645 |365       
 [14, 18, 15, 0, 0]  |0.4424131256612735  |0.23966548030314402 |613       
 [16, 20, 0, 0, 0]   |0.4127585207399611  |0.2742013598398211  |409       
 [10, 18, 15, 0, 0]  |0.3982499701318685  |0.23464644075050245 |529       
 [11, 11, 14, 4, 18] |0.3551134080192595  |0.21495682578674552 |502       
 [11, 2, 18, 17, 18] |2.0641392239356304  |0.9490567321316463  |777       
 [8, 17, 2, 17, 0]   |0.31306367047368966 |0.2361356882216427  |282       
 [11, 2, 14, 4, 18]  |0.3561963177203008  |0.272457335024446   |268       
 [20, 17, 1, 18, 0]  |0.3786916099508524  |0.23199647551208202 |490       
 [14, 18, 1, 13, 0]  |0.32958186584544896 |0.2274259697742936  |371       
Gen 2 Train time: 11.449977004528046 minutes:
 Average MSE:        0.34747082551409636
 Average Error:      0.46221019748736053
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.237981618083465   |0.21946514687635146 |81        
