/tmp/tmp.ri9gE9JkRP ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k.mat
  Evaluating with: datasets/N8dataset100k.mat
Gen 0 Train time: 10.701372269789378 minutes:
 Average MSE:        0.8607664248091758
 Average Error:      1.0565582060162964
 Structure           |Error               |MSE                 |weights&biases
 [1, 2, 15, 18, 1]   |5.067814293360593   |3.532160130602569   |361       
 [16, 4, 0, 0, 0]    |0.21968834399716294 |0.19465133330820802 |121       
 [7, 3, 1, 14, 0]    |0.35727373075367796 |0.32587120961761584 |92        
 [4, 3, 15, 2, 0]    |0.8119847138233698  |0.7187269446898282  |122       
 [13, 15, 17, 0, 0]  |0.2939031910425388  |0.17144292818246334 |539       
 [17, 13, 7, 2, 0]   |0.37407258785875125 |0.25024735876806514 |402       
 [9, 0, 0, 0, 0]     |0.5772931039307037  |0.5563235873595999  |37        
 [8, 10, 0, 0, 0]    |0.35700896679134086 |0.31505930738828497 |125       
 [3, 9, 0, 0, 0]     |1.8559522914384148  |1.7566312791566954  |55        
 [8, 17, 6, 7, 0]    |0.34062550833327637 |0.24196271832269378 |342       
 [13, 17, 17, 0, 0]  |0.3418349939635855  |0.18741551305928747 |601       
 [11, 0, 0, 0, 0]    |0.4458004496054662  |0.42618410722288946 |45        
 [14, 0, 0, 0, 0]    |0.33327555269528375 |0.31481011054081526 |57        
 [18, 18, 10, 0, 0]  |0.31163238006361865 |0.17154132918552262 |597       
 [20, 14, 1, 2, 0]   |1.1786642790103095  |0.8092736438421001  |376       
 [13, 13, 18, 0, 0]  |0.2951804295625473  |0.1804740129819681  |492       
 [20, 10, 3, 0, 0]   |0.21928977510781628 |0.16132065483088148 |307       
 [19, 0, 0, 0, 0]    |0.19093957263628886 |0.17678901295590027 |77        
 [12, 9, 6, 10, 1]   |4.745247869285752   |3.5294557080142868  |296       
 [6, 13, 0, 0, 0]    |0.3480960948082758  |0.3078087277182847  |123       
