/tmp/tmp.1MSxhrZ7nE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k.mat
  Evaluating with: datasets/N10dataset100k.mat
Gen 0 Train time: 11.06870829264323 minutes:
 Average MSE:        0.7757151681939599
 Average Error:      1.0844835413809448
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 1, 12, 6]   |1.097700040934446   |0.9086612822837911  |189       
 [7, 7, 0, 0, 0]     |0.5253492021224011  |0.4825396957499296  |85        
 [6, 0, 0, 0, 0]     |0.6284608170877738  |0.6129440642271308  |25        
 [3, 13, 6, 15, 11]  |3.4638392666769886  |2.2353047864601647  |438       
 [17, 13, 2, 19, 0]  |0.28095911354033987 |0.1902252992753975  |390       
 [8, 0, 0, 0, 0]     |0.4866244005776741  |0.47082787159579886 |33        
 [6, 16, 18, 10, 16] |3.9773345116481975  |1.753496639672555   |819       
 [18, 1, 4, 19, 0]   |0.20037074682464626 |0.16470720536146463 |196       
 [18, 12, 7, 0, 0]   |0.18905812048663087 |0.1291603277695612  |381       
 [11, 12, 0, 0, 0]   |0.47784897971750273 |0.39516157842290534 |190       
 [7, 0, 0, 0, 0]     |1.073308485868491   |1.0426295346243744  |29        
 [6, 19, 14, 6, 0]   |1.7321426806846736  |1.0215889260787303  |528       
 [1, 9, 8, 7, 3]     |4.24806023213233    |3.505953287345183   |192       
 [15, 0, 0, 0, 0]    |0.21337851907625358 |0.200751469615928   |61        
 [16, 12, 16, 18, 4] |1.781123169694386   |0.7635659034645255  |847       
 [7, 12, 8, 18, 0]   |1.4751460288196339  |0.9868442903619122  |402       
 [17, 16, 10, 0, 0]  |0.2660002102112108  |0.15814259073495593 |520       
 [20, 6, 10, 0, 0]   |0.18808621878492096 |0.14401255283735875 |267       
 [19, 5, 16, 3, 0]   |0.36921112399801226 |0.2713389106054849  |308       
 [16, 6, 17, 2, 0]   |0.5344143825586127  |0.39274931590668294 |308       
 [14, 4, 20, 7, 0]   |0.2735635892594148  |0.19143227614530592 |357       
 [18, 12, 9, 0, 0]   |0.22760592327432635 |0.1512018541919735  |409       
 [20, 20, 0, 0, 0]   |0.2122679035830952  |0.12861830895651966 |501       
 [15, 2, 9, 7, 15]   |0.2287085484880897  |0.16774558875106466 |310       
 [3, 0, 0, 0, 0]     |2.961526318473571   |2.923275644410302   |13        
Gen 1 Train time: 11.521219452222189 minutes:
 Average MSE:        0.1804959312546828
 Average Error:      0.26351304920039825
 Structure           |Error               |MSE                 |weights&biases
 [20, 6, 10, 0, 0]   |0.22508719509076103 |0.17234320401266884 |267       
 [18, 12, 7, 0, 0]   |0.19926550718767308 |0.13613378867451345 |381       
 [12, 6, 17, 0, 0]   |0.21530785850512976 |0.16751433068944147 |251       
 [18, 12, 9, 2, 0]   |0.236309430318658   |0.15495613728961666 |422       
 [15, 1, 4, 19, 0]   |0.1803319813797633  |0.15002463188482978 |184       
 [18, 20, 18, 0, 0]  |0.40123137946734533 |0.17478178745905076 |831       
 [20, 6, 10, 15, 0]  |0.22611459874951217 |0.14606357101706138 |437       
 [13, 16, 10, 4, 0]  |0.39543634617123846 |0.2442005536930092  |482       
 [7, 16, 10, 0, 0]   |0.2973823415310821  |0.2137952232302537  |330       
 [17, 7, 0, 0, 0]    |0.2094125284279503  |0.17404364946877454 |185       
 [18, 12, 1, 0, 0]   |0.22727054542822733 |0.16887201796667656 |297       
 [11, 6, 10, 0, 0]   |0.22412760740445858 |0.18608723433439905 |186       
 [18, 12, 7, 6, 0]   |0.38016608295559967 |0.24779659238978152 |428       
 [20, 20, 18, 0, 0]  |0.3376300936925816  |0.14046395373817083 |877       
 [15, 2, 9, 0, 0]    |0.1875758986334827  |0.1673660878875171  |114       
 [20, 20, 7, 15, 0]  |0.30249732648233774 |0.14104407629364596 |763       
 [18, 12, 14, 0, 0]  |0.20261531001171473 |0.1255004264580579  |479       
 [17, 12, 7, 0, 0]   |0.216125168886134   |0.14988341003446548 |366       
 [13, 6, 10, 0, 0]   |0.26593985836987194 |0.21686394749950857 |204       
 [11, 12, 0, 0, 0]   |0.35107070780856114 |0.29032112848225095 |190       
 [14, 6, 20, 7, 0]   |0.35368400512313464 |0.23076592234883136 |427       
 [20, 20, 0, 0, 0]   |0.2147878351564957  |0.1301451970643585  |501       
 [17, 16, 10, 0, 0]  |0.31331967495383817 |0.18627498484339902 |520       
 [15, 0, 0, 0, 0]    |0.20553054217524208 |0.19336791056223107 |61        
 [11, 12, 7, 0, 0]   |0.33592402254260756 |0.25490349205866136 |276       
 [18, 2, 9, 0, 0]    |0.14719543275695454 |0.12938095324057858 |129       
Gen 2 Train time: 11.272506054242452 minutes:
 Average MSE:        0.24822611349728366
 Average Error:      0.3286466311652728
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 9, 0, 0]    |0.1823090976474853  |0.1602449505142471  |129       
 [15, 1, 4, 19, 0]   |0.17696050285217294 |0.14721977818589455 |184       
 [20, 6, 20, 0, 0]   |0.22133230664752263 |0.15643885365404708 |347       
 [11, 6, 10, 0, 0]   |0.1755442653086964  |0.14574976823631353 |186       
 [17, 7, 10, 0, 0]   |0.16078630040579256 |0.1229866922751333  |268       
 [20, 6, 0, 0, 0]    |0.19973151798473845 |0.16467503624585794 |193       
 [5, 12, 7, 0, 0]    |1.3246102317847799  |1.0997888990938003  |186       
 [18, 12, 1, 0, 0]   |0.28963665864576343 |0.2152127849672536  |297       
 [18, 12, 7, 5, 0]   |0.23922643643575445 |0.15734023086276544 |419       
 [20, 6, 10, 0, 0]   |0.188409540806181   |0.14426011180244933 |267       
 [20, 20, 7, 15, 0]  |0.30013007715386136 |0.13994030953056616 |763       
 [18, 17, 9, 14, 0]  |0.2806176072446566  |0.1401891965558533  |694       
 [18, 6, 20, 7, 0]   |0.21812403480805062 |0.13728566048114113 |463       
 [14, 12, 9, 2, 0]   |0.19493722261028842 |0.13573135093959005 |362       
 [11, 12, 10, 0, 0]  |0.4292089486589153  |0.3122936278567237  |318       
 [11, 6, 7, 0, 0]    |0.4198323462803016  |0.3570427262755719  |162       
 [18, 12, 0, 0, 0]   |0.2732359439534228  |0.20343279110438814 |295       
 [6, 12, 7, 0, 0]    |1.1675530755387418  |0.9549561749820791  |201       
 [18, 12, 14, 0, 0]  |0.23717382436745085 |0.14690605611729263 |479       
 [17, 12, 7, 0, 0]   |0.20721063033645118 |0.1437011525787681  |366       
 [15, 0, 0, 0, 0]    |0.26200813147860313 |0.24650333910535815 |61        
 [12, 0, 0, 0, 0]    |0.23758504718827014 |0.22622399863119966 |49        
 [15, 6, 20, 7, 0]   |0.365315365204099   |0.23621939069754916 |436       
 [14, 2, 9, 0, 0]    |0.22335486630642976 |0.20028910251322732 |109       
 [11, 17, 9, 0, 0]   |0.2943939375526099  |0.19557008262557668 |409       
 [18, 16, 9, 0, 0]   |0.2755844930960535  |0.16367688509672837 |521       
Increasing Epochs
Gen 3 Train time: 13.473835118611653 minutes:
 Average MSE:        0.2610321383029613
 Average Error:      0.3545103702848365
 Structure           |Error               |MSE                 |weights&biases
 [17, 7, 10, 0, 0]   |0.158634263678878   |0.12134058263749722 |268       
 [11, 6, 10, 0, 0]   |0.19528284581103075 |0.16213819042982694 |186       
 [18, 12, 14, 0, 0]  |0.19311891269590922 |0.11961833436501794 |479       
 [20, 6, 20, 0, 0]   |0.1868498013054983  |0.132066435146628   |347       
 [4, 19, 0, 0, 0]    |1.2053274907063294  |1.061572507572101   |127       
 [15, 2, 9, 0, 0]    |0.15529545623369934 |0.1385636063369066  |114       
 [15, 1, 4, 19, 0]   |0.21020707364444227 |0.17487879078244148 |184       
 [17, 19, 10, 0, 0]  |0.26344891549463917 |0.1440066501484068  |604       
 [6, 12, 14, 0, 0]   |1.4781900605467548  |1.096165748331754   |299       
 [20, 6, 10, 0, 0]   |0.16465301306155564 |0.12607037823686965 |267       
 [9, 1, 4, 7, 0]     |0.4472000959047972  |0.40952835189653236 |88        
 [18, 6, 8, 19, 0]   |0.21491638169882374 |0.1419179438191005  |415       
 [18, 12, 1, 0, 0]   |0.291386314903464   |0.21651285657322958 |297       
 [18, 12, 7, 5, 0]   |0.1921363803178002  |0.12636890339859    |419       
 [18, 17, 9, 14, 0]  |0.31998523626494135 |0.15985623148232153 |694       
 [18, 6, 17, 0, 0]   |0.2531849522044552  |0.186628546314131   |305       
 [18, 6, 20, 7, 0]   |0.2668495480938624  |0.16795313955840968 |463       
 [20, 6, 20, 1, 0]   |1.194107357273401   |0.842315126625467   |349       
 [11, 2, 9, 0, 0]    |0.19105785114581414 |0.173916668488797   |94        
 [14, 17, 17, 0, 0]  |0.23145452372935643 |0.12438522615682593 |621       
 [18, 14, 7, 5, 0]   |0.2343456180275369  |0.14632014949535904 |471       
 [18, 12, 0, 0, 0]   |0.244077492372018   |0.18172340286043695 |295       
