/tmp/tmp.YuLUMishbc ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 10.997986849149068 minutes:
 Average MSE:        1.5457885468590384
 Average Error:      2.2898057650572055
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.7329362408634081  |1.6901498926272     |25        
 [11, 4, 6, 18, 14]  |1.4811556798897476  |0.8823404037397564  |518       
 [18, 18, 19, 14, 0] |1.6173790498671086  |0.5648511514113979  |1052      
 [11, 0, 0, 0, 0]    |0.8017770036781243  |0.766496796507975   |45        
 [2, 7, 3, 19, 12]   |9.05997873058103    |6.1957698221291135  |380       
 [14, 19, 17, 0, 0]  |1.056727626933814   |0.5326860720591269  |685       
 [11, 13, 0, 0, 0]   |0.7041857226866962  |0.5748114833517186  |203       
 [12, 8, 16, 20, 3]  |8.056518265992125   |4.036917825258046   |691       
 [9, 11, 16, 1, 2]   |4.428956096951363   |3.1116835441871107  |353       
 [9, 9, 11, 1, 0]    |4.0267997864496134  |3.1644268933238067  |241       
 [12, 7, 20, 11, 7]  |2.484710255490522   |1.3500694767190975  |610       
 [12, 9, 16, 0, 0]   |0.7259852836098053  |0.521928050509397   |330       
 [12, 7, 2, 0, 0]    |1.0694720800382909  |0.924192536305992   |146       
 [8, 5, 13, 0, 0]    |0.8715856397028743  |0.741973944369911   |161       
 [14, 0, 0, 0, 0]    |0.5760157438968847  |0.5441010555467434  |57        
 [1, 8, 0, 0, 0]     |5.324617053513786   |5.177595680508338   |28        
 [11, 11, 19, 19, 0] |1.4758112387172044  |0.6677828928023068  |793       
 [17, 9, 0, 0, 0]    |0.6515147317318496  |0.5212866113928107  |223       
 [19, 16, 2, 10, 0]  |1.4466702847267738  |0.9205946679032614  |452       
 [19, 4, 14, 0, 0]   |0.8655341069986472  |0.6932195646508954  |222       
 [9, 18, 13, 14, 6]  |2.4400995590950365  |1.1560844733128817  |747       
 [12, 19, 19, 19, 0] |2.0769633327837953  |0.7174205212983705  |1063      
 [13, 13, 16, 18, 0] |1.5314070311977124  |0.7090614683482414  |770       
 [9, 0, 0, 0, 0]     |0.892281332713985   |0.859870226353916   |37        
 [4, 6, 11, 0, 0]    |1.8460622483199545  |1.6193986168585564  |131       
Gen 1 Train time: 10.994883636633555 minutes:
 Average MSE:        0.8230556168348444
 Average Error:      1.223038980025876
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5352330216193459  |0.5055779379507583  |57        
 [17, 9, 0, 0, 0]    |0.7619475564640761  |0.609645554310608   |223       
 [17, 9, 2, 0, 0]    |0.976850098995074   |0.7714973295156546  |236       
 [7, 0, 0, 0, 0]     |0.9860857352038204  |0.9578999185526479  |29        
 [14, 1, 0, 0, 0]    |1.0919585714202036  |1.0293967369169423  |59        
 [12, 9, 16, 20, 0]  |1.6558984486567756  |0.8439548600309023  |674       
 [15, 15, 0, 0, 0]   |0.9458792998218507  |0.7000242454993706  |301       
 [14, 1, 8, 0, 0]    |0.9352442770784113  |0.8616143270035787  |82        
 [12, 9, 0, 0, 0]    |0.9309253540149397  |0.7909059778428258  |163       
 [9, 16, 0, 0, 0]    |0.7878644016993426  |0.6424737731838036  |204       
 [18, 18, 19, 14, 0] |1.8656034004603228  |0.6515406694019047  |1052      
 [9, 18, 13, 18, 6]  |4.412870723147534   |1.9300104845426655  |827       
 [4, 0, 0, 0, 0]     |1.7098394740449607  |1.6810178806467788  |17        
 [9, 6, 11, 0, 0]    |0.7225711318440898  |0.6059611454046776  |176       
 [14, 20, 0, 0, 0]   |1.2595428503372665  |0.8761209191053837  |363       
 [11, 17, 0, 0, 0]   |0.6657564021112033  |0.5159056196191829  |255       
 [17, 11, 0, 0, 0]   |0.7847128173850596  |0.6044493106091033  |261       
 [11, 11, 19, 19, 0] |1.578065814758879   |0.7140515854372378  |793       
 [19, 16, 2, 10, 0]  |1.0140509439807008  |0.6452955465157796  |452       
 [9, 7, 13, 14, 6]   |1.5654633932034148  |0.9552156791646524  |494       
 [14, 18, 13, 14, 6] |1.9797328342606508  |0.8444767310900015  |852       
 [9, 0, 0, 0, 0]     |0.6187871829859732  |0.5963104411034502  |37        
 [13, 13, 16, 0, 0]  |0.7316733969873009  |0.46097058564318705 |462       
 [11, 13, 18, 0, 0]  |1.1354004186776048  |0.7167597154128883  |460       
 [14, 1, 0, 0, 0]    |1.3806758639665446  |1.3015724829730888  |59        
 [14, 14, 0, 0, 0]   |0.7663800675474242  |0.586796580228877   |267       
Gen 2 Train time: 10.735323448975882 minutes:
 Average MSE:        0.8172377069630644
 Average Error:      1.1108885544971703
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.519569906304084   |0.4907826521161579  |57        
 [9, 0, 0, 0, 0]     |1.0861456239323428  |1.0466926172974065  |37        
 [11, 14, 0, 0, 0]   |0.7831216947204256  |0.6309887950992331  |216       
 [4, 15, 0, 0, 0]    |1.2858797708801626  |1.1600268259652269  |103       
 [14, 14, 0, 0, 0]   |0.7761963847558387  |0.5943126699763223  |267       
 [17, 9, 2, 0, 0]    |0.9483210810560996  |0.7489656625011704  |236       
 [11, 17, 0, 0, 0]   |0.8175173539763102  |0.6335076849657317  |255       
 [17, 11, 0, 0, 0]   |0.8816817580679772  |0.6791426354124412  |261       
 [18, 0, 0, 0, 0]    |0.8026655746246689  |0.7461585844042221  |73        
 [13, 13, 16, 16, 0] |1.8357185614706535  |0.8811177487033633  |734       
 [9, 19, 0, 0, 0]    |0.892835915970776   |0.704439759330165   |237       
 [13, 2, 16, 0, 0]   |0.7956339336439072  |0.6972466331284177  |132       
 [14, 16, 0, 0, 0]   |0.9128588213681501  |0.6769390484713051  |299       
 [14, 14, 16, 0, 0]  |4.206109795539955   |2.52827734985316    |509       
 [17, 5, 0, 0, 0]    |0.6894717278429939  |0.5952167902456803  |147       
 [11, 17, 20, 0, 0]  |1.1912284539043079  |0.6420976326079796  |618       
 [4, 17, 0, 0, 0]    |1.2425139247961792  |1.107534845896113   |115       
 [11, 17, 12, 10, 0] |1.929505807309405   |1.0653079494093953  |594       
 [11, 1, 8, 0, 0]    |1.1872493149058874  |1.1069839239058203  |70        
 [14, 17, 0, 0, 0]   |1.0883532047870261  |0.794268060128644   |315       
 [14, 14, 2, 11, 0]  |1.2187319989810497  |0.8788078315715543  |327       
 [14, 20, 0, 0, 0]   |0.7607302082634374  |0.5291536124209882  |363       
 [9, 6, 11, 0, 0]    |0.812467258992931   |0.681349654264052   |176       
 [14, 9, 0, 0, 0]    |0.5640204538295301  |0.46782323262215664 |187       
 [11, 17, 9, 0, 0]   |0.8972273778416299  |0.5960409167293379  |409       
 [9, 17, 5, 0, 0]    |0.7573465091606989  |0.5649972640136325  |293       
Gen 3 Train time: 10.902026724815368 minutes:
 Average MSE:        0.7762294008769168
 Average Error:      1.0377273057618333
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.5637923635454394  |0.5325549229591569  |57        
 [14, 9, 0, 0, 0]    |0.7151933621895862  |0.5932126545725698  |187       
 [17, 5, 0, 0, 0]    |0.5643437051963887  |0.48719452188885315 |147       
 [14, 5, 0, 0, 0]    |0.777488363801942   |0.6875047081739252  |123       
 [11, 17, 20, 16, 0] |2.046631284335457   |0.7915162775378949  |950       
 [13, 13, 16, 0, 0]  |0.950113313072207   |0.5985926127117145  |462       
 [7, 20, 0, 0, 0]    |1.2276100855963255  |1.0030739744314925  |202       
 [11, 17, 12, 10, 0] |1.1592316715140707  |0.6400285037717186  |594       
 [14, 8, 9, 0, 0]    |0.7633892764777709  |0.5927472545136505  |253       
 [17, 1, 0, 0, 0]    |0.9536238307561883  |0.8882642577741218  |71        
 [11, 14, 0, 0, 0]   |0.8527855488452759  |0.6871194216321894  |216       
 [11, 17, 0, 0, 0]   |0.8811436316485057  |0.6828127372377688  |255       
 [14, 7, 0, 0, 0]    |0.6759532892618072  |0.578896656193783   |155       
 [11, 2, 0, 0, 0]    |0.8270136989835051  |0.7788521704909849  |60        
 [11, 17, 16, 0, 0]  |1.0654471567113226  |0.6196469345807197  |542       
 [4, 15, 0, 0, 0]    |1.1510432221895244  |1.0383871383802483  |103       
 [11, 20, 15, 0, 0]  |1.2506582107357396  |0.6836357594052002  |604       
 [14, 14, 14, 0, 0]  |0.9332975596094584  |0.5792441579794068  |477       
 [11, 14, 16, 0, 0]  |1.2196494558198405  |0.7714861851365242  |458       
 [12, 5, 10, 0, 0]   |0.8865657197837836  |0.7464698717030861  |172       
 [14, 4, 16, 0, 0]   |1.1366978301534407  |0.9315805854540204  |199       
 [11, 17, 9, 0, 0]   |1.078445353740533   |0.7164265972716036  |409       
 [5, 14, 2, 11, 5]   |2.1125741652740184  |1.6818715436762794  |228       
 [14, 13, 0, 0, 0]   |0.6596404072683211  |0.5132149940390156  |251       
 [11, 1, 8, 0, 0]    |1.0862130347583363  |1.0127783207099577  |70        
 [11, 1, 8, 0, 0]    |1.44236440853888    |1.34485166057395    |70        
Increasing Epochs
Gen 4 Train time: 12.78522123893102 minutes:
 Average MSE:        0.885097909120289
 Average Error:      1.1278655988396815
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6608883811875808  |0.6242712453830309  |57        
 [17, 5, 0, 0, 0]    |0.6477361750760788  |0.5591867388978615  |147       
 [11, 2, 0, 0, 0]    |0.8474292915074948  |0.7980788514621862  |60        
 [11, 2, 0, 0, 0]    |0.626064234786535   |0.5896050920675207  |60        
 [4, 13, 0, 0, 0]    |1.3260287135958293  |1.210687700673962   |91        
 [6, 15, 0, 0, 0]    |0.9581647009564729  |0.8338217786516415  |139       
 [17, 5, 10, 0, 0]   |0.9302508073144155  |0.7525400630000985  |212       
 [11, 17, 18, 0, 0]  |1.0777482746245974  |0.6034294985309924  |580       
 [14, 2, 3, 0, 0]    |0.7421162547602266  |0.6816428964512696  |85        
 [14, 5, 0, 0, 0]    |0.5199783137455661  |0.459797928164854   |123       
 [14, 5, 8, 0, 0]    |0.7293754243060228  |0.612891906272653   |174       
 [14, 8, 9, 20, 0]   |0.7995746626162237  |0.5027434069284078  |464       
 [11, 0, 0, 0, 0]    |0.6299665141317345  |0.6022464011491142  |45        
 [5, 1, 8, 0, 0]     |2.0213711775303107  |1.9304942957043032  |46        
 [4, 14, 14, 0, 0]   |2.640266795081686   |1.9423138543573102  |307       
 [14, 13, 0, 0, 0]   |0.6163395814398517  |0.4795259828374885  |251       
 [14, 18, 0, 0, 0]   |0.8654340689717136  |0.6215592217992981  |331       
 [2, 13, 19, 0, 0]   |3.038355338050243   |2.182162509169694   |331       
 [5, 8, 0, 0, 0]     |1.726677790558135   |1.606727031225375   |72        
 [4, 15, 9, 0, 0]    |1.982879047119752   |1.5582288953199588  |241       
 [14, 14, 14, 0, 0]  |0.8877110948738295  |0.55095125920434    |477       
 [11, 1, 9, 0, 0]    |1.1304044182962072  |1.0508248855129776  |73        
 [19, 8, 16, 0, 0]   |0.6294109790016452  |0.43129160026589297 |378       
 [11, 17, 16, 17, 0] |1.4853743357657736  |0.6464023207226031  |832       
 [14, 8, 20, 0, 0]   |0.7694332161872042  |0.5352073066633956  |363       
 [11, 20, 9, 0, 0]   |1.0355259783465933  |0.6459129667112796  |472       
Increasing Epochs
Gen 5 Train time: 14.869321882724762 minutes:
 Average MSE:        0.7493246056149924
 Average Error:      0.982555148004473
 Structure           |Error               |MSE                 |weights&biases
 [14, 5, 0, 0, 0]    |0.6260288913167364  |0.5535746003046275  |123       
 [14, 13, 0, 0, 0]   |0.606010759357981   |0.47148992818594093 |251       
 [11, 17, 13, 0, 0]  |0.9015891981550919  |0.5551059419370497  |485       
 [14, 20, 9, 0, 0]   |0.7849942426117493  |0.45699679763342316 |541       
 [14, 0, 0, 0, 0]    |0.5952555450895259  |0.5622748576491033  |57        
 [14, 6, 0, 0, 0]    |0.43568222869507434 |0.3791428869116116  |139       
 [14, 9, 9, 0, 0]    |0.6455173858146226  |0.48933735727979377 |277       
