/tmp/tmp.PAspc2v2lq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k.mat
  Evaluating with: datasets/N2dataset100k.mat
Gen 0 Train time: 10.562081070741018 minutes:
 Average MSE:        0.8368672150736819
 Average Error:      1.2110811362488452
 Structure           |Error               |MSE                 |weights&biases
 [16, 15, 11, 3, 11] |0.8702007372807946  |0.49162877903200186 |571       
 [16, 1, 18, 5, 0]   |0.7343883501013033  |0.6000649960076425  |202       
 [13, 13, 17, 12, 0] |1.0374919492670183  |0.5214229373246884  |688       
 [19, 10, 0, 0, 0]   |0.5483236603369925  |0.41941703435456945 |268       
 [6, 20, 0, 0, 0]    |0.6820030390652955  |0.5702267643692004  |179       
 [5, 0, 0, 0, 0]     |1.6640173617579352  |1.6294373580062094  |21        
 [5, 5, 7, 0, 0]     |2.172859095703678   |1.9759392520460417  |95        
 [6, 0, 0, 0, 0]     |0.7543131146899406  |0.7356890575300635  |25        
 [7, 20, 19, 11, 18] |1.595281837957538   |0.5666861938529613  |1035      
 [7, 13, 18, 20, 0]  |1.4011459515489837  |0.6435795998041175  |778       
 [7, 0, 0, 0, 0]     |0.7567982794860997  |0.7351663089727964  |29        
 [8, 0, 0, 0, 0]     |0.6252032564763618  |0.6049082582215112  |33        
 [9, 5, 5, 3, 0]     |0.5453615577755663  |0.4793586110941062  |129       
 [19, 12, 14, 8, 0]  |0.8109844540531461  |0.4415312880175589  |608       
 [6, 10, 6, 0, 0]    |1.0593859046082463  |0.9018468208356769  |161       
 [18, 12, 17, 0, 0]  |0.6416499795282659  |0.38109281401026    |521       
 [9, 18, 3, 20, 6]   |1.2920072128721327  |0.8018746244623248  |477       
 [11, 0, 0, 0, 0]    |0.5081829876681717  |0.48582165652119347 |45        
 [18, 13, 0, 0, 0]   |0.5553188649483725  |0.4052655293110431  |315       
 [3, 0, 0, 0, 0]     |1.462834692610438   |1.4439409172330424  |13        
 [20, 2, 0, 0, 0]    |0.46189616287043683 |0.415856442320754   |105       
 [17, 0, 0, 0, 0]    |0.3870836831358883  |0.3612755288936613  |69        
 [13, 0, 0, 0, 0]    |0.6151878722296843  |0.5834318819441464  |53        
 [17, 5, 17, 6, 0]   |0.9959547827860219  |0.6962451725696807  |358       
 [3, 14, 20, 15, 1]  |8.099153617462814   |4.029972550106789   |698       
Gen 1 Train time: 10.491012581189473 minutes:
 Average MSE:        0.5584129304006761
 Average Error:      0.6876218233989225
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3482789942610663  |0.32505807745465615 |69        
 [20, 2, 0, 0, 0]    |0.4000292971717576  |0.3601561859966821  |105       
 [6, 4, 15, 0, 0]    |0.6316255142433292  |0.5507586424855657  |137       
 [18, 12, 11, 0, 0]  |0.5298189286276317  |0.34224789171403475 |437       
 [6, 20, 0, 0, 0]    |0.8714456905546495  |0.7286208828768659  |179       
 [6, 20, 0, 0, 0]    |0.704967958263587   |0.5894278687900683  |179       
 [13, 0, 0, 0, 0]    |0.675631915077343   |0.6407558040544895  |53        
 [18, 13, 0, 0, 0]   |0.5244409856203853  |0.3827311965164556  |315       
 [8, 0, 0, 0, 0]     |1.539620943591934   |1.489642630076046   |33        
 [13, 13, 17, 12, 0] |0.9023276778877722  |0.4534920473995088  |688       
 [20, 16, 14, 8, 0]  |1.1323675397017074  |0.5279839511952222  |763       
 [19, 0, 0, 0, 0]    |0.3845921085490218  |0.3560899310826672  |77        
 [7, 0, 0, 0, 0]     |0.5457236420099761  |0.5301249308971702  |29        
 [7, 0, 0, 0, 0]     |0.8198568506310963  |0.7964224432087849  |29        
 [20, 2, 6, 0, 0]    |0.6130142165461839  |0.5399022622929894  |127       
 [8, 9, 0, 0, 0]     |0.3861634021483127  |0.34421298269088446 |115       
 [19, 10, 0, 0, 0]   |0.5592351269108439  |0.4277633000401521  |268       
 [11, 0, 0, 0, 0]    |0.5074836687176716  |0.48515310936551714 |45        
 [16, 15, 11, 0, 0]  |0.6721837781555082  |0.4113859325465722  |491       
 [18, 3, 11, 0, 0]   |0.5852408253407663  |0.49523055894201173 |167       
 [19, 2, 0, 0, 0]    |0.47021858078035017 |0.4254713665458253  |100       
 [20, 10, 0, 0, 0]   |0.6423641626721399  |0.48500314451448334 |281       
 [7, 3, 20, 6, 0]    |1.595796917499361   |1.232905089870939   |258       
 [9, 18, 0, 0, 0]    |0.5869066347874288  |0.4681860465576169  |226       
 [20, 1, 0, 0, 0]    |0.5811041507467785  |0.5348198717941738  |83        
 [20, 2, 3, 0, 0]    |0.6677278978753853  |0.5951900415081968  |115       
Gen 2 Train time: 10.563130378723145 minutes:
 Average MSE:        0.7038016426930954
 Average Error:      0.8309619087759005
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7608729010599591  |0.7101429787077618  |69        
 [19, 0, 0, 0, 0]    |0.5095161595369327  |0.4717558423637943  |77        
 [6, 20, 0, 0, 0]    |0.8295850800920433  |0.6936209795167196  |179       
 [17, 4, 0, 0, 0]    |0.45091591199108033 |0.39673988887544087 |128       
 [8, 9, 5, 0, 0]     |0.5957078867778253  |0.5071214007099591  |161       
 [19, 10, 0, 0, 0]   |0.538142140459313   |0.41162911057667884 |268       
 [18, 13, 0, 0, 0]   |0.6298541450702437  |0.45966054748451235 |315       
