/tmp/tmp.9kA3j2pahi ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k.mat
  Evaluating with: datasets/N8dataset100k.mat
Gen 0 Train time: 10.721608571211497 minutes:
 Average MSE:        0.58225396798413
 Average Error:      0.7376669887578937
 Structure           |Error               |MSE                 |weights&biases
 [19, 13, 3, 2, 0]   |0.311141516061963   |0.21491612683055172 |370       
 [2, 13, 12, 5, 0]   |3.3118272638422828  |2.4930330972490578  |284       
 [13, 15, 4, 16, 0]  |0.25747974501089804 |0.1708764971815182  |410       
 [6, 2, 7, 9, 0]     |1.3737411492168863  |1.2002595006113999  |135       
 [20, 20, 0, 0, 0]   |0.2637593170957495  |0.15981821445323513 |501       
 [20, 2, 0, 0, 0]    |0.20999079328249304 |0.18905986070957176 |105       
 [1, 0, 0, 0, 0]     |3.5500248233233327  |3.5323190006505136  |5         
 [13, 6, 14, 0, 0]   |0.3421959635111122  |0.27025975867889096 |236       
 [16, 19, 1, 11, 0]  |0.2984171633535315  |0.19509612476469682 |425       
 [20, 5, 12, 12, 0]  |0.23611512623881073 |0.15732590929573015 |406       
 [12, 0, 0, 0, 0]    |0.3873056915506049  |0.3687851709193157  |49        
 [6, 15, 0, 0, 0]    |1.894320291767668   |1.6484906127734376  |139       
 [16, 17, 5, 0, 0]   |1.3044819823275962  |0.8460354760091159  |433       
 [13, 5, 11, 0, 0]   |0.3244672682449299  |0.2691273433078398  |187       
 [8, 0, 0, 0, 0]     |0.3934910367895289  |0.38071775094653554 |33        
 [19, 8, 9, 15, 17]  |0.38435849554026413 |0.18374991935473767 |738       
 [9, 16, 11, 0, 0]   |0.2681068629481722  |0.1822511431647808  |386       
 [20, 13, 19, 20, 0] |0.49161464613718564 |0.17727375391204753 |1020      
 [16, 0, 0, 0, 0]    |0.24132863023573362 |0.22614120737534224 |65        
 [7, 13, 17, 10, 9]  |0.8646937730453849  |0.45050781516295785 |652       
 [13, 9, 18, 0, 0]   |0.30954026797908996 |0.2150968066370305  |364       
 [11, 9, 0, 0, 0]    |0.25951285625837883 |0.22314153222624422 |151       
 [12, 0, 0, 0, 0]    |0.28341923636887156 |0.2698664486639997  |49        
 [7, 9, 11, 0, 0]    |0.40035434331390496 |0.3229023686376449  |215       
 [14, 13, 18, 17, 0] |0.4799864755029675  |0.2092977600870582  |830       
Gen 1 Train time: 11.125653831164042 minutes:
 Average MSE:        0.21883945225776427
 Average Error:      0.31351749160683257
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 0, 0, 0]    |0.2020706211116985  |0.18192913548110012 |105       
 [20, 5, 12, 12, 0]  |0.2773758871566164  |0.18481837381095143 |406       
 [12, 0, 0, 0, 0]    |0.37475460771933605 |0.35683426573791743 |49        
 [19, 8, 9, 15, 17]  |0.4254670605054463  |0.20340265393661167 |738       
