/tmp/tmp.q7Jk75gw4C ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k.mat
  Evaluating with: datasets/N6dataset100k.mat
Gen 0 Train time: 10.72025485833486 minutes:
 Average MSE:        0.7622595624871952
 Average Error:      0.9487400649814558
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 16, 0, 0]   |0.2666039525210827  |0.22673098651721663 |162       
 [17, 18, 0, 0, 0]   |0.34447423110997727 |0.2322975950193214  |394       
 [5, 18, 0, 0, 0]    |0.7235967560144465  |0.6278079266423854  |142       
 [5, 0, 0, 0, 0]     |0.8124041986424044  |0.7955215982064969  |21        
 [5, 0, 0, 0, 0]     |2.110732061677785   |2.0668688639196815  |21        
 [16, 19, 0, 0, 0]   |0.35397095418570573 |0.23941892922550373 |391       
 [7, 10, 6, 6, 3]    |2.5748695337825582  |2.0376534299483806  |234       
 [8, 13, 0, 0, 0]    |0.7314873468139371  |0.6264568659486756  |155       
 [8, 5, 19, 12, 0]   |0.5245597988821015  |0.339189664270296   |436       
 [3, 13, 20, 3, 0]   |0.793493045704385   |0.5276561158858748  |408       
 [12, 17, 15, 7, 0]  |0.4204638129958741  |0.2201608506735034  |647       
 [9, 6, 10, 3, 0]    |1.1535924289552417  |0.9501655224133714  |194       
 [8, 0, 0, 0, 0]     |1.1403185073067987  |1.103302126032335   |33        
 [18, 3, 0, 0, 0]    |0.21308314589370986 |0.1899351020868129  |115       
 [13, 16, 1, 13, 15] |0.4391140183290403  |0.2579482806419572  |532       
 [10, 14, 13, 8, 0]  |0.3667940590057596  |0.22247184258743796 |500       
 [16, 3, 0, 0, 0]    |0.20622022969579654 |0.18603683168613208 |103       
 [15, 11, 12, 13, 0] |0.33454086453539233 |0.19339970121899164 |548       
 [7, 15, 19, 20, 16] |0.9372005842514582  |0.28284451509537145 |1198      
 [16, 15, 13, 0, 0]  |0.3149083828558022  |0.18628574316242857 |525       
 [3, 0, 0, 0, 0]     |2.417727581298107   |2.386500538300334   |13        
 [16, 0, 0, 0, 0]    |0.23700715835149955 |0.22209169667872625 |65        
 [1, 13, 18, 0, 0]   |4.7342727277953385  |3.5072354984273253  |300       
 [4, 2, 4, 1, 0]     |1.288242282851096   |1.2364924695109338  |41        
 [19, 15, 0, 0, 0]   |0.27882396108109103 |0.19201636808038364 |373       
Gen 1 Train time: 11.23649407227834 minutes:
 Average MSE:        0.3975968493360215
 Average Error:      0.6090949268490109
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |0.23169726798860044 |0.20902035513449196 |103       
 [18, 3, 0, 0, 0]    |0.19400022727537372 |0.17292523450349875 |115       
 [18, 3, 2, 0, 0]    |0.3110110920413678  |0.27529096070663706 |122       
 [4, 2, 4, 1, 0]     |0.6260854036765092  |0.6009350082838404  |41        
 [15, 17, 15, 7, 0]  |0.4513367209790397  |0.22256377074646078 |707       
 [12, 11, 12, 13, 0] |0.4506143499473193  |0.271676460216901   |506       
 [19, 15, 11, 5, 0]  |0.35963041715964855 |0.19756682570577647 |599       
 [13, 16, 1, 0, 0]   |0.27489310827539    |0.20734463763163175 |282       
 [16, 3, 9, 0, 0]    |0.23752475157824743 |0.20546420528077478 |145       
 [5, 3, 0, 0, 0]     |0.44442952980343414 |0.42828613171597035 |37        
 [16, 3, 12, 0, 0]   |0.2880624478304907  |0.2454706257531559  |160       
