/tmp/tmp.6HXGx05GjZ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k.mat
  Evaluating with: datasets/N7dataset100k.mat
Gen 0 Train time: 10.623116636276245 minutes:
 Average MSE:        0.795512426411817
 Average Error:      0.9718432971534565
 Structure           |Error               |MSE                 |weights&biases
 [14, 13, 11, 14, 0] |0.326617018042358   |0.18397286719906406 |574       
 [13, 0, 0, 0, 0]    |0.3217912046401829  |0.3051803466733504  |53        
 [4, 19, 13, 8, 11]  |2.3835345985995176  |1.3212582621124236  |590       
 [7, 4, 1, 2, 3]     |1.725767720187536   |1.6010697613200633  |75        
 [15, 0, 0, 0, 0]    |0.20332316846443763 |0.19129116207623564 |61        
 [2, 10, 14, 6, 0]   |2.540664182189075   |1.9067982677691382  |287       
 [5, 12, 20, 0, 0]   |0.6008012507978393  |0.4158248684572647  |368       
 [7, 13, 0, 0, 0]    |0.48829411003915973 |0.4249272206871545  |139       
 [20, 7, 19, 0, 0]   |0.25645979510712724 |0.1755584275658766  |379       
 [12, 3, 3, 7, 0]    |0.32291819548990597 |0.2855448262514354  |123       
 [12, 19, 0, 0, 0]   |0.2597103793400535  |0.19182185149859876 |303       
 [3, 16, 8, 1, 16]   |3.0623054361972906  |2.3447248090982913  |267       
 [12, 19, 0, 0, 0]   |0.2996532037529564  |0.2213235855164537  |303       
 [6, 1, 0, 0, 0]     |0.6950266186939934  |0.6765119724644473  |27        
 [16, 0, 0, 0, 0]    |0.25399075417345274 |0.238006471734631   |65        
 [12, 1, 10, 0, 0]   |0.24970712972598982 |0.2305087332593494  |80        
 [8, 0, 0, 0, 0]     |0.7180664879642732  |0.6947570154541078  |33        
 [2, 0, 0, 0, 0]     |3.0646317314744667  |3.0371737919598534  |9         
 [16, 0, 0, 0, 0]    |0.35731208673897413 |0.3348255307545772  |65        
 [8, 5, 11, 10, 13]  |0.42989335235558757 |0.28472880337853446 |412       
 [2, 1, 19, 3, 1]    |3.968739273326591   |3.5446821018000003  |113       
 [10, 0, 0, 0, 0]    |0.7331490152373521  |0.7036977814173533  |41        
 [16, 12, 12, 15, 16]|0.47951470423570264 |0.19969167651759148 |876       
 [13, 10, 15, 2, 0]  |0.27556504525715997 |0.18863684273497328 |379       
 [18, 15, 4, 0, 0]   |0.27864596680542736 |0.1852936825946573  |408       
Gen 1 Train time: 11.021728165944417 minutes:
 Average MSE:        0.40875502068684205
 Average Error:      0.5038888153165014
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.3188981798331547  |0.3000268187093012  |61        
 [12, 1, 10, 0, 0]   |0.20125520752079856 |0.18578197185788373 |80        
 [8, 5, 11, 10, 13]  |0.3771812708838181  |0.24981631217854422 |412       
 [20, 7, 19, 7, 0]   |0.28232312835800943 |0.17004315541209009 |507       
 [16, 0, 0, 0, 0]    |0.22744361269163973 |0.21313000920634745 |65        
 [18, 15, 4, 0, 0]   |0.24231195022698893 |0.16113232898721275 |408       
 [3, 15, 4, 0, 0]    |1.3212169242449308  |1.1509103342221667  |138       
 [15, 16, 0, 0, 0]   |0.2861009099699222  |0.20816781986206853 |318       
 [12, 1, 0, 0, 0]    |0.3891111082869836  |0.369763986672354   |51        
 [12, 19, 10, 0, 0]  |0.3832334802675121  |0.23384170509619712 |494       
 [10, 15, 4, 0, 0]   |0.43714177599968945 |0.3357133170463005  |264       
 [15, 17, 0, 0, 0]   |0.24103249954480782 |0.1724197269731571  |335       
 [16, 11, 0, 0, 0]   |0.2213569304971251  |0.17291090620650099 |247       
 [12, 3, 3, 7, 0]    |0.28081179666244993 |0.24831166780702246 |123       
 [13, 14, 0, 0, 0]   |0.31181014882981084 |0.242837988078268   |250       
 [14, 15, 4, 0, 0]   |0.32254746229228404 |0.23049986927639962 |336       
 [12, 6, 0, 0, 0]    |0.28371148125404155 |0.2513780071174783  |121       
 [12, 3, 3, 1, 0]    |0.9636997095529567  |0.8781169115819326  |93        
 [1, 1, 11, 14, 0]   |3.0309728168771914  |2.4568588153245323  |210       
