/tmp/tmp.JcGkEX7o9W ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k.mat
  Evaluating with: datasets/N8dataset100k.mat
Gen 0 Train time: 11.00463056564331 minutes:
 Average MSE:        0.5816707156720908
 Average Error:      0.8565871162366876
 Structure           |Error               |MSE                 |weights&biases
 [13, 7, 19, 13, 0]  |0.3084223345279755  |0.17564590406602482 |563       
 [9, 0, 0, 0, 0]     |1.813018007378272   |1.7471621866685347  |37        
 [8, 6, 0, 0, 0]     |0.7351382187030878  |0.6752334846117913  |85        
 [4, 13, 1, 0, 0]    |0.43700407611628983 |0.3981952737600832  |93        
 [13, 13, 8, 0, 0]   |0.2327669261276801  |0.16534556809047124 |342       
 [16, 7, 15, 0, 0]   |0.22471895926519808 |0.16597722025059058 |303       
 [11, 2, 8, 0, 0]    |0.21741239929096326 |0.19869997177665158 |90        
 [14, 20, 0, 0, 0]   |0.22394237222033453 |0.15577127600206933 |363       
 [13, 16, 8, 2, 0]   |0.30780293938450276 |0.20224094245231425 |420       
 [10, 3, 15, 20, 0]  |0.3274657062183056  |0.20589850140790045 |464       
 [7, 15, 16, 10, 0]  |0.7540277805446505  |0.4230241254382611  |578       
 [5, 12, 15, 1, 4]   |1.5521055904647831  |1.13724930294791    |311       
 [7, 1, 0, 0, 0]     |0.8118876270917292  |0.787105222548089   |31        
 [2, 18, 16, 13, 0]  |2.516359955128932   |1.3823893223338133  |599       
 [12, 5, 9, 0, 0]    |0.18515814619822782 |0.15699442642206723 |165       
 [8, 14, 5, 7, 4]    |1.2217145643838505  |0.9014553670315746  |304       
 [8, 3, 8, 13, 0]    |0.31708856202799973 |0.25600093846246996 |214       
 [3, 5, 20, 16, 19]  |2.9448456619897962  |1.2866686148448814  |828       
 [10, 16, 20, 19, 0] |2.6586732885433944  |1.0129098565307686  |965       
 [3, 5, 0, 0, 0]     |1.2913331077774335  |1.2469182430626056  |35        
 [14, 14, 14, 19, 0] |0.3864216966868948  |0.179455856269431   |767       
 [18, 1, 10, 8, 19]  |0.2995079912077435  |0.20646710440896548 |372       
 [20, 8, 0, 0, 0]    |0.18530280405201374 |0.14620229804227308 |237       
 [8, 1, 7, 1, 0]     |1.2126488206649415  |1.1454608842244125  |57        
 [13, 18, 0, 0, 0]   |0.2499103699221918  |0.18329600014831773 |310       
Gen 1 Train time: 11.339352826277414 minutes:
 Average MSE:        0.23380391897367397
 Average Error:      0.3204257586280151
 Structure           |Error               |MSE                 |weights&biases
 [12, 5, 9, 0, 0]    |0.25366192048686004 |0.21507834534765813 |165       
 [20, 8, 0, 0, 0]    |0.19628994761155594 |0.15487105859095066 |237       
 [16, 12, 15, 1, 4]  |1.3876819855411073  |0.8621161425893401  |476       
 [5, 7, 15, 0, 0]    |0.3235137480273238  |0.26673125363470995 |193       
 [18, 1, 10, 8, 0]   |0.2480944844430873  |0.20516399999118043 |190       
 [13, 16, 8, 2, 19]  |0.265120650867558   |0.16177152635987724 |494       
 [12, 7, 0, 0, 0]    |0.2420311839503012  |0.21146649654207178 |135       
 [7, 18, 15, 0, 0]   |0.34227919247466093 |0.21478268645569148 |466       
 [12, 5, 7, 0, 0]    |0.21533910623793356 |0.18515883493001734 |151       
 [12, 5, 9, 2, 0]    |0.22317090548169116 |0.1867811984860294  |178       
 [13, 13, 8, 0, 0]   |0.22749690070161666 |0.16160201499029536 |342       
 [8, 3, 8, 13, 0]    |0.2912846807675365  |0.23516821659951792 |214       
 [13, 13, 8, 2, 0]   |0.40088763140163874 |0.2813729932032064  |354       
 [20, 8, 2, 0, 0]    |0.2825849478341064  |0.22029756611142962 |249       
 [16, 7, 15, 0, 0]   |0.2034324340692009  |0.15025501197595956 |303       
 [12, 5, 9, 9, 0]    |0.3949174480198487  |0.30602804580326837 |255       
 [17, 8, 0, 0, 0]    |0.27607731873674    |0.22513066496809203 |204       
 [13, 18, 0, 0, 0]   |0.2805766160091414  |0.20578806499961594 |310       
 [16, 7, 19, 0, 0]   |0.2183106457687881  |0.15554250355958912 |339       
 [14, 20, 0, 0, 0]   |0.3228715814634971  |0.22458509182840647 |363       
