/tmp/tmp.PSS60rpfRM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 10.640320845444997 minutes:
 Average MSE:        1.667200742695116
 Average Error:      4.515320574317147
 Structure           |Error               |MSE                 |weights&biases
 [13, 9, 0, 0, 0]    |0.9014891205253733  |0.5820451222579837  |175       
 [16, 20, 0, 0, 0]   |1.6359170016081563  |0.5884304767525643  |409       
 [10, 14, 0, 0, 0]   |1.0709525863457912  |0.6511915242491252  |199       
 [16, 2, 0, 0, 0]    |0.8289631777554682  |0.6702667292247978  |85        
 [12, 19, 1, 14, 6]  |8.44815713418593    |2.8977898535173856  |428       
 [17, 3, 0, 0, 0]    |0.7274745598646354  |0.5539525477378471  |109       
 [8, 14, 8, 14, 0]   |2.8134834971216525  |1.0069474163697254  |411       
 [14, 17, 1, 0, 0]   |2.1466726998819525  |0.9718236334512909  |317       
 [5, 18, 12, 20, 2]  |44.806322600430526  |8.691532352930857   |656       
 [13, 1, 19, 17, 0]  |5.041933891752908   |1.6409735884145398  |449       
 [8, 20, 20, 0, 0]   |4.301195339762658   |0.8576089694498806  |645       
 [7, 14, 13, 11, 9]  |4.37307704263763    |0.9757653808651563  |600       
 [8, 4, 0, 0, 0]     |0.880246831166834   |0.7482239698617283  |65        
 [13, 0, 0, 0, 0]    |0.7314144221968678  |0.6406480384498298  |53        
 [3, 18, 0, 0, 0]    |2.42232793285003    |1.8865108909593407  |100       
 [5, 0, 0, 0, 0]     |1.3668054972508137  |1.2968993021092576  |21        
 [3, 11, 0, 0, 0]    |1.7877763325386238  |1.5196386483819821  |65        
 [16, 2, 10, 15, 4]  |7.38478539354142    |3.1093753557701778  |346       
 [16, 3, 0, 0, 0]    |0.899627057658945   |0.6953951861048251  |103       
 [8, 0, 0, 0, 0]     |1.0012331958712217  |0.9219469787201433  |33        
 [16, 13, 7, 16, 0]  |3.1019738010141924  |0.8624644217105196  |512       
 [5, 12, 11, 17, 5]  |4.139728155595264   |1.1003519935809654  |530       
 [18, 16, 15, 0, 0]  |2.2306192301916345  |0.4629108595627015  |629       
 [7, 15, 8, 7, 0]    |2.447980319794223   |1.04630334179667    |340       
 [1, 0, 0, 0, 0]     |7.3928575363858995  |7.301021985148601   |5         
Gen 1 Train time: 10.644019480546316 minutes:
 Average MSE:        0.8324824928735062
 Average Error:      1.4759709741486833
 Structure           |Error               |MSE                 |weights&biases
 [17, 3, 0, 0, 0]    |1.1393897598242415  |0.8676150275804787  |109       
 [13, 0, 0, 0, 0]    |0.6880768080031614  |0.6026884950203997  |53        
 [8, 4, 0, 0, 0]     |0.9664070433936036  |0.8214615365917176  |65        
 [8, 14, 8, 14, 0]   |2.012486264863806   |0.7202700307136529  |411       
 [5, 0, 0, 0, 0]     |1.5352452607863027  |1.4567240995775237  |21        
 [8, 4, 12, 0, 0]    |1.1020664702918868  |0.790323460840052   |133       
 [13, 9, 0, 0, 0]    |0.9435360375802588  |0.6091926522953063  |175       
 [16, 3, 0, 0, 0]    |0.7600553904452708  |0.5875088517947149  |103       
 [8, 0, 0, 0, 0]     |0.8744079175599737  |0.8051648118417736  |33        
 [13, 9, 20, 0, 0]   |1.4436932695677682  |0.5500228812820739  |386       
 [7, 4, 6, 0, 0]     |0.9548370664589941  |0.762452883840132   |90        
 [13, 10, 0, 0, 0]   |1.4093872529736193  |0.8764768713965788  |190       
 [17, 15, 8, 7, 0]   |3.8249358526610577  |1.0424166261657979  |520       
 [7, 4, 0, 0, 0]     |1.4941342556818662  |1.2924594400652387  |58        
 [8, 19, 0, 0, 0]    |1.186774205752206   |0.69332173387329    |215       
 [18, 16, 15, 0, 0]  |2.5239076633339863  |0.5237757525252087  |629       
 [16, 3, 3, 0, 0]    |0.7989468000027108  |0.5993192095866957  |115       
 [13, 18, 0, 0, 0]   |1.0197337427747124  |0.46979519090853683 |310       
 [10, 14, 0, 0, 0]   |0.8550617095635372  |0.5199193176960675  |199       
 [8, 5, 0, 0, 0]     |1.2536862596182434  |1.039342414286197   |75        
 [16, 6, 13, 18, 0]  |2.781136029012783   |0.7732595536998303  |512       
 [13, 11, 0, 0, 0]   |1.078955649511405   |0.6462903500495475  |205       
 [13, 5, 0, 0, 0]    |0.6497619882784486  |0.48741022710548226 |115       
 [14, 17, 1, 0, 0]   |2.7285755985418176  |1.2352578259681875  |317       
 [16, 11, 14, 0, 0]  |2.1113223814357953  |0.7425348096207879  |418       
 [3, 2, 0, 0, 0]     |2.238724649948308   |2.129540760385891   |20        
Gen 2 Train time: 10.67579329808553 minutes:
 Average MSE:        0.902846828010695
 Average Error:      1.4495818990461908
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 0, 0, 0]    |1.863976834774353   |1.3982371833782747  |115       
 [13, 0, 0, 0, 0]    |0.6897961349368864  |0.6041944585263372  |53        
 [16, 3, 0, 0, 0]    |0.94938963761003    |0.7338607460849695  |103       
 [13, 11, 0, 0, 0]   |0.9087537840024499  |0.5443400768490865  |205       
 [16, 19, 0, 0, 0]   |1.4776006969317135  |0.5559480755269937  |391       
 [5, 0, 0, 0, 0]     |1.7673813785559036  |1.676987457996328   |21        
 [16, 3, 3, 17, 0]   |1.3664148159575091  |0.8350116409705377  |197       
 [16, 3, 3, 0, 0]    |0.8746146187908798  |0.6560804073875015  |115       
 [8, 14, 0, 0, 0]    |0.9612519005701083  |0.6363422184835457  |165       
 [10, 4, 12, 0, 0]   |1.4954023143557762  |1.0355112615161455  |147       
 [8, 14, 0, 0, 0]    |1.216551893615924   |0.8053490769950928  |165       
 [8, 11, 0, 0, 0]    |1.0215977090935378  |0.728963062679333   |135       
 [10, 6, 0, 0, 0]    |0.8251916944962416  |0.6378580180320839  |103       
 [13, 11, 1, 12, 0]  |1.327656510182574   |0.7249992675724266  |242       
 [7, 4, 6, 0, 0]     |1.0969047361331326  |0.8758962222362812  |90        
 [13, 9, 0, 0, 0]    |1.0809314626285826  |0.6979018060156904  |175       
 [16, 16, 0, 0, 0]   |1.753607470907236   |0.7551605359701137  |337       
 [13, 9, 0, 0, 0]    |0.9549650382859607  |0.616571769759486   |175       
 [20, 4, 12, 0, 0]   |1.2447219098508298  |0.7235483837237584  |217       
 [7, 4, 6, 2, 4]     |4.022799775348003   |3.0252027733345086  |114       
 [13, 18, 0, 0, 0]   |1.336213293432668   |0.6155985165055107  |310       
 [16, 3, 19, 3, 0]   |1.1827214245747737  |0.6507160383661491  |239       
 [13, 19, 5, 0, 0]   |1.938458693505738   |0.6937755189116849  |411       
 [6, 0, 0, 0, 0]     |1.2834583205218821  |1.2056975118749012  |25        
 [8, 19, 17, 0, 0]   |3.7895086663733806  |0.9509786860919431  |553       
 [5, 6, 0, 0, 0]     |1.2592586597648954  |1.0892868134893887  |58        
Increasing Epochs
Gen 3 Train time: 12.623468391100566 minutes:
 Average MSE:        0.7205499509854858
 Average Error:      1.2463860444961175
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.5672025033276142  |0.49681433689704074 |53        
 [10, 6, 0, 0, 0]    |0.5933857325443878  |0.45867626857337845 |103       
 [13, 9, 4, 0, 0]    |1.1560036391131907  |0.6838401539449677  |210       
 [13, 3, 0, 0, 0]    |0.6537458719075548  |0.5285929689834162  |85        
 [13, 9, 0, 0, 0]    |0.9610006586048175  |0.6204686591244342  |175       
 [13, 18, 0, 0, 0]   |1.6486799598829045  |0.7595530911752774  |310       
 [5, 0, 0, 0, 0]     |1.4033335259950224  |1.3315590800228505  |21        
 [13, 13, 0, 0, 0]   |1.1572139195870788  |0.6430809443081448  |235       
 [20, 4, 0, 0, 0]    |0.668293071560739   |0.46046037637461074 |149       
 [13, 12, 6, 0, 0]   |1.172506964356257   |0.5650416470666528  |292       
 [16, 4, 6, 0, 0]    |0.8472011073261019  |0.5779215318020593  |153       
 [7, 3, 12, 17, 0]   |2.405600364386751   |1.0489603220656687  |332       
 [7, 4, 6, 0, 0]     |0.9262315329081235  |0.7396109013534963  |90        
 [13, 11, 0, 0, 0]   |0.7826720951212162  |0.46881762244719277 |205       
 [16, 3, 0, 0, 0]    |0.7745238535762692  |0.5986927079559707  |103       
 [16, 3, 0, 0, 0]    |1.0988554754305937  |0.8493950924818161  |103       
 [16, 3, 3, 0, 0]    |0.6897867004951276  |0.5174342273136985  |115       
 [17, 4, 6, 13, 0]   |1.0017759892142621  |0.5255943371225015  |258       
 [16, 3, 10, 0, 0]   |1.1235168923960621  |0.7721811146843639  |150       
 [10, 14, 0, 0, 0]   |1.3031785954354285  |0.7923962897610736  |199       
 [13, 5, 0, 0, 0]    |0.9884499162472271  |0.7414724265987594  |115       
 [8, 14, 0, 0, 0]    |1.3538631971579411  |0.8962482257686581  |165       
 [13, 20, 0, 0, 0]   |1.7107109203917432  |0.7311833916231806  |340       
 [8, 19, 17, 0, 0]   |3.2509023450608336  |0.8158152185142828  |553       
 [8, 14, 10, 0, 0]   |3.555514243848733   |1.6339488730063103  |311       
 [13, 4, 0, 0, 0]    |0.6118880810230657  |0.47653891665282283 |100       
Gen 4 Train time: 12.696127780278523 minutes:
 Average MSE:        0.7924787451790204
 Average Error:      1.4336982414776263
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.5468865197138728  |0.4790195072405111  |53        
 [10, 6, 0, 0, 0]    |0.7748157743835788  |0.5989183573763597  |103       
 [13, 20, 0, 0, 0]   |1.1564229448564058  |0.4942724342797469  |340       
 [13, 14, 0, 0, 0]   |1.380468711387036   |0.7389116544827945  |250       
 [8, 0, 0, 0, 0]     |1.0984055851232066  |1.0114244261872447  |33        
 [13, 7, 0, 0, 0]    |0.8414848825737313  |0.5856182042249024  |145       
 [13, 4, 0, 0, 0]    |0.956174282731693   |0.7446692801441814  |100       
 [16, 3, 3, 0, 0]    |0.8004340993011054  |0.6004348871761543  |115       
 [16, 4, 6, 13, 0]   |1.129958762988164   |0.6033131717893501  |251       
 [17, 4, 6, 0, 0]    |1.1787097132341489  |0.7901127492377699  |160       
 [13, 9, 0, 0, 0]    |0.9281229675550275  |0.5992412263457858  |175       
