/tmp/tmp.Wa7g8eKzZp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k.mat
  Evaluating with: datasets/N2dataset100k.mat
Gen 0 Train time: 10.681290193398793 minutes:
 Average MSE:        1.0939302068343963
 Average Error:      2.0393973418372435
 Structure           |Error               |MSE                 |weights&biases
 [2, 13, 11, 0, 0]   |3.696206508056764   |2.181051337835121   |211       
 [2, 0, 0, 0, 0]     |2.92599162749507    |2.860891933800648   |9         
 [9, 5, 0, 0, 0]     |0.6080487281747785  |0.49410844815811583 |83        
 [3, 19, 7, 13, 0]   |1.6230122871924617  |0.6885164002544308  |343       
 [2, 12, 14, 0, 0]   |1.8228397210036353  |1.0028997675884679  |239       
 [13, 14, 0, 0, 0]   |0.7538632960476673  |0.4035139447505089  |250       
 [3, 4, 0, 0, 0]     |1.0564512889964321  |0.9801158019898436  |30        
 [6, 0, 0, 0, 0]     |1.413212721048101   |1.3275904906867628  |25        
 [16, 10, 12, 17, 12]|2.9629988028045315  |0.4009982822072956  |800       
 [5, 16, 15, 14, 0]  |5.559863745397251   |1.225162639029509   |605       
 [9, 11, 9, 3, 0]    |0.9679920221959744  |0.4818938423516184  |279       
 [9, 13, 15, 0, 0]   |1.2971550422442988  |0.4979146696687599  |383       
 [8, 0, 0, 0, 0]     |0.9935182167798292  |0.914842937729963   |33        
 [11, 16, 6, 0, 0]   |1.109250474229539   |0.4812754742856405  |334       
 [19, 3, 19, 12, 14] |2.024863581515298   |0.41916205452267546 |630       
 [2, 0, 0, 0, 0]     |2.8964252616568205  |2.831983383022989   |9         
 [6, 19, 13, 3, 4]   |4.526915150550684   |1.3840870121957072  |474       
 [5, 7, 7, 5, 3]     |2.079431753400021   |1.3425820473900913  |175       
 [6, 0, 0, 0, 0]     |0.7707539299984011  |0.7240563100553213  |25        
 [6, 4, 16, 5, 0]    |1.2570825071548977  |0.7307335149008022  |217       
 [8, 20, 9, 0, 0]    |1.1364948264675165  |0.41496911306848083 |403       
 [6, 16, 0, 0, 0]    |0.7819767441624437  |0.5414902177497172  |147       
 [16, 0, 0, 0, 0]    |0.5508932707767733  |0.46826814415715445 |65        
 [1, 14, 11, 2, 0]   |7.0366030300042475  |4.029432429027447   |223       
 [8, 14, 10, 0, 0]   |1.1330890085776473  |0.520714974432838   |311       
Gen 1 Train time: 10.910750190416971 minutes:
 Average MSE:        0.7208411491250607
 Average Error:      1.1459547322609427
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5771620146644135  |0.49059699913165866 |65        
 [9, 5, 0, 0, 0]     |0.5455884128964935  |0.44335236887765894 |83        
 [16, 1, 0, 0, 0]    |0.4993096683494563  |0.4223044422762178  |67        
 [6, 0, 0, 0, 0]     |0.7619640162106889  |0.7157989502221402  |25        
