/tmp/tmp.dEuLpqt1Ij ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k.mat
  Evaluating with: datasets/N5dataset100k.mat
Gen 0 Train time: 10.536550243695578 minutes:
 Average MSE:        0.7997229808016354
 Average Error:      1.4328275174346101
 Structure           |Error               |MSE                 |weights&biases
 [5, 4, 6, 0, 0]     |0.5161428022147324  |0.42682900471059526 |76        
 [2, 11, 7, 0, 0]    |3.319297170858644   |2.3922947817028333  |131       
 [3, 19, 9, 0, 0]    |2.0429857847202513  |1.027277765903085   |275       
 [17, 0, 0, 0, 0]    |0.28213027472036734 |0.23742907121566778 |69        
 [19, 4, 4, 0, 0]    |0.2973055148577248  |0.19829588415044203 |162       
 [14, 0, 0, 0, 0]    |0.42495202063784004 |0.3685131034684804  |57        
 [7, 15, 13, 0, 0]   |4.106661400064112   |1.6571684401916424  |363       
 [1, 0, 0, 0, 0]     |3.5544632780411427  |3.510309026064143   |5         
 [11, 12, 17, 17, 0] |1.5298904984889925  |0.25162790836152965 |722       
 [6, 3, 2, 13, 18]   |0.8295920925949762  |0.3398261370770951  |357       
 [1, 2, 0, 0, 0]     |3.6022521324024885  |3.513312210357345   |10        
 [13, 17, 15, 12, 15]|3.372234612285467   |0.31366667996025255 |950       
 [16, 0, 0, 0, 0]    |0.34085981432444157 |0.289736326687017   |65        
 [18, 0, 0, 0, 0]    |0.43380828939948485 |0.3614424051364679  |73        
 [8, 17, 12, 17, 0]  |1.934161527408584   |0.3983891105520904  |632       
 [13, 0, 0, 0, 0]    |0.30263297612680073 |0.2650771117467573  |53        
 [13, 11, 16, 11, 15]|1.492602522004776   |0.21882592141921933 |768       
 [11, 5, 11, 0, 0]   |0.3570401354651109  |0.23283922635056703 |171       
 [18, 1, 17, 6, 16]  |0.5917856518467006  |0.2504212487212162  |344       
 [11, 0, 0, 0, 0]    |0.5626118660996461  |0.5027484709984151  |45        
 [19, 19, 0, 0, 0]   |0.995909712580054   |0.31771558743700423 |457       
 [15, 1, 20, 2, 0]   |3.1900503516987775  |2.21452227028141    |146       
 [16, 8, 0, 0, 0]    |0.33563634784849555 |0.20716763071963631 |193       
 [9, 6, 18, 0, 0]    |0.4492897480324992  |0.25155659603797736 |232       
 [12, 17, 15, 0, 0]  |0.9563914111431375  |0.2460826007899927  |543       
Gen 1 Train time: 10.680103993415832 minutes:
 Average MSE:        0.4683611868867536
 Average Error:      0.6934224032060743
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.44350965403651216 |0.3732392255224687  |69        
 [19, 4, 4, 0, 0]    |0.3324903872598081  |0.22176337813564592 |162       
 [11, 4, 6, 0, 0]    |0.33795468868558    |0.25161794085862205 |118       
 [5, 15, 11, 0, 0]   |1.2113050947994095  |0.5822812905531787  |293       
 [1, 8, 0, 0, 0]     |3.1557415090458676  |2.942393880255038   |28        
 [16, 0, 0, 0, 0]    |0.31286946868707466 |0.2659440825242848  |65        
 [16, 8, 0, 0, 0]    |0.45453234974671103 |0.2805548045855883  |193       
 [11, 4, 4, 0, 0]    |0.33271646686704137 |0.2552620530353388  |106       
 [13, 4, 6, 0, 0]    |0.3935962057511305  |0.28296565370324334 |132       
 [14, 0, 0, 0, 0]    |0.6132273636700268  |0.5317831377260978  |57        
 [19, 4, 4, 20, 0]   |0.5020314288017887  |0.2505510582004418  |278       
 [19, 4, 4, 4, 0]    |0.33485231172995694 |0.21244636873983783 |182       
 [9, 6, 18, 0, 0]    |0.603036235210954   |0.3376390030743627  |232       
 [16, 17, 10, 0, 0]  |0.8510679570207312  |0.2273502956921924  |528       
 [18, 0, 0, 0, 0]    |0.3347593363925721  |0.2789163384939294  |73        
 [11, 0, 0, 0, 0]    |0.4659227898924741  |0.41634736900531316 |45        
 [6, 4, 4, 0, 0]     |1.1958445081106155  |1.001353552361678   |71        
 [13, 18, 0, 0, 0]   |0.4565499110084444  |0.2103342702163317  |310       
 [3, 3, 0, 0, 0]     |1.309171472698899   |1.2298527829161015  |25        
 [13, 19, 9, 0, 0]   |0.7919835010177706  |0.22976121168605018 |495       
 [13, 0, 0, 0, 0]    |0.3348015521336941  |0.2932536618572136  |53        
 [16, 9, 0, 0, 0]    |0.35010797045215414 |0.2065911240827464  |211       
 [16, 8, 5, 0, 0]    |0.48561638872916246 |0.2698642321437799  |235       
 [17, 6, 0, 0, 0]    |0.3550360594845988  |0.23444461118045096 |166       
 [11, 5, 11, 6, 16]  |1.301634645757849   |0.5292051550323439  |360       
 [18, 1, 17, 17, 0]  |0.7686232263670993  |0.2616743774733158  |431       
Increasing Epochs
Gen 2 Train time: 12.79746366739273 minutes:
 Average MSE:        0.38955508353661616
 Average Error:      0.6212482977988956
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.33892666914985736 |0.28809312218387884 |65        
 [19, 4, 4, 0, 0]    |0.2888287616265418  |0.19264208631387336 |162       
