/tmp/tmp.QuGWcksw1i ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N10dataset10k.mat
  Evaluating with: datasets/N10dataset100k.mat
Gen 0 Train time: 10.877567609151205 minutes:
 Average MSE:        0.9925824478003048
 Average Error:      1.6726832415824306
 Structure           |Error               |MSE                 |weights&biases
 [6, 8, 0, 0, 0]     |1.028083598395537   |0.8354343457059488  |83        
 [10, 4, 9, 5, 3]    |0.9517395576302038  |0.59039477507704    |191       
 [18, 5, 9, 2, 0]    |0.2522893080895304  |0.1433911881711238  |226       
 [5, 0, 0, 0, 0]     |1.7836355770325636  |1.6924103244562054  |21        
 [10, 5, 10, 7, 0]   |0.4450992181684172  |0.2504594971655377  |230       
 [2, 15, 11, 12, 1]  |9.197781118473559   |3.5042000810181166  |386       
 [4, 1, 0, 0, 0]     |2.6918970792567958  |2.567021247374408   |19        
 [18, 16, 13, 17, 9] |2.328277690095089   |0.19644531244856278 |989       
 [7, 0, 0, 0, 0]     |0.46694400537538594 |0.4342886250079994  |29        
 [13, 17, 20, 0, 0]  |0.854932766962959   |0.16501276436788256 |658       
 [3, 20, 10, 0, 0]   |3.91376880549759    |1.8030880866485457  |310       
 [7, 19, 3, 19, 0]   |0.6318564452358343  |0.2775947245672105  |329       
 [16, 0, 0, 0, 0]    |0.48165266900025633 |0.4094125185502257  |65        
 [5, 18, 4, 0, 0]    |1.7380366983336446  |1.0436833531628216  |204       
 [4, 11, 0, 0, 0]    |2.1153707279211815  |1.73625428354292    |79        
 [11, 2, 20, 0, 0]   |0.2913907022726627  |0.20636882616077568 |138       
 [9, 0, 0, 0, 0]     |1.8593216389828036  |1.6950491051078227  |37        
 [2, 4, 6, 16, 5]    |4.235523238636214   |2.26145151751514    |251       
 [17, 19, 3, 0, 0]   |0.4317318981532952  |0.13773131429927804 |457       
 [1, 9, 0, 0, 0]     |1.9674162451345483  |1.8207001614844693  |31        
 [19, 12, 0, 0, 0]   |0.309735611893409   |0.14269636750932174 |310       
 [9, 0, 0, 0, 0]     |0.9991482616460171  |0.910872724366105   |37        
 [6, 8, 13, 5, 11]   |1.0063052143998747  |0.4311864946333389  |339       
 [16, 16, 0, 0, 0]   |0.3234080813236132  |0.13927006133422495 |337       
 [6, 0, 0, 0, 0]     |1.5117348816497895  |1.4201434953325962  |25        
Gen 1 Train time: 11.500702158610027 minutes:
 Average MSE:        0.27909581965398783
 Average Error:      0.5004154905538342
 Structure           |Error               |MSE                 |weights&biases
 [18, 5, 9, 2, 0]    |0.2711163615730916  |0.15409173505205276 |226       
