/tmp/tmp.pPvMMgf8Yo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k.mat
  Evaluating with: datasets/N2dataset100k.mat
Gen 0 Train time: 10.912772274017334 minutes:
 Average MSE:        0.8826421080236809
 Average Error:      1.6413547359879488
 Structure           |Error               |MSE                 |weights&biases
 [20, 2, 0, 0, 0]    |0.6316643234680412  |0.4858296846103073  |105       
 [12, 6, 6, 5, 20]   |1.5548273891297308  |0.6779813733831956  |332       
 [13, 0, 0, 0, 0]    |0.4856527092247916  |0.42538463296662166 |53        
 [20, 0, 0, 0, 0]    |0.5615009654215682  |0.458570248425584   |81        
 [11, 7, 1, 0, 0]    |0.6025173259106509  |0.4386125378521906  |127       
 [9, 8, 0, 0, 0]     |0.4829434314617075  |0.36136897496417153 |116       
 [20, 10, 19, 6, 0]  |2.153451178238262   |0.47334619464682615 |606       
 [13, 17, 3, 15, 11] |2.1866804357176077  |0.5142141896684416  |579       
 [18, 6, 11, 0, 0]   |0.9920451094047967  |0.5217917591413236  |257       
 [10, 0, 0, 0, 0]    |0.6269999062948431  |0.5659164153188573  |41        
 [5, 8, 16, 2, 0]    |1.5222889438120877  |0.8271370206028003  |244       
 [19, 20, 11, 7, 0]  |3.270075773359869   |0.4652469946723258  |780       
 [16, 11, 0, 0, 0]   |0.6835279455138025  |0.3686204563910666  |247       
 [17, 3, 17, 11, 15] |1.9725168674766504  |0.47797842906898    |567       
 [8, 19, 6, 0, 0]    |1.230911227703865   |0.5503255485727528  |322       
 [1, 0, 0, 0, 0]     |4.081349245237177   |4.030649910658694   |5         
 [20, 0, 0, 0, 0]    |0.43605433193751697 |0.35611967857171983 |81        
 [12, 16, 6, 0, 0]   |1.4323408397555297  |0.5926270828232831  |353       
 [14, 20, 0, 0, 0]   |0.8537008151465825  |0.3444954210748199  |363       
 [15, 0, 0, 0, 0]    |0.46958566927213924 |0.4031669528280612  |61        
 [19, 2, 3, 0, 0]    |0.6390996657289516  |0.4854422900501074  |110       
 [5, 16, 1, 0, 0]    |2.85856597197065    |2.065392106939232   |130       
 [6, 16, 0, 0, 0]    |0.6960102151374691  |0.4819615490668914  |147       
 [2, 14, 15, 7, 8]   |7.09543818043692    |2.257938136218359   |458       
 [2, 0, 0, 0, 0]     |3.5141199329375112  |3.4359351120754154  |9         
Gen 1 Train time: 10.789833617210387 minutes:
 Average MSE:        0.5949887199804706
 Average Error:      0.7946677341394981
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.5152611423055469  |0.4208068099290017  |81        
 [15, 0, 0, 0, 0]    |0.4301323351973846  |0.3692939419619477  |61        
 [9, 0, 0, 0, 0]     |1.4263108589494133  |1.3002951691512763  |37        
 [20, 10, 0, 0, 0]   |0.684003356520164   |0.3388179101277309  |281       
 [10, 0, 0, 0, 0]    |0.7690693339132176  |0.6941451764351069  |41        
 [20, 2, 0, 0, 0]    |0.7700465559136671  |0.5922631079444179  |105       
 [9, 8, 6, 0, 0]     |0.8169516302137839  |0.536775470574693   |168       
 [20, 2, 9, 0, 0]    |0.43154195986172383 |0.3048636866394256  |139       
 [9, 1, 0, 0, 0]     |0.6227931122221128  |0.5649370904015036  |39        
 [10, 8, 0, 0, 0]    |0.5915470998934735  |0.43062657883112204 |127       
 [20, 2, 20, 0, 0]   |0.5890882175043816  |0.372812624964561   |183       
 [11, 7, 1, 0, 0]    |0.6530065068364571  |0.4753669793057635  |127       
 [19, 2, 19, 0, 0]   |0.6158469758829334  |0.3986159878158813  |174       
 [20, 3, 0, 0, 0]    |0.5443628084519345  |0.3962779868057371  |127       
 [18, 6, 11, 0, 0]   |0.7463432329089991  |0.3925585084094223  |257       
 [20, 9, 0, 0, 0]    |0.9197825469029765  |0.48137051741264064 |259       
 [10, 0, 0, 0, 0]    |0.46934151974114074 |0.42361740049018504 |41        
 [5, 0, 0, 0, 0]     |1.469441325959691   |1.3942857516748188  |21        
 [13, 0, 0, 0, 0]    |0.3628245345626429  |0.3177990743891364  |53        
 [20, 5, 0, 0, 0]    |0.5763445277973573  |0.3758558230124603  |171       
 [20, 11, 0, 0, 0]   |0.9112632629474141  |0.42723398521674005 |303       
 [16, 2, 0, 0, 0]    |0.5435670531067986  |0.43950674840195286 |85        
 [1, 7, 1, 2, 0]     |2.5546921663397204  |2.358278098734082   |32        
 [20, 2, 14, 0, 0]   |0.6657119821999588  |0.44735708243422057 |159       
 [5, 8, 16, 2, 0]    |1.3038641062348526  |0.7084556952777531  |244       
 [9, 8, 0, 0, 0]     |0.678222935259206   |0.5074895131506597  |116       
Gen 2 Train time: 10.893185317516327 minutes:
 Average MSE:        0.49635993084222346
 Average Error:      0.73790895668001
 Structure           |Error               |MSE                 |weights&biases
