/tmp/tmp.WuH4KyqQQ4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k.mat
  Evaluating with: datasets/N3dataset100k.mat
Gen 0 Train time: 11.139529085159301 minutes:
 Average MSE:        1.1610204854041504
 Average Error:      2.126274209987611
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |0.9799783417927894  |0.9206044555544356  |25        
 [3, 6, 1, 11, 4]    |4.427390124668386   |3.3211472278744916  |115       
 [9, 0, 0, 0, 0]     |0.7802172579868413  |0.7112844476245597  |37        
 [17, 0, 0, 0, 0]    |0.523324228983799   |0.44040784263734645 |69        
 [1, 6, 10, 0, 0]    |2.8368103442989594  |2.231514053387363   |96        
 [17, 18, 0, 0, 0]   |0.9304238641736633  |0.3474567685604336  |394       
 [6, 0, 0, 0, 0]     |1.4027072319836225  |1.3177214970283475  |25        
 [12, 17, 14, 4, 12] |1.738154920486267   |0.34917716834151596 |642       
 [14, 5, 0, 0, 0]    |0.5746680749147249  |0.4225435900114733  |123       
 [7, 15, 20, 9, 0]   |2.4441969276374103  |0.46940779660389254 |660       
 [11, 20, 2, 14, 2]  |8.04060150233948    |3.032853404730884   |390       
 [10, 14, 5, 0, 0]   |0.7307086279877855  |0.37672473940509466 |265       
 [7, 14, 13, 0, 0]   |1.1822141946147917  |0.5027758252285393  |342       
 [19, 9, 0, 0, 0]    |0.5246619535460346  |0.28294545970873186 |247       
 [3, 2, 0, 0, 0]     |1.804956674849107   |1.7169278990654384  |20        
 [13, 2, 4, 0, 0]    |0.6477608319412992  |0.5250647255281591  |84        
 [1, 6, 0, 0, 0]     |3.2857210476712067  |3.109886171938958   |22        
 [7, 10, 4, 14, 0]   |0.9193944685842111  |0.5173477438265193  |230       
 [20, 18, 19, 0, 0]  |3.643304256883947   |0.4701944402176098  |819       
 [2, 3, 4, 0, 0]     |1.0387003385516658  |0.9493006315541498  |36        
 [2, 0, 0, 0, 0]     |2.818364401453164   |2.7556592803824875  |9         
 [12, 7, 15, 11, 20] |2.5618992291219134  |0.4633599346803289  |684       
 [9, 18, 0, 0, 0]    |0.6342621563100538  |0.36048933224313623 |226       
 [13, 9, 17, 3, 1]   |8.290584943559896   |3.0882992251303487  |395       
 [7, 4, 0, 0, 0]     |0.3958493053492559  |0.3424184738395074  |58        
Gen 1 Train time: 11.336178282896677 minutes:
 Average MSE:        0.46315130991631714
 Average Error:      0.8035602172182972
 Structure           |Error               |MSE                 |weights&biases
