/tmp/tmp.TeijqCCxHq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k.mat
  Evaluating with: datasets/N6dataset100k.mat
Gen 0 Train time: 11.147091929117838 minutes:
 Average MSE:        0.7990033030733996
 Average Error:      2.213437564089435
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.29079630695053893 |0.24472204247007867 |69        
 [15, 18, 17, 17, 0] |2.70368036669029    |0.23331027558963827 |980       
 [2, 17, 13, 15, 0]  |6.804195720253906   |1.8683196417385495  |517       
 [16, 19, 18, 7, 0]  |2.113492040176943   |0.23891237521800876 |872       
 [9, 11, 10, 0, 0]   |0.5982646551726175  |0.30613715583833634 |268       
 [8, 4, 14, 12, 4]   |0.7023311570228907  |0.28059294546149327 |367       
 [3, 15, 12, 11, 16] |10.557692159239469  |2.2804087628910046  |613       
 [10, 3, 9, 0, 0]    |0.35150512519739263 |0.26766181305671843 |109       
 [17, 16, 2, 13, 4]  |2.961052963434322   |0.9075967889578687  |473       
 [2, 7, 11, 4, 11]   |1.2826320544007523  |0.7217433018991714  |230       
 [11, 9, 8, 0, 0]    |0.5041858603951     |0.28370783842794683 |230       
 [15, 0, 0, 0, 0]    |0.31432995224507465 |0.26987077613689764 |61        
 [15, 17, 19, 0, 0]  |1.0659597329618822  |0.1952207227660147  |679       
 [8, 0, 0, 0, 0]     |0.4010846103443759  |0.369323296753441   |33        
 [16, 1, 1, 0, 0]    |0.27526574291468076 |0.2316521675757802  |69        
 [18, 8, 7, 20, 11]  |1.4726625235817146  |0.2744659698841555  |672       
 [5, 0, 0, 0, 0]     |3.09299551556921    |2.9348021599540606  |21        
 [20, 9, 0, 0, 0]    |0.34937764381606773 |0.18284767170504956 |259       
 [17, 13, 17, 7, 6]  |1.2446174386914213  |0.2141300377514595  |704       
 [9, 9, 8, 0, 0]     |0.5804010243112602  |0.3467899571430121  |206       
 [10, 7, 7, 1, 1]    |2.3795423752935507  |1.536348028181007   |175       
 [1, 8, 0, 0, 0]     |3.1505912753043095  |2.937591834143338   |28        
 [16, 13, 4, 13, 19] |1.1364634815423456  |0.20969970064960894 |676       
 [17, 18, 7, 0, 0]   |0.6842030876366769  |0.18834111972617448 |516       
 [2, 2, 20, 14, 13]  |10.318616289089087  |2.450886192916177   |575       
Gen 1 Train time: 10.772434131304424 minutes:
 Average MSE:        0.24805766760364217
 Average Error:      0.4523786379456457
 Structure           |Error               |MSE                 |weights&biases
 [16, 1, 1, 0, 0]    |0.2731507794928948  |0.22987230257764252 |69        
 [17, 0, 0, 0, 0]    |0.28894297155284054 |0.24316235270419734 |69        
 [10, 3, 9, 0, 0]    |0.2521186577296597  |0.19198165886045385 |109       
 [15, 12, 0, 0, 0]   |0.4360777663278619  |0.23341560815002177 |250       
 [11, 9, 9, 0, 0]    |0.6517029295476798  |0.35676911239819326 |241       
 [10, 3, 8, 0, 0]    |0.30203574963842583 |0.23288514372807714 |104       
 [17, 10, 0, 0, 0]   |0.439059648251913   |0.2397592456797959  |242       
 [20, 9, 0, 0, 0]    |0.31811572048236264 |0.16648666522462618 |259       
 [15, 0, 0, 0, 0]    |0.24753452141230572 |0.2125229649197747  |61        
 [15, 0, 0, 0, 0]    |0.5128157024256423  |0.44028248227803113 |61        
 [19, 9, 4, 0, 0]    |0.3240727432836625  |0.1601271211391671  |282       
 [20, 9, 17, 0, 0]   |0.6327713536833122  |0.2122169597231655  |437       
 [11, 9, 0, 0, 0]    |0.5094823604678647  |0.34928745301667696 |151       
 [20, 9, 8, 0, 0]    |0.3638075240296109  |0.15627619891934968 |338       
 [15, 10, 0, 0, 0]   |0.3889054405512074  |0.22663396581995263 |216       
 [16, 1, 1, 11, 0]   |0.2844806817101723  |0.22100058501931058 |101       
 [17, 8, 0, 0, 0]    |0.4024003649522153  |0.24163964006624758 |204       
 [9, 9, 0, 0, 0]     |0.31597959073395127 |0.23002261385901993 |127       
 [15, 13, 19, 0, 0]  |1.04524223313009    |0.2716471386109299  |539       
 [16, 13, 4, 0, 0]   |0.5339601771812554  |0.23400003422361038 |330       
 [18, 8, 0, 0, 0]    |0.4298905965741054  |0.2511450723717651  |215       
 [9, 7, 20, 11, 0]   |0.843252908852761   |0.2415960033526247  |500       
 [15, 7, 0, 0, 0]    |0.520831061028079   |0.34478661902585683 |165       
 [15, 8, 0, 0, 0]    |0.3640407886434543  |0.23096493860510997 |182       
