/tmp/tmp.afCXLYp44f ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k.mat
  Evaluating with: datasets/N9dataset100k.mat
Gen 0 Train time: 10.489799805482228 minutes:
 Average MSE:        0.9684670507755183
 Average Error:      2.059713532502211
 Structure           |Error               |MSE                 |weights&biases
 [12, 1, 16, 11, 0]  |0.6739935040462636  |0.33469526896025037 |280       
 [9, 11, 1, 3, 1]    |4.287384665159941   |2.8667440599273526  |161       
 [14, 3, 14, 13, 0]  |0.4202595211239878  |0.1743164678337147  |352       
 [9, 1, 8, 19, 19]   |4.557093262584602   |0.9576096742950032  |624       
 [17, 0, 0, 0, 0]    |0.33051083429850253 |0.2781441321459993  |69        
 [16, 18, 11, 18, 0] |1.7115982018244509  |0.23280072589555173 |798       
 [7, 0, 0, 0, 0]     |1.2937222275047722  |1.2032467294952245  |29        
 [1, 18, 11, 18, 0]  |11.729932463005957  |3.506589473081333   |483       
 [7, 17, 0, 0, 0]    |1.5637467952296251  |1.0096308140463461  |175       
 [6, 0, 0, 0, 0]     |1.3783340872549108  |1.2948250464883524  |25        
 [16, 16, 1, 6, 0]   |0.38026239577172644 |0.15615694037904865 |356       
 [6, 0, 0, 0, 0]     |0.7480575418549188  |0.7027350265546491  |25        
 [16, 14, 0, 0, 0]   |0.4448078163450388  |0.20958771005628707 |301       
 [16, 2, 16, 19, 0]  |0.593879191283103   |0.18203080245220865 |473       
 [15, 0, 0, 0, 0]    |0.25526574404662744 |0.2191606748736286  |61        
 [12, 2, 0, 0, 0]    |1.002074032554774   |0.8517790512686073  |65        
 [9, 12, 0, 0, 0]    |0.4834039804946008  |0.3240353784589521  |160       
 [6, 4, 18, 14, 0]   |0.6982730814218632  |0.2461916408218848  |417       
 [19, 11, 13, 18, 6] |6.2592147001612055  |0.8344810285795716  |806       
 [4, 0, 0, 0, 0]     |2.4821635904540025  |2.378881918954357   |17        
 [16, 10, 0, 0, 0]   |0.26177861255643353 |0.1476728207937787  |229       
 [5, 7, 18, 7, 0]    |4.6594638607609715  |1.981591659436959   |342       
 [10, 10, 0, 0, 0]   |0.30329004204861737 |0.20792752513590554 |151       
 [8, 19, 0, 0, 0]    |0.6898819502289026  |0.4030338269758948  |215       
 [3, 14, 0, 0, 0]    |4.284446210539486   |3.507807872477099   |80        
Gen 1 Train time: 10.700258402029673 minutes:
 Average MSE:        0.3347305485032477
 Average Error:      0.5973029467753139
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.2541905911913494  |0.21823759282736704 |61        
 [16, 10, 0, 0, 0]   |0.2725932811272353  |0.1537735201526915  |229       
