/tmp/tmp.TCfTik7cgg ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k.mat
  Evaluating with: datasets/N3dataset100k.mat
Gen 0 Train time: 10.942489655812581 minutes:
 Average MSE:        0.7535910632016697
 Average Error:      1.605976852201414
 Structure           |Error               |MSE                 |weights&biases
 [4, 20, 6, 9, 0]    |2.905203895628711   |1.3350965023775703  |311       
 [10, 11, 15, 0, 0]  |1.0107323606443523  |0.42450783246566104 |347       
 [18, 1, 0, 0, 0]    |0.37669685804092945 |0.3122926640429992  |75        
 [5, 3, 17, 10, 0]   |2.546957429556789   |1.2274016826804504  |292       
 [20, 6, 10, 11, 0]  |0.8329711667236298  |0.31497681337737604 |389       
 [15, 11, 10, 17, 0] |1.904881216696086   |0.48646985279683835 |546       
 [14, 14, 9, 4, 0]   |0.9077834424287091  |0.3082791953033498  |432       
 [14, 9, 0, 0, 0]    |0.4830996293588197  |0.30269415441036135 |187       
 [15, 0, 0, 0, 0]    |0.3281535742999725  |0.28173916979882196 |61        
 [1, 13, 5, 19, 0]   |4.577402698419332   |2.5564810955530755  |233       
 [4, 6, 0, 0, 0]     |1.2403919902172593  |1.0973821181898091  |49        
 [8, 14, 4, 0, 0]    |0.5939253066825517  |0.34697528933852706 |215       
 [18, 0, 0, 0, 0]    |0.42723562848282043 |0.35596616499095524 |73        
 [12, 0, 0, 0, 0]    |0.4293251950727991  |0.37982653522191834 |49        
 [11, 17, 16, 5, 0]  |2.015564919734633   |0.432099027490289   |616       
 [2, 15, 0, 0, 0]    |1.8985129418817444  |1.6057178538638337  |67        
 [16, 6, 1, 2, 0]    |0.6540632549661222  |0.43406924276324216 |164       
 [4, 0, 0, 0, 0]     |3.859129531651049   |3.698552948344683   |17        
 [3, 16, 17, 4, 0]   |1.835160925001083   |0.6124010964469699  |439       
 [19, 3, 3, 4, 4]    |0.5481684328935934  |0.3583759585878097  |170       
 [8, 16, 15, 0, 0]   |1.2706366753808187  |0.42401692548487907 |439       
 [8, 8, 10, 12, 0]   |0.826877483253687   |0.3614618624767082  |331       
 [10, 6, 14, 19, 12] |2.8068654140362046  |0.4502592953302851  |732       
 [14, 18, 17, 16, 0] |3.7810510977037404  |0.3605956754821899  |940       
 [19, 7, 13, 14, 12] |2.0886302362799145  |0.3721376232231422  |690       
Gen 1 Train time: 10.733918070793152 minutes:
 Average MSE:        0.509880231289626
 Average Error:      0.8201327982718764
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.5013167972971893  |0.43040999500923693 |61        
 [18, 1, 0, 0, 0]    |0.5280784930468596  |0.43779244742067275 |75        
 [15, 14, 0, 0, 0]   |0.8816859859105644  |0.4334757989555792  |284       
 [4, 6, 7, 0, 0]     |3.1280052381448575  |2.44219078037933    |99        
 [18, 5, 0, 0, 0]    |0.49587247560724185 |0.33657425319871004 |155       
 [20, 6, 10, 11, 9]  |1.403699483947374   |0.40722526903700657 |495       
 [15, 16, 0, 0, 0]   |0.5774713373082919  |0.26077521963407924 |318       
 [14, 9, 0, 0, 0]    |0.521227073686568   |0.3265835424770284  |187       
 [18, 1, 13, 0, 0]   |0.4605407837526337  |0.3472001503564243  |113       
 [14, 9, 16, 0, 0]   |0.7400790421655957  |0.30544111004852476 |354       
 [15, 14, 0, 0, 0]   |0.7181644120832188  |0.35308136602367995 |284       
 [18, 0, 0, 0, 0]    |0.3842313466848729  |0.32013565777373876 |73        
 [4, 6, 0, 0, 0]     |0.9083128707463117  |0.8035897602854292  |49        
 [18, 1, 20, 0, 0]   |0.5369979957166361  |0.38413511863109867 |134       
 [18, 12, 15, 0, 0]  |1.2453593909854086  |0.36310041984559904 |493       
 [16, 0, 0, 0, 0]    |0.512280071915425   |0.4354463038299353  |65        
 [15, 9, 0, 0, 0]    |0.6604875170978509  |0.4016086972384386  |199       
 [14, 10, 10, 17, 0] |1.5484971278910653  |0.4359554872365964  |507       
 [15, 5, 0, 0, 0]    |0.5453122815986754  |0.39301926236677187 |131       
 [12, 0, 0, 0, 0]    |0.4934041972164107  |0.4365176068012577  |49        
 [18, 1, 15, 0, 0]   |0.4880554029907075  |0.36246536689396863 |119       
 [3, 8, 0, 0, 0]     |1.5720397528185084  |1.3873202126021866  |50        
