/tmp/tmp.nTvEsZ5vrG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k.mat
  Evaluating with: datasets/N6dataset100k.mat
Gen 0 Train time: 10.39850835800171 minutes:
 Average MSE:        1.1839887645296954
 Average Error:      2.165137637913812
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.2679931448456955  |0.23473598189069333 |53        
 [20, 18, 9, 13, 0]  |1.4953361221254067  |0.22760377572300894 |753       
 [5, 0, 0, 0, 0]     |2.4589974834866206  |2.3332303876716214  |21        
 [11, 16, 12, 0, 0]  |0.735838251000944   |0.24371763630141893 |442       
 [5, 0, 0, 0, 0]     |3.099877207768108   |2.9413318833331608  |21        
 [6, 0, 0, 0, 0]     |1.7731199369175807  |1.6656920306753817  |25        
 [8, 13, 13, 18, 3]  |13.935306997252534  |2.8417660041187873  |636       
 [3, 0, 0, 0, 0]     |2.440899733745796   |2.362845740053188   |13        
 [18, 0, 0, 0, 0]    |0.3585745121306754  |0.2987587772113716  |73        
 [16, 0, 0, 0, 0]    |1.1182183545486704  |0.9505035937517388  |65        
 [1, 11, 17, 0, 0]   |4.689502067744789   |2.5290061712978322  |247       
 [13, 0, 0, 0, 0]    |0.28747976988450424 |0.25180437393801336 |53        
 [4, 0, 0, 0, 0]     |1.2943500030490012  |1.2404927019691714  |17        
 [9, 9, 2, 12, 2]    |3.7427126387259193  |2.258747944692343   |202       
 [10, 9, 15, 6, 0]   |0.6641689637231845  |0.25558028327584803 |382       
 [4, 0, 0, 0, 0]     |1.7875146327185742  |1.713136980976659   |17        
 [14, 3, 16, 0, 0]   |0.4260317301159497  |0.2799227934129913  |168       
 [19, 16, 0, 0, 0]   |0.5608638859501293  |0.2094485759859078  |394       
 [5, 19, 9, 0, 0]    |2.4516133330099974  |1.1043382768464365  |319       
 [8, 0, 0, 0, 0]     |0.29023121575655303 |0.2672482230917201  |33        
 [19, 9, 15, 18, 19] |2.4936765894022503  |0.17795192728278342 |1056      
 [8, 20, 11, 0, 0]   |1.002821699544928   |0.3280194826705233  |447       
 [3, 13, 11, 1, 0]   |3.944683475021518   |2.2252487711136224  |229       
 [17, 4, 0, 0, 0]    |0.34798534554694954 |0.252689223584673   |128       
 [2, 0, 0, 0, 0]     |2.4606438538290054  |2.405897572373489   |9         
Gen 1 Train time: 10.569230568408965 minutes:
 Average MSE:        0.3900459716318473
 Average Error:      0.568527997282646
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.3210060500461643  |0.28117014110127797 |53        
 [13, 0, 0, 0, 0]    |0.5387893237201807  |0.4719271495116032  |53        
 [17, 4, 0, 0, 0]    |0.2971343035918187  |0.21576378843476088 |128       
 [13, 3, 2, 0, 0]    |0.3036901474547441  |0.24129202690198656 |92        
 [18, 0, 0, 0, 0]    |0.5044949878346671  |0.42033747680265454 |73        
 [8, 12, 0, 0, 0]    |0.30185213360299074 |0.21006925743143112 |145       
 [17, 4, 12, 0, 0]   |0.3120229183649025  |0.19115347538078864 |196       
 [11, 16, 0, 0, 0]   |0.44598051318260185 |0.24353855302867267 |242       
 [4, 6, 0, 0, 0]     |1.3318198478554866  |1.1782688837186808  |49        
 [8, 20, 10, 0, 0]   |0.8712421336035284  |0.30109322462881233 |425       
 [11, 16, 12, 0, 0]  |0.7518389945462888  |0.24901725668760025 |442       
 [8, 0, 0, 0, 0]     |1.4743823072721598  |1.3576280923099104  |33        
 [19, 16, 12, 0, 0]  |0.8654512439977069  |0.1960267325068423  |594       
 [8, 2, 0, 0, 0]     |1.737667017932185   |1.5527746373821658  |45        
 [18, 4, 0, 0, 0]    |0.3869454708917259  |0.2761057048585285  |135       
 [17, 0, 0, 0, 0]    |0.3824371533656125  |0.3218431563644105  |69        
 [12, 9, 0, 0, 0]    |0.33337447418340693 |0.22179785527801701 |163       
 [18, 19, 0, 0, 0]   |0.5854128867401753  |0.19731814741336984 |435       
 [13, 3, 16, 0, 0]   |0.3571393727102268  |0.2382036798422631  |162       
 [14, 0, 0, 0, 0]    |0.39904805591123804 |0.34604950765074555 |57        
 [13, 16, 0, 0, 0]   |0.5085019652503452  |0.25251460289237143 |280       
 [14, 3, 0, 0, 0]    |0.2479572757459589  |0.19750352970509252 |91        
 [13, 4, 5, 0, 0]    |0.3398039294727764  |0.24798512716213944 |126       
 [17, 11, 0, 0, 0]   |0.400239334367115   |0.20842154846837885 |261       
 [16, 11, 0, 0, 0]   |0.4988290797644166  |0.26901402386068496 |247       
 [8, 2, 0, 0, 0]     |0.2846670079403739  |0.2543776831048369  |45        
Gen 2 Train time: 10.954770986239115 minutes:
 Average MSE:        0.36910375905437626
 Average Error:      0.5941959307603907
 Structure           |Error               |MSE                 |weights&biases
 [14, 3, 0, 0, 0]    |0.28408623701060376 |0.22628105741779653 |91        
 [8, 2, 0, 0, 0]     |0.5382616387102127  |0.4809891724017284  |45        
 [11, 16, 0, 0, 0]   |0.46132644187200544 |0.2519185722389926  |242       
 [16, 11, 0, 0, 0]   |0.350989152853584   |0.18928528462131383 |247       
 [14, 3, 11, 0, 0]   |0.28770931676003986 |0.20123042683927564 |143       
 [14, 14, 0, 0, 0]   |0.49820034021040066 |0.25557151834183056 |267       
 [13, 3, 2, 0, 0]    |0.2631930453883047  |0.20911571850619323 |92        
 [18, 0, 0, 0, 0]    |0.34270369040835796 |0.28553545226581256 |73        
 [13, 16, 0, 0, 0]   |1.8047243922409175  |0.8961996105807228  |280       
 [8, 2, 10, 0, 0]    |0.6237807333815956  |0.5068924839088187  |83        
 [16, 11, 2, 10, 0]  |1.8365564766757434  |0.8675278518015046  |300       
 [13, 3, 0, 0, 0]    |0.317037512906678   |0.2563439517215901  |85        
 [17, 4, 12, 0, 0]   |0.2947090140137201  |0.1805465205888699  |196       
 [17, 11, 0, 0, 0]   |0.36935890416471207 |0.19234080245591662 |261       
 [11, 16, 18, 0, 0]  |1.004588324767506   |0.2539997059843836  |550       
 [11, 11, 0, 0, 0]   |0.8400607541301647  |0.5396788365882685  |177       
 [17, 9, 0, 0, 0]    |0.3536654567636232  |0.20252258858906919 |223       
 [13, 2, 2, 3, 0]    |0.27174840006067463 |0.21917634595082092 |86        
 [13, 3, 18, 0, 0]   |0.3430760107827479  |0.22317406519557212 |172       
 [8, 2, 16, 0, 0]    |0.3297469084675593  |0.25235212060299306 |107       
 [8, 4, 9, 0, 0]     |2.035774243263799   |1.5271087015626996  |115       
 [13, 0, 0, 0, 0]    |0.5598018051444306  |0.4903320436439557  |53        
 [17, 11, 4, 0, 0]   |0.45579218682433187 |0.21422716591868043 |302       
 [13, 3, 2, 18, 0]   |0.33167298303292947 |0.22121818847122016 |162       
 [13, 3, 16, 0, 0]   |0.3442041829696543  |0.22957620824124683 |162       
 [13, 4, 5, 0, 0]    |0.3063260469658614  |0.22355334097450621 |126       
Increasing Epochs
Gen 3 Train time: 13.092791843414307 minutes:
 Average MSE:        0.3807440139615083
 Average Error:      0.5761562908549632
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 2, 0, 0]    |0.2747554247393472  |0.21830241742548723 |92        
 [13, 2, 2, 3, 0]    |0.2598366775581753  |0.20956904812866242 |86        
 [13, 3, 16, 0, 0]   |0.2908145187788341  |0.19396654028644864 |162       
 [19, 10, 0, 0, 0]   |0.45304155178738065 |0.23182524814332878 |268       
 [8, 2, 16, 0, 0]    |0.6186874180185834  |0.473475498687624   |107       
 [11, 16, 0, 0, 0]   |0.46847017292972876 |0.25581958108040714 |242       
 [4, 16, 0, 0, 0]    |2.142444698559645   |1.6314147114304518  |109       
 [13, 3, 18, 0, 0]   |0.46324554914695865 |0.3013454428101937  |172       
 [8, 2, 5, 0, 0]     |0.27726865042090004 |0.23686417919508984 |63        
 [13, 4, 16, 0, 0]   |0.32664777964993413 |0.20212422101773114 |192       
 [17, 2, 2, 3, 0]    |0.3026125749128337  |0.23216616801064038 |106       
 [13, 4, 12, 0, 0]   |0.29499115904588474 |0.1938230029246562  |168       
 [8, 12, 6, 0, 0]    |0.3530810140167985  |0.20524359296127154 |217       
 [8, 20, 16, 0, 0]   |1.7460713270316042  |0.4338173475105913  |557       
 [1, 3, 16, 0, 0]    |2.965205570413031   |2.3677647399304553  |90        
 [13, 3, 9, 0, 0]    |0.2944317530671185  |0.21433650599483198 |127       
 [14, 14, 2, 0, 0]   |0.43672305066789585 |0.21417624329123428 |285       
 [13, 3, 0, 0, 0]    |0.24528811209758192 |0.19833023350751272 |85        
 [13, 0, 0, 0, 0]    |0.3781760220653975  |0.3312454873356939  |53        
 [13, 3, 16, 16, 0]  |0.5994356613185587  |0.20255038048851937 |434       
 [18, 0, 0, 0, 0]    |0.3170344205956269  |0.26414821083699197 |73        
 [16, 11, 0, 0, 0]   |0.28733247716344307 |0.15495581353056082 |247       
 [13, 3, 2, 0, 0]    |0.28171200782532985 |0.22382965644590674 |92        
 [13, 3, 3, 0, 0]    |0.2823747203246168  |0.22156920627140747 |97        
 [13, 2, 2, 0, 0]    |0.30071802263153496 |0.24868151555653456 |76        
 [13, 3, 2, 7, 0]    |0.3196632274622978  |0.23799937019698064 |118       
Gen 4 Train time: 13.335650463898977 minutes:
 Average MSE:        0.3805861913218841
 Average Error:      0.6254132339436519
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 0, 0, 0]    |0.2692575059772322  |0.21771093420487625 |85        
 [13, 2, 2, 3, 0]    |0.2753627155938985  |0.2220914412062426  |86        
 [16, 11, 16, 0, 0]  |0.5913077462561227  |0.1948707665318793  |444       
 [13, 4, 0, 0, 0]    |0.29121840314258385 |0.22680112041224837 |100       
 [15, 3, 3, 15, 4]   |1.5937663127783028  |0.8878965552075672  |234       
 [14, 14, 2, 0, 0]   |0.4308232024411675  |0.21128285965312163 |285       
 [16, 11, 0, 0, 0]   |0.37907835459844325 |0.2044335377904912  |247       
 [13, 4, 16, 0, 0]   |0.41800547901592655 |0.25865484809902567 |192       
 [13, 3, 3, 15, 0]   |0.2642847814935098  |0.17321389871424875 |169       
 [4, 11, 13, 9, 0]   |2.434466520422068   |0.9922577710623924  |359       
 [13, 3, 2, 15, 0]   |0.3121361891737619  |0.2145278563417973  |150       
 [8, 16, 5, 0, 0]    |0.5490972579000617  |0.28737143581948904 |259       
 [2, 3, 2, 18, 0]    |2.3842907581021393  |1.8755495392066368  |96        
 [8, 2, 5, 0, 0]     |1.014208275078766   |0.8664146135696404  |63        
 [13, 2, 2, 7, 0]    |0.3192982424975944  |0.24742947588136385 |102       
 [13, 3, 2, 4, 0]    |0.2485773005804804  |0.19070998403428127 |106       
 [13, 4, 16, 16, 0]  |0.6094027963598246  |0.1910393552500215  |464       
 [13, 4, 12, 0, 0]   |0.46648531162364987 |0.3065026904927549  |168       
 [13, 2, 2, 0, 0]    |0.34737391529439426 |0.2872640321463672  |76        
 [19, 10, 0, 0, 0]   |0.3563115117562016  |0.18232765692973885 |268       
 [18, 0, 0, 0, 0]    |0.37116118339359055 |0.3092457984258065  |73        
 [13, 2, 1, 4, 0]    |0.28130070673262847 |0.22858867921106465 |83        
 [17, 2, 2, 3, 0]    |0.41080067867542797 |0.31516872493390796 |106       
 [8, 12, 8, 8, 0]    |0.8468646806718516  |0.38338546489054603 |317       
 [13, 4, 6, 0, 0]    |0.33251143939567895 |0.2390503654191652  |132       
 [18, 16, 0, 0, 0]   |0.4633528135796382  |0.18145156893431225 |375       
Increasing Epochs
Gen 5 Train time: 15.106190113226573 minutes:
 Average MSE:        0.2874101393486358
 Average Error:      0.43591935015993144
 Structure           |Error               |MSE                 |weights&biases
 [13, 3, 2, 4, 0]    |0.24009153067852862 |0.18419965087537785 |106       
 [13, 3, 3, 15, 0]   |0.32302738436641093 |0.21171416803258597 |169       
