/tmp/tmp.3XcxEwOnn9 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 10.714114439487457 minutes:
 Average MSE:        1.6993115775627508
 Average Error:      3.8847787435345005
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.9341607937118367  |0.8431531207601539  |41        
 [18, 7, 16, 2, 0]   |3.0606331690710546  |1.2694983374565179  |352       
 [9, 17, 19, 8, 8]   |8.856252481855002   |1.260015099591677   |780       
 [16, 3, 14, 18, 0]  |1.8705473799657872  |0.6164556511834417  |444       
 [15, 5, 1, 10, 16]  |2.012605958924368   |0.8516585284635454  |344       
 [4, 10, 0, 0, 0]    |1.9525421953414905  |1.6268281737806405  |73        
 [17, 0, 0, 0, 0]    |0.6157249479211488  |0.5181684335512402  |69        
 [18, 0, 0, 0, 0]    |0.6966199534685973  |0.5804130478841034  |73        
 [2, 20, 9, 9, 0]    |9.739197114102867   |4.009468474126519   |355       
 [10, 0, 0, 0, 0]    |0.805321319092693   |0.7268654261432682  |41        
 [6, 0, 0, 0, 0]     |0.9887677675080645  |0.9288613568859937  |25        
 [5, 3, 0, 0, 0]     |1.428003116606625   |1.3018379145092218  |37        
 [1, 8, 8, 11, 19]   |23.450326833651065  |7.845063121746014   |438       
 [1, 1, 6, 16, 0]    |9.538355859883422   |6.621494692813416   |146       
 [2, 8, 14, 15, 0]   |6.973071392206858   |2.584561307419243   |397       
 [11, 19, 13, 16, 0] |5.173330401552505   |0.7699087015165025  |762       
 [3, 0, 0, 0, 0]     |2.0638787952252833  |1.997881007508863   |13        
 [12, 16, 12, 0, 0]  |2.2901601454066443  |0.7233383017308311  |461       
 [11, 12, 4, 0, 0]   |0.9551330528649196  |0.5321102225616037  |234       
 [7, 16, 13, 5, 0]   |3.802452284581985   |1.2468822014010792  |446       
 [20, 14, 7, 16, 0]  |2.509151952923284   |0.5542967026170134  |604       
 [16, 13, 4, 10, 0]  |1.8303448593067044  |0.6973306411251153  |386       
 [4, 0, 0, 0, 0]     |2.92074343691038    |2.7992126621677897  |17        
 [15, 10, 0, 0, 0]   |1.112715846490399   |0.6484332149311245  |216       
 [5, 7, 16, 0, 0]    |1.5394275297895106  |0.9290530971938462  |202       
Gen 1 Train time: 10.655223127206167 minutes:
 Average MSE:        1.0788026069149912
 Average Error:      1.7153994142225553
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6272808004534804  |0.5278933570341103  |69        
 [18, 0, 0, 0, 0]    |0.9503596769182673  |0.7918250890169898  |73        
 [10, 0, 0, 0, 0]    |0.6750475152778035  |0.6092831373347496  |41        
 [6, 0, 0, 0, 0]     |1.2634682313108203  |1.186918560943223   |25        
 [17, 19, 0, 0, 0]   |1.8288569178762712  |0.6512844016019927  |413       
 [8, 0, 0, 0, 0]     |1.1193028866636539  |1.0306669004660312  |33        
 [15, 0, 0, 0, 0]    |0.6050364132307436  |0.5194593937467314  |61        
 [6, 10, 0, 0, 0]    |1.2550026351916221  |0.9798435845441527  |99        
 [6, 0, 0, 0, 0]     |1.263051715609398   |1.18652728065244    |25        
 [10, 3, 19, 0, 0]   |1.0510237492803207  |0.7062857971901308  |159       
 [19, 0, 0, 0, 0]    |0.5320597414295087  |0.43889305765008013 |77        
 [17, 13, 12, 0, 0]  |1.6128735555939762  |0.5030918129829332  |466       
 [11, 12, 4, 0, 0]   |1.3673927209222811  |0.7617825002251009  |234       
 [6, 4, 0, 0, 0]     |1.6707379414018515  |1.4707396094004705  |51        
 [4, 10, 13, 0, 0]   |2.439296064311186   |1.4108741819110215  |219       
 [12, 12, 4, 0, 0]   |1.1665333936425384  |0.6259632844010439  |249       
 [17, 16, 2, 0, 0]   |1.8849909185335747  |0.7363299221772406  |376       
 [18, 7, 0, 0, 0]    |0.7072588395164188  |0.4343700013355482  |195       
 [18, 10, 0, 0, 0]   |1.2804169045579308  |0.6768441303395033  |255       
 [15, 10, 0, 0, 0]   |1.1532674791015318  |0.6720646079661743  |216       
 [1, 1, 6, 16, 0]    |11.622873561060546  |8.068559899666438   |146       
 [7, 16, 13, 5, 0]   |2.9767532110377988  |0.9761228594127056  |446       
 [11, 12, 4, 18, 0]  |1.4294156855538467  |0.614016025671503   |338       
 [16, 3, 14, 9, 0]   |1.1774284472931733  |0.5561778167470818  |300       
 [15, 10, 8, 0, 0]   |1.188306120923134   |0.5585164903831432  |302       
 [10, 6, 0, 0, 0]    |1.7523496430947554  |1.354534076989236   |103       
Gen 2 Train time: 10.676817699273426 minutes:
 Average MSE:        0.6509507014765279
 Average Error:      1.1843191381549396
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.7248856530578882  |0.5979540565547605  |77        
 [15, 0, 0, 0, 0]    |0.8048152574834843  |0.6909812973042513  |61        
 [11, 12, 4, 0, 0]   |0.9929374250792344  |0.5531712599243278  |234       
 [11, 12, 4, 0, 0]   |1.1433531666138788  |0.6369687512421031  |234       
 [17, 13, 12, 0, 0]  |2.4891547608143023  |0.7764237792044333  |466       
 [15, 13, 0, 0, 0]   |1.8377977135035344  |0.942770837625047   |267       
 [15, 9, 0, 0, 0]    |0.9676563305603089  |0.5883823512644522  |199       
 [19, 6, 16, 0, 0]   |1.1302331237939425  |0.525935822412413   |306       
 [19, 5, 0, 0, 0]    |0.6723348234978546  |0.44731205724679485 |163       
 [19, 10, 0, 0, 0]   |1.3918081923516301  |0.7122001906599111  |268       
 [15, 10, 0, 0, 0]   |1.287373606995029   |0.7502147196287525  |216       
 [17, 19, 0, 0, 0]   |1.3031004138166244  |0.4640543308469396  |413       
 [11, 12, 4, 18, 0]  |1.4533193536507736  |0.6242840221907653  |338       
 [17, 0, 0, 0, 0]    |0.7282280768058738  |0.6128463741814396  |69        
 [11, 12, 4, 16, 0]  |1.5503409224109144  |0.6862418630767437  |326       
 [10, 1, 0, 0, 0]    |1.0304535369603283  |0.9254261290204611  |43        
 [18, 5, 0, 0, 0]    |0.8292869377373954  |0.562879864252608   |155       
 [19, 3, 0, 0, 0]    |0.8296521778639426  |0.6130868156568584  |121       
 [19, 15, 0, 0, 0]   |1.2064720614416524  |0.47482946954820715 |373       
 [10, 0, 0, 0, 0]    |0.8134169107198254  |0.7341723302552406  |41        
 [15, 18, 0, 0, 0]   |1.3816294309088055  |0.5730762782173207  |352       
 [10, 16, 0, 0, 0]   |1.0330272108625833  |0.5915515378327311  |223       
 [15, 18, 0, 0, 0]   |1.1499772506926564  |0.4769909124098799  |352       
 [19, 12, 0, 0, 0]   |1.1719562481518275  |0.5399246746889091  |310       
 [19, 10, 14, 0, 0]  |1.466690758535444   |0.5056091587968305  |426       
 [6, 0, 0, 0, 0]     |1.4023962477186938  |1.3174293543475442  |25        
Increasing Epochs
Gen 3 Train time: 12.419604806105296 minutes:
 Average MSE:        0.6658453103348444
 Average Error:      1.1841332950866497
 Structure           |Error               |MSE                 |weights&biases
 [19, 5, 0, 0, 0]    |0.6639079341352571  |0.44170555125419453 |163       
 [19, 0, 0, 0, 0]    |0.5491298833417197  |0.45297412072439214 |77        
 [9, 0, 0, 0, 0]     |1.2155262283871433  |1.1081335270157473  |37        
 [15, 5, 0, 0, 0]    |0.8232741446887297  |0.5933528511821171  |131       
 [19, 10, 20, 0, 0]  |1.7243109292925956  |0.4964996548803223  |498       
 [19, 5, 3, 0, 0]    |0.9587551580081345  |0.6128595144537109  |179       
 [11, 12, 0, 0, 0]   |1.1285287297719009  |0.7018151528365959  |190       
 [15, 9, 4, 0, 0]    |1.1279151831993324  |0.6283681601873001  |234       
 [19, 6, 16, 0, 0]   |1.0301478550042529  |0.47936275085388597 |306       
 [19, 6, 16, 18, 0]  |2.299288463733795   |0.4953947851523791  |614       
 [19, 15, 0, 0, 0]   |1.73738074376556    |0.6837784341062151  |373       
 [15, 0, 0, 0, 0]    |0.694556547653353   |0.5963177013434346  |61        
 [17, 11, 20, 0, 0]  |2.182610412117461   |0.6098889407081068  |510       
 [15, 18, 0, 0, 0]   |1.3266801748854997  |0.5502842658092372  |352       
 [19, 5, 0, 0, 0]    |0.9662773721935842  |0.6428754009471864  |163       
 [15, 10, 0, 0, 0]   |0.9969133765940001  |0.5809495279784066  |216       
 [6, 3, 17, 0, 0]    |1.1297097815373571  |0.8265133323466269  |125       
 [16, 0, 0, 0, 0]    |0.8830535146317295  |0.7506096959670592  |65        
 [10, 1, 0, 0, 0]    |1.2718100616647774  |1.142182757397844   |43        
 [10, 9, 19, 0, 0]   |1.3598807593370617  |0.5826882434347285  |339       
 [19, 1, 0, 0, 0]    |1.4477380312878543  |1.1882746249125504  |79        
 [15, 9, 0, 0, 0]    |0.81020128035654    |0.49264198381011876 |199       
 [15, 9, 5, 0, 0]    |1.4120395854765584  |0.7653172492026141  |245       
 [17, 19, 0, 0, 0]   |1.4818072926028572  |0.5276946306838487  |413       
 [17, 0, 0, 0, 0]    |0.8515626425588096  |0.7166396002878235  |69        
 [10, 0, 0, 0, 0]    |0.714459586027023   |0.6448556112295115  |41        
Increasing Epochs
Gen 4 Train time: 14.679517571131388 minutes:
 Average MSE:        0.5992282326006969
 Average Error:      1.1227034916132517
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.703741754957798   |0.5805125751473201  |77        
 [19, 5, 0, 0, 0]    |0.9505461366883114  |0.6324092298208892  |163       
 [19, 5, 1, 16, 0]   |1.118844874506981   |0.6585576534339647  |212       
 [15, 9, 0, 0, 0]    |0.8477750002149194  |0.5154886422133391  |199       
 [19, 6, 3, 0, 0]    |1.052809228125428   |0.6353762390347348  |202       
 [15, 9, 4, 0, 0]    |1.076973021514851   |0.599987983299492   |234       
 [15, 5, 17, 16, 0]  |2.8973827089105795  |0.766291843790135   |532       
 [19, 15, 16, 0, 0]  |1.8828965562677713  |0.3897738080647616  |630       
 [15, 0, 0, 0, 0]    |0.7344448700913376  |0.6305641753375668  |61        
 [15, 5, 4, 0, 0]    |1.0943828309458314  |0.7446734935684687  |154       
 [15, 10, 0, 0, 0]   |0.9207722527691405  |0.5365784211356781  |216       
 [15, 18, 10, 0, 0]  |2.3892412636146974  |0.6287483716571003  |534       
 [19, 12, 2, 18, 0]  |1.2397073592834076  |0.46064635839820695 |396       
 [11, 4, 0, 0, 0]    |0.6180477515769551  |0.4984811236552362  |86        
 [10, 11, 0, 0, 0]   |0.7315453201467926  |0.48670547871029796 |163       
 [14, 0, 0, 0, 0]    |0.5401934308094948  |0.4684490201084282  |57        
 [10, 1, 0, 0, 0]    |0.9750887935829663  |0.8757043528217388  |43        
 [15, 10, 6, 0, 0]   |1.127173455552285   |0.5625434701132548  |278       
 [17, 0, 0, 0, 0]    |0.6561279918963053  |0.5521699501017597  |69        
 [19, 2, 20, 0, 0]   |1.0091437600246975  |0.6466838194303589  |178       
 [6, 5, 3, 0, 0]     |1.1075989225649643  |0.9182317580715939  |75        
