/tmp/tmp.SiyuhM8xh1 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k.mat
  Evaluating with: datasets/N7dataset100k.mat
Gen 0 Train time: 10.948430514335632 minutes:
 Average MSE:        0.5611459304434169
 Average Error:      1.1872995516691676
 Structure           |Error               |MSE                 |weights&biases
 [20, 15, 0, 0, 0]   |0.3958264495720032  |0.14892991952372345 |391       
 [5, 6, 0, 0, 0]     |0.9704021572317223  |0.8394194992881946  |58        
 [17, 20, 15, 0, 0]  |1.252087384252238   |0.1958927557524494  |742       
 [16, 15, 5, 7, 3]   |0.6173547851322712  |0.19892818398024614 |453       
 [6, 4, 0, 0, 0]     |0.5588598462500911  |0.4919606430280803  |51        
 [6, 0, 0, 0, 0]     |1.5044563206887211  |1.4133059200872844  |25        
 [10, 7, 8, 10, 0]   |0.5891125773431394  |0.29845444209832206 |272       
 [17, 2, 17, 9, 0]   |0.39815505802187834 |0.18343154065454195 |310       
 [16, 15, 17, 0, 0]  |0.8373645708689754  |0.1901397910870867  |593       
 [3, 0, 0, 0, 0]     |1.9586241936139892  |1.8959921902010801  |13        
 [6, 1, 18, 14, 19]  |2.065472587407997   |0.42543591903085687 |632       
 [19, 0, 0, 0, 0]    |0.2847015383347278  |0.23484868135614234 |77        
 [6, 20, 11, 1, 0]   |2.7991669099196415  |1.0220616784947538  |403       
 [7, 8, 0, 0, 0]     |0.2550596822393563  |0.20164274969400325 |94        
 [4, 10, 18, 5, 5]   |4.632586491870684   |1.7430132174517226  |391       
 [10, 0, 0, 0, 0]    |0.4266052887033031  |0.38504461215263996 |41        
 [13, 12, 2, 15, 0]  |0.36562949908357506 |0.1753213407728303  |294       
 [2, 18, 8, 0, 0]    |2.902546796736103   |1.6704424932785649  |221       
 [7, 14, 12, 18, 0]  |4.049101752160802   |0.9836305270600407  |566       
 [14, 20, 0, 0, 0]   |0.8638508189280627  |0.34859127030510517 |363       
 [9, 15, 5, 0, 0]    |0.4007291748508842  |0.20763585009502358 |263       
 [14, 19, 0, 0, 0]   |0.42775921329291744 |0.17965897157624305 |347       
 [18, 8, 19, 3, 19]  |0.6078443171332876  |0.16035959975108235 |533       
 [18, 0, 0, 0, 0]    |0.28940125619721785 |0.24112468259709052 |73        
 [17, 0, 0, 0, 0]    |0.22979012189560152 |0.1933817817683112  |69        
Gen 1 Train time: 10.921598545710246 minutes:
 Average MSE:        0.4968306334714361
 Average Error:      0.8229018730995201
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.3246510263108266  |0.2732127621631252  |69        
 [7, 8, 0, 0, 0]     |0.46541645765125583 |0.36794468435654976 |94        
 [15, 0, 0, 0, 0]    |0.36833067654150004 |0.31623357826168086 |61        
 [17, 2, 17, 16, 0]  |0.6546420176238767  |0.2162831758218061  |443       
 [14, 20, 0, 0, 0]   |0.41997902625335876 |0.16947488970934343 |363       
 [18, 15, 1, 0, 0]   |0.5087037269587524  |0.20838050891778837 |357       
 [7, 8, 4, 0, 0]     |0.2975456465599999  |0.21714550244668093 |126       
 [13, 12, 18, 15, 0] |1.433892315461223   |0.22433667223291284 |742       
 [17, 8, 2, 0, 0]    |0.2758245718441122  |0.16073628720396033 |216       
 [10, 20, 0, 0, 0]   |0.3511011892413196  |0.17831906939990944 |271       
 [17, 14, 0, 0, 0]   |0.4026852535366472  |0.18184510407719626 |318       
 [20, 15, 0, 0, 0]   |0.43058410588037005 |0.16200750684118412 |391       
 [7, 19, 0, 0, 0]    |1.4069731656340965  |0.868437816937796   |193       
 [9, 15, 5, 0, 0]    |1.6477542068113407  |0.8537757342131016  |263       
 [17, 3, 0, 0, 0]    |0.31340691594146547 |0.23865103900917303 |109       
 [12, 0, 0, 0, 0]    |0.28176775796678644 |0.24928159929590227 |49        
 [2, 15, 5, 0, 0]    |4.065433286248083   |2.8864296605571287  |137       
 [3, 15, 5, 0, 0]    |1.86273406818031    |1.264333792953171   |155       
 [8, 12, 1, 0, 0]    |0.7222271373611056  |0.5001158062485542  |147       
 [10, 0, 0, 0, 0]    |1.3914830185047322  |1.255922168254617   |41        
 [8, 11, 9, 1, 0]    |1.8949239170816679  |1.0321857987790106  |243       
 [18, 0, 0, 0, 0]    |0.2470426292232076  |0.2058321250644568  |73        
 [17, 10, 0, 0, 0]   |0.3123172539788128  |0.17054846539616872 |242       
 [19, 0, 0, 0, 0]    |0.3364547538801243  |0.2775396148083063  |77        
 [18, 9, 0, 0, 0]    |0.33524134102745307 |0.18629858707194774 |235       
 [18, 16, 0, 0, 0]   |0.6443332348850956  |0.252324520235867   |375       
Increasing Epochs
Gen 2 Train time: 12.785629264513652 minutes:
 Average MSE:        0.26720184542039976
 Average Error:      0.4777724964322119
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.3279012414402137  |0.27320227909302197 |73        
 [17, 8, 2, 0, 0]    |0.2830133230324617  |0.16492551939572242 |216       
 [7, 8, 0, 0, 0]     |0.5292031888303674  |0.41837261461985975 |94        
 [7, 8, 4, 0, 0]     |0.31312702933289316 |0.228516622240066   |126       
 [14, 20, 0, 0, 0]   |0.7945769333479367  |0.3206370550121084  |363       
 [18, 15, 5, 0, 0]   |0.5817246946018759  |0.20103867500007294 |425       
 [18, 15, 2, 0, 0]   |0.4250226641838395  |0.1668578904891245  |374       
 [7, 8, 1, 0, 0]     |0.27523129655742085 |0.2165046061095382  |96        
 [10, 20, 0, 0, 0]   |0.4451370654430623  |0.22607849160731916 |271       
 [17, 20, 0, 0, 0]   |0.4860020857160454  |0.1650441337632772  |432       
 [18, 9, 0, 0, 0]    |0.28428967028891017 |0.15798398768974228 |235       
 [7, 19, 0, 0, 0]    |0.9543387012113722  |0.5890544599873291  |193       
 [17, 9, 0, 0, 0]    |0.3594555683544781  |0.20583823156514658 |223       
 [12, 0, 0, 0, 0]    |0.3434492581821058  |0.30385158676216806 |49        
 [8, 12, 0, 0, 0]    |0.49955219345808755 |0.34765551290091434 |145       
 [12, 1, 0, 0, 0]    |0.28883575164231867 |0.2542602104282614  |51        
 [18, 15, 1, 1, 0]   |0.49133084265244725 |0.2002602388222619  |359       
 [16, 14, 0, 0, 0]   |0.3629528446201528  |0.17101870238571776 |301       
 [18, 4, 0, 0, 0]    |0.2400054616053872  |0.1712563710688697  |135       
 [17, 10, 0, 0, 0]   |0.2397890914965289  |0.13094269065342384 |242       
 [18, 9, 1, 0, 0]    |1.5344393076813145  |0.8484577769330871  |237       
 [18, 15, 3, 0, 0]   |0.3808850756948544  |0.14330821937836    |391       
 [7, 19, 4, 0, 0]    |0.6102921989759302  |0.3201974565425341  |258       
 [17, 3, 0, 0, 0]    |0.46821509857318927 |0.3565333567021332  |109       
 [18, 16, 2, 0, 0]   |0.5370699368298429  |0.20006220080295184 |395       
 [17, 14, 0, 0, 0]   |0.36624438348447497 |0.16538909097738264 |318       
Increasing Epochs
Gen 3 Train time: 14.811773359775543 minutes:
 Average MSE:        0.316720825560567
 Average Error:      0.5172304338130858
 Structure           |Error               |MSE                 |weights&biases
 [17, 10, 0, 0, 0]   |0.3183346751701557  |0.1738344252230809  |242       
 [18, 4, 0, 0, 0]    |0.3183672828074234  |0.2271716033291805  |135       
 [2, 0, 0, 0, 0]     |1.3046791119623473  |1.2756516158614883  |9         
 [17, 8, 2, 0, 0]    |0.38267662506374295 |0.22300413448027268 |216       
 [17, 8, 2, 6, 0]    |0.32682377823126574 |0.1802637617078555  |238       
 [17, 20, 0, 0, 0]   |0.5562781062112274  |0.18890955588357303 |432       
 [12, 8, 20, 1, 0]   |0.550486312171129   |0.23352802504104359 |343       
 [7, 1, 13, 11, 0]   |2.0946583545292228  |1.2054952320635048  |221       
 [18, 1, 0, 0, 0]    |0.20466454417346147 |0.16967286657891836 |75        
 [18, 15, 1, 0, 0]   |0.4700081510101472  |0.19252962483395483 |357       
 [7, 19, 4, 0, 0]    |0.6599476012328283  |0.3462497861199637  |258       
 [17, 14, 0, 0, 0]   |0.40427761444869903 |0.1825641843843031  |318       
 [18, 15, 19, 0, 0]  |0.689348826279598   |0.13140017291169612 |663       
 [18, 3, 0, 0, 0]    |0.20997434713837207 |0.15750943587235675 |115       
 [17, 1, 0, 0, 0]    |0.21169536946031042 |0.17726544612603715 |71        
 [12, 1, 0, 0, 0]    |0.22752092755832315 |0.20028517449408664 |51        
 [18, 19, 3, 0, 0]   |0.4913321467886388  |0.1483568275791006  |479       
 [12, 1, 9, 0, 0]    |0.4589069086808727  |0.37854970155523177 |77        
 [12, 4, 0, 0, 0]    |0.36192228103054636 |0.2868414131137737  |93        
 [18, 0, 0, 0, 0]    |0.25217495794421524 |0.2101083025423927  |73        
 [18, 4, 9, 0, 0]    |0.2878455657530843  |0.1812584849740874  |185       
 [18, 15, 2, 0, 0]   |0.4230279120568916  |0.16607477899884582 |374       
 [5, 4, 0, 0, 0]     |1.113420991425131   |0.9974405310743354  |44        
 [18, 15, 3, 0, 0]   |0.38504294176251064 |0.14487261877490365 |391       
 [17, 4, 0, 0, 0]    |0.2121319936327528  |0.15403944290894578 |128       
 [18, 8, 2, 0, 0]    |0.5324439526173351  |0.30186431814180825 |227       
Gen 4 Train time: 14.939177314440409 minutes:
 Average MSE:        0.2657581683388665
 Average Error:      0.4696513002564261
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 0, 0, 0]    |0.25231169255279684 |0.20917373998364946 |75        
 [18, 3, 0, 0, 0]    |0.2958126046296057  |0.22189985164443424 |115       
 [18, 7, 10, 0, 0]   |0.26375777708541004 |0.13163476700068757 |278       
 [12, 1, 8, 0, 0]    |0.24550269032282077 |0.20403833762451815 |74        
 [18, 4, 0, 0, 0]    |0.29130812586829585 |0.2078634884613729  |135       
 [17, 15, 2, 0, 0]   |0.4784990357863766  |0.196498381732126   |356       
 [12, 8, 1, 0, 0]    |0.3114277513181247  |0.21350652053336389 |151       
 [18, 6, 20, 1, 0]   |3.6461054256847953  |1.5938613454178616  |331       
 [15, 14, 0, 0, 0]   |0.3882308931653889  |0.1908714658998513  |284       
 [17, 3, 0, 0, 0]    |0.28783959547323584 |0.2191822038174088  |109       
 [18, 4, 9, 0, 0]    |0.3031221328404717  |0.1908782524303633  |185       
 [12, 12, 0, 0, 0]   |0.4082666287929527  |0.244550165297      |205       
 [18, 1, 13, 0, 0]   |0.280539007645082   |0.21149741580222758 |113       
 [12, 1, 0, 0, 0]    |0.22777151776560123 |0.20050576740362608 |51        
 [17, 8, 3, 0, 0]    |0.2473144719680078  |0.14056368958300053 |226       
 [18, 15, 2, 6, 0]   |0.38754146695421066 |0.14400137592467507 |396       
 [17, 8, 0, 0, 0]    |0.33278091199212756 |0.19983346636438637 |204       
 [18, 1, 2, 0, 0]    |0.2725507872924343  |0.2231457113319316  |80        
 [18, 1, 13, 0, 0]   |0.2231645159709673  |0.16824297919498948 |113       
 [17, 1, 10, 0, 0]   |0.23419494319877904 |0.1823912051545723  |100       
 [12, 1, 6, 0, 0]    |0.5321899034387696  |0.4489898972791167  |68        
 [17, 8, 2, 0, 0]    |0.2862985138070386  |0.16683995857832226 |216       
 [18, 15, 2, 2, 0]   |0.6075454447591041  |0.23496274710125603 |380       
 [7, 19, 4, 0, 0]    |0.571148656957586   |0.2996603062801334  |258       
 [18, 0, 0, 0, 0]    |0.3233947232077891  |0.26944751730418276 |73        
 [18, 4, 9, 19, 0]   |0.5123145881893051  |0.19567181966547326 |385       
Increasing Epochs
Gen 5 Train time: 16.895259654521944 minutes:
 Average MSE:        0.22903138859186756
 Average Error:      0.33943532373196433
 Structure           |Error               |MSE                 |weights&biases
 [18, 1, 13, 0, 0]   |0.23437937588549126 |0.1766978244245933  |113       
 [12, 1, 0, 0, 0]    |0.2109411791079288  |0.18569013109701688 |51        
 [12, 1, 16, 6, 0]   |0.30471184962564396 |0.18949574581000428 |190       
 [18, 15, 0, 0, 0]   |0.42024167702099346 |0.17300663861601515 |355       
 [12, 1, 2, 0, 0]    |0.3715990556747947  |0.32305269931730207 |56        
 [18, 1, 0, 0, 0]    |0.2175205192490601  |0.1803308442591911  |75        
 [18, 11, 0, 0, 0]   |0.4254853554506873  |0.21394747268479578 |275       
 [18, 2, 6, 0, 0]    |0.20650560272804225 |0.15413479994947954 |117       
 [18, 4, 9, 0, 0]    |0.30537017440613257 |0.19229386085665393 |185       
 [18, 15, 2, 6, 0]   |0.3831222349682149  |0.14235929232646    |396       
 [15, 14, 0, 0, 0]   |0.3698150447415669  |0.18181742088095856 |284       
 [12, 1, 20, 0, 0]   |0.28323398446131737 |0.21513663894675056 |110       
 [18, 15, 2, 0, 0]   |0.38218525255436947 |0.15004052816743907 |374       
 [12, 1, 8, 2, 0]    |1.121373283887283   |0.9044340233628276  |86        
 [17, 8, 0, 0, 0]    |0.470287572947887   |0.2824056083255571  |204       
 [17, 1, 9, 0, 0]    |0.27932631930609864 |0.2191772365040942  |97        
 [12, 1, 8, 0, 0]    |0.20082400163644065 |0.16690568806037212 |74        
 [18, 1, 18, 0, 0]   |0.2533503204326684  |0.1839700912244932  |128       
 [18, 3, 0, 0, 0]    |0.2419329917188867  |0.18148278379663801 |115       
 [5, 9, 0, 0, 0]     |0.6449900880155939  |0.5293950551449277  |79        
 [17, 1, 10, 0, 0]   |0.20641302672573955 |0.1607546268501448  |100       
 [18, 1, 15, 0, 0]   |0.20460492370316724 |0.15195446722632228 |119       
 [17, 7, 10, 0, 0]   |0.34653962946883343 |0.17732730094217217 |268       
 [18, 1, 20, 0, 0]   |0.2547720874287012  |0.18224817747729422 |134       
 [18, 3, 15, 0, 0]   |0.28838623886941844 |0.1806932222945814  |187       
 [17, 1, 8, 0, 0]    |0.19740662701611064 |0.1560639248424695  |94        
Gen 6 Train time: 16.940089909235635 minutes:
 Average MSE:        0.3209434197085773
 Average Error:      0.47142742903676277
