/tmp/tmp.799nB0yzMh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k.mat
  Evaluating with: datasets/N9dataset100k.mat
Gen 0 Train time: 10.907972510655721 minutes:
 Average MSE:        0.8208791481770096
 Average Error:      1.6152600406464968
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 4, 1, 13]   |0.3592843224686977  |0.23023811583576537 |178       
 [7, 7, 12, 0, 0]    |0.4828181392339434  |0.3032750226751797  |186       
 [15, 11, 0, 0, 0]   |0.34261993694533366 |0.19135336116763296 |233       
 [17, 15, 7, 0, 0]   |0.5973808475340517  |0.19835430396515358 |441       
 [1, 20, 0, 0, 0]    |2.21819327175623    |1.8902196192537104  |64        
 [7, 19, 0, 0, 0]    |0.6566721072973517  |0.405323218121392   |193       
 [6, 6, 10, 0, 0]    |1.4294982051107583  |1.004835128865494   |141       
 [3, 11, 19, 1, 0]   |4.727796418615378   |2.2165661531063376  |303       
 [3, 7, 0, 0, 0]     |2.5152245533048534  |2.2475979882154182  |45        
 [1, 10, 11, 0, 0]   |5.18133768877792    |3.5080603012835225  |156       
 [11, 0, 0, 0, 0]    |0.40962731694092347 |0.3660418837215883  |45        
 [4, 16, 12, 15, 0]  |1.569208232925839   |0.44178637947657107 |507       
 [12, 13, 20, 17, 0] |7.0916412306601755  |0.8260638559852561  |860       
 [10, 11, 6, 17, 0]  |0.3974322823717939  |0.16158390781382995 |360       
 [6, 7, 12, 0, 0]    |0.6849801419214849  |0.4411521591161354  |176       
 [20, 14, 0, 0, 0]   |0.337107676806238   |0.1340083880076203  |369       
 [7, 20, 8, 0, 0]    |0.6666524923051674  |0.2723992740087512  |358       
 [12, 12, 0, 0, 0]   |0.2596943844534414  |0.15555595330569916 |205       
 [17, 10, 15, 5, 0]  |0.5200362833804545  |0.15585071358572558 |482       
 [17, 2, 8, 9, 18]   |0.3747466162512889  |0.14099862063396493 |391       
 [14, 11, 5, 0, 0]   |0.29865325625803274 |0.1509250298370437  |273       
 [18, 4, 18, 15, 0]  |0.5759531714331105  |0.1565736267468422  |521       
 [2, 8, 12, 0, 0]    |1.8428085443872773  |1.263380153682477   |151       
 [18, 11, 9, 5, 20]  |0.6271564089769407  |0.15388352200625954 |562       
 [1, 15, 10, 1, 8]   |6.214977486045728   |3.505952024007869   |229       
Gen 1 Train time: 11.272306521733602 minutes:
 Average MSE:        0.22919092651286915
 Average Error:      0.5287750245747946
 Structure           |Error               |MSE                 |weights&biases
 [12, 12, 0, 0, 0]   |0.27112963323987366 |0.16240562404465275 |205       
 [14, 11, 5, 0, 0]   |0.34422627624534696 |0.17395544808035587 |273       
 [11, 15, 7, 0, 0]   |0.49521085099606693 |0.2153971715492003  |333       
 [7, 20, 8, 0, 0]    |0.7427014138187319  |0.30347344120763514 |358       
 [15, 11, 0, 0, 0]   |0.31260967831088904 |0.17459262065028472 |233       
 [17, 15, 7, 0, 0]   |0.6982034973336668  |0.23183145109412165 |441       
 [18, 8, 14, 5, 0]   |0.49413766386539704 |0.17597010983959013 |413       
 [15, 11, 20, 0, 0]  |0.5907934271702089  |0.17705606348792338 |482       
 [15, 12, 0, 0, 0]   |0.3462546600702207  |0.18533676398054372 |250       
 [12, 11, 0, 0, 0]   |0.26082242048504906 |0.16179656823421795 |191       
 [14, 12, 0, 0, 0]   |0.27701370262492647 |0.15394062450778218 |235       
 [14, 11, 5, 8, 0]   |0.3184528802663832  |0.14166633249842903 |324       
 [11, 0, 0, 0, 0]    |0.4783592149810142  |0.42746052547194635 |45        
 [15, 11, 14, 0, 0]  |0.44644038016356846 |0.16260205970269787 |404       
 [6, 7, 12, 18, 0]   |1.1424239308671624  |0.4037950871467523  |416       
 [17, 2, 8, 9, 0]    |0.2464837261597132  |0.1487543029894188  |202       
 [10, 11, 6, 15, 0]  |0.40328874757648714 |0.1706565061997833  |344       
 [20, 17, 14, 6, 0]  |1.0263614993127248  |0.15122598420461764 |766       
 [13, 5, 4, 1, 0]    |0.27006584720005483 |0.1903121859616726  |140       
 [12, 12, 13, 0, 0]  |2.2462074393136686  |0.8796274719185172  |375       
 [13, 5, 4, 0, 0]    |0.21473800548974947 |0.15208182615092075 |138       
 [14, 11, 5, 1, 13]  |0.4365092809609719  |0.19959885697405338 |313       
 [7, 14, 0, 0, 0]    |0.3693898099663535  |0.2551502231313688  |148       
 [20, 7, 12, 0, 0]   |0.4844954024884838  |0.21988571675762847 |316       
 [12, 11, 13, 0, 0]  |0.47681732372619345 |0.19926457183259066 |349       
 [20, 14, 0, 0, 0]   |0.35501392631175505 |0.14112655171789326 |369       
