/tmp/tmp.vAbsBIOKvD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 10.879004236062368 minutes:
 Average MSE:        1.6490407294590468
 Average Error:      3.8555493358409167
 Structure           |Error               |MSE                 |weights&biases
 [15, 13, 11, 0, 0]  |1.753824107822942   |0.6152655032832037  |419       
 [3, 13, 8, 18, 0]   |5.167831323444394   |2.1328372323009304  |354       
 [17, 7, 0, 0, 0]    |0.7470347614861081  |0.4704133229764711  |185       
 [1, 9, 0, 0, 0]     |6.197567045605521   |5.735396029513374   |31        
 [4, 20, 6, 17, 0]   |3.1621878648207247  |1.238330560472889   |375       
 [13, 20, 20, 14, 0] |7.210875368108874   |0.5249723702901644  |1048      
 [7, 20, 0, 0, 0]    |1.5171260948255565  |0.9155940568530763  |202       
 [1, 7, 0, 0, 0]     |6.26975613357957    |5.88989081253956    |25        
 [6, 2, 4, 6, 5]     |1.8479680182970302  |1.386228384747909   |115       
 [16, 0, 0, 0, 0]    |0.6495887405834744  |0.5521608815252053  |65        
 [7, 0, 0, 0, 0]     |1.1527825218716572  |1.0721635369414817  |29        
 [9, 10, 8, 9, 0]    |1.525784745753515   |0.7099994135621264  |306       
 [16, 13, 19, 11, 0] |5.421717087735659   |0.7968511114558872  |767       
 [2, 17, 6, 13, 0]   |5.771335850413531   |2.938512703720579   |270       
 [13, 0, 0, 0, 0]    |0.7052197110565999  |0.6177040141040046  |53        
 [2, 13, 16, 0, 0]   |5.459203236123597   |2.6705991598046697  |286       
 [8, 12, 17, 7, 2]   |10.913747256898196  |3.142514296260969   |498       
 [15, 17, 19, 16, 0] |9.570488849225645   |0.793488910597361   |996       
 [14, 0, 0, 0, 0]    |0.5857362743701897  |0.507943207231342   |57        
 [17, 10, 7, 13, 0]  |1.6903503825516062  |0.5827108611819651  |426       
 [7, 18, 18, 10, 10] |6.5748919252925955  |0.8506607663750391  |818       
 [2, 20, 10, 0, 0]   |7.066211383668601   |3.448103825303356   |287       
 [7, 2, 13, 4, 7]    |1.9817140997183824  |1.2794907882845503  |175       
 [16, 0, 0, 0, 0]    |0.655267743959969   |0.5569881257716701  |65        
 [6, 1, 12, 9, 0]    |2.7905228688089854  |1.7971983613783995  |176       
Gen 1 Train time: 10.5203968723615 minutes:
 Average MSE:        0.7854020338911194
 Average Error:      1.4212097906751209
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7432826342690035  |0.6445654497596418  |57        
 [16, 0, 0, 0, 0]    |0.6192509234268806  |0.5263732487997844  |65        
 [16, 7, 0, 0, 0]    |0.8811654939467695  |0.5689232027058373  |175       
 [17, 7, 4, 0, 0]    |1.417348675860102   |0.8300975928786493  |214       
 [7, 17, 0, 0, 0]    |1.090868296707436   |0.7043175082960605  |175       
 [13, 0, 0, 0, 0]    |0.6232629507034424  |0.545917847240835   |53        
 [13, 2, 0, 0, 0]    |0.7841480490042378  |0.658258585059084   |70        
 [14, 2, 0, 0, 0]    |0.9638555752836655  |0.7990643376306797  |75        
 [16, 14, 0, 0, 0]   |0.9942031850182496  |0.46845572676943836 |301       
 [16, 2, 0, 0, 0]    |1.0699817563696365  |0.8651447873884166  |85        
 [7, 20, 0, 0, 0]    |1.1984510306547846  |0.7232718788764456  |202       
 [17, 7, 0, 0, 0]    |1.3606945041619145  |0.8568394086310949  |185       
 [17, 0, 0, 0, 0]    |0.6374546777420363  |0.5364552677956484  |69        
 [16, 6, 19, 0, 0]   |1.3345131903086682  |0.6256692350087414  |303       
 [20, 7, 14, 0, 0]   |1.8512477468391613  |0.8032091561638339  |334       
 [17, 17, 1, 0, 0]   |8.37156077940337    |3.261999464919903   |377       
 [7, 20, 5, 0, 0]    |1.4714691832564835  |0.709114228051987   |292       
 [16, 10, 0, 0, 0]   |1.1630722431409612  |0.6561046269375694  |229       
 [7, 0, 0, 0, 0]     |1.2827809530422258  |1.1930706248928014  |29        
 [17, 10, 7, 13, 0]  |1.5251432201429336  |0.5257593504926437  |426       
 [16, 6, 0, 0, 0]    |0.7681385812149912  |0.5187749470876267  |157       
 [17, 7, 16, 0, 0]   |1.1632534671641335  |0.5200765806973948  |322       
 [13, 8, 9, 0, 0]    |0.9098920805562374  |0.4968687961937596  |242       
 [9, 10, 0, 0, 0]    |1.0603688070853232  |0.750974771360197   |138       
 [16, 17, 0, 0, 0]   |2.1647165925010614  |0.891178485389049   |355       
 [16, 13, 0, 0, 0]   |1.5013299597494363  |0.7399677721419772  |283       
Increasing Epochs
Gen 2 Train time: 12.497292363643647 minutes:
 Average MSE:        0.9430177114311893
 Average Error:      1.6045457919384785
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6072550810929409  |0.5161765898001287  |65        
 [13, 0, 0, 0, 0]    |0.6649461084309037  |0.5824282473971301  |53        
 [7, 0, 0, 0, 0]     |1.0721926741536056  |0.9972096800503538  |29        
 [16, 6, 19, 0, 0]   |1.189272519167634   |0.5575750263752932  |303       
 [16, 20, 1, 0, 0]   |3.151424551851418   |1.1278967207795545  |411       
 [17, 10, 7, 13, 0]  |2.206756748364971   |0.7607305198569427  |426       
 [7, 17, 0, 0, 0]    |1.112207658930863   |0.7180952360705272  |175       
 [13, 2, 0, 0, 0]    |0.7100555123662078  |0.5960610849916899  |70        
 [17, 5, 16, 0, 0]   |1.346239473121837   |0.7134200725812068  |254       
 [1, 10, 7, 13, 0]   |9.993421069415852   |5.7946030945560825  |218       
 [4, 20, 5, 0, 0]    |3.1158212722336294  |1.784240381879858   |223       
 [16, 2, 0, 0, 0]    |0.7653140113333323  |0.6188025390889188  |85        
 [17, 2, 0, 0, 0]    |1.0804583625607722  |0.8627635261989759  |90        
 [14, 0, 0, 0, 0]    |0.5482786258907993  |0.4754604006569605  |57        
 [13, 14, 0, 0, 0]   |0.9542086564384973  |0.5107510885504565  |250       
 [16, 11, 8, 0, 0]   |1.248441919452798   |0.5336027180448554  |340       
 [16, 7, 0, 0, 0]    |1.286143481895995   |0.8303966438609873  |175       
 [17, 0, 0, 0, 0]    |0.5665184104234285  |0.4767582640563063  |69        
 [16, 13, 0, 0, 0]   |1.1605817619807233  |0.5720215567701148  |283       
 [13, 8, 9, 0, 0]    |0.8673790165203582  |0.4736534991256697  |242       
 [14, 2, 0, 0, 0]    |1.2158961927230871  |1.008013348452127   |75        
 [16, 6, 10, 0, 0]   |0.969849886048054   |0.5443766087737405  |231       
 [5, 0, 0, 0, 0]     |1.7044146076445839  |1.6172411653341914  |21        
 [16, 15, 0, 0, 0]   |1.5066279476193498  |0.6786661212516137  |319       
 [16, 13, 6, 0, 0]   |1.0188362572697032  |0.4142279104495287  |360       
 [16, 10, 8, 0, 0]   |1.655648783469099   |0.7532884522577089  |315       
Gen 3 Train time: 12.329766929149628 minutes:
 Average MSE:        0.7303752311890495
 Average Error:      1.294830496901003
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6263163084223339  |0.5431337077141174  |57        
 [17, 0, 0, 0, 0]    |0.8723306510813406  |0.7341170900020729  |69        
 [13, 12, 0, 0, 0]   |1.2931915113937935  |0.7461065972843042  |220       
 [16, 0, 0, 0, 0]    |0.610493057291651   |0.5189289216687992  |65        
 [14, 2, 6, 0, 0]    |0.8192951838265466  |0.6428712293145364  |97        
 [16, 16, 20, 0, 0]  |2.935661584018841   |0.5349579356182099  |681       
 [16, 2, 0, 0, 0]    |0.8335707514581168  |0.6739922304752857  |85        
 [13, 6, 10, 0, 0]   |1.0708150775875274  |0.6430197198168237  |204       
 [14, 12, 0, 0, 0]   |1.0498638660329744  |0.5834249268315     |235       
 [16, 15, 0, 0, 0]   |1.104369766328531   |0.49746743841174    |319       
 [17, 9, 0, 0, 0]    |1.2079535180381842  |0.6917211412362299  |223       
 [3, 0, 0, 0, 0]     |1.7286105296838745  |1.6733337997487758  |13        
 [14, 8, 9, 0, 0]    |1.2881368763823584  |0.6843381532128732  |253       
 [13, 8, 0, 0, 0]    |0.8986077179170742  |0.6023547668421539  |160       
 [16, 14, 19, 0, 0]  |3.2893508693691755  |0.7506545206463311  |591       
 [14, 3, 0, 0, 0]    |0.6161131123350124  |0.4907479081534404  |91        
 [17, 5, 16, 0, 0]   |1.1204764375650045  |0.5937802280893402  |254       
 [17, 16, 0, 0, 0]   |1.2803955264545552  |0.5258017887369311  |356       
 [3, 9, 10, 0, 0]    |3.501105744839616   |2.370447712888679   |156       
 [13, 8, 16, 0, 0]   |1.2596877231309218  |0.5774484246506046  |312       
 [14, 2, 0, 0, 0]    |0.6954041149454196  |0.5765102601922231  |75        
 [14, 2, 0, 0, 0]    |1.0938471122122313  |0.9068311068614836  |75        
 [14, 8, 9, 0, 0]    |0.9337557379879431  |0.49606892637154526 |253       
 [16, 11, 0, 0, 0]   |1.0699422951250424  |0.5770102301298436  |247       
 [13, 8, 9, 0, 0]    |1.6463053537952173  |0.8990052521476072  |242       
 [14, 12, 0, 0, 0]   |0.8199924922027952  |0.4556819938698312  |235       
Increasing Epochs
Gen 4 Train time: 14.337466899553934 minutes:
 Average MSE:        0.6316880694493948
 Average Error:      1.0509637305306752
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6572581355303989  |0.5586799906323845  |65        
 [14, 3, 0, 0, 0]    |0.741688281369008   |0.5907713458723554  |91        
 [14, 12, 3, 0, 0]   |1.277659328983826   |0.6587110912941976  |265       
 [14, 12, 0, 0, 0]   |0.9126800508189582  |0.5071898453669574  |235       
 [14, 2, 6, 0, 0]    |0.5559877225535246  |0.4362634099866076  |97        
 [14, 7, 14, 1, 0]   |2.5107000464694935  |1.2593070599121314  |276       
 [13, 12, 9, 0, 0]   |2.2743545518383006  |0.986784401773605   |334       
 [14, 8, 0, 0, 0]    |0.8960857469488285  |0.5843710309809789  |171       
 [14, 2, 0, 0, 0]    |0.6414470140145018  |0.5317782523878933  |75        
 [14, 2, 16, 0, 0]   |0.8344440716779161  |0.5924495494033841  |137       
 [14, 7, 0, 0, 0]    |0.7098155996888115  |0.48178849830592857 |155       
 [17, 16, 0, 0, 0]   |1.158591481833557   |0.4757822571048148  |356       
 [13, 0, 0, 0, 0]    |0.6123280074808997  |0.5363398983879251  |53        
 [17, 6, 0, 0, 0]    |0.6000386843581995  |0.39622971326294204 |166       
 [14, 3, 11, 0, 0]   |0.6841122975670795  |0.4784836695442782  |143       
 [17, 13, 0, 0, 0]   |0.847514998173083   |0.4013398345271645  |299       
 [14, 0, 0, 0, 0]    |0.5403259102158254  |0.46856390460079816 |57        
 [14, 8, 9, 0, 0]    |0.9291886455496434  |0.4936426037795269  |253       
 [16, 5, 0, 0, 0]    |0.5914921925468974  |0.41786085064836875 |139       
 [3, 9, 10, 0, 0]    |2.0195424534709017  |1.3673451014633637  |156       
 [14, 2, 13, 1, 0]   |1.8291804390610176  |1.331582412760547   |127       
 [14, 7, 11, 0, 0]   |1.0386762119394957  |0.5601487134514673  |247       
 [16, 7, 0, 0, 0]    |0.8275979323095052  |0.5343373854704023  |175       
 [16, 15, 0, 0, 0]   |1.1232970316664352  |0.5059932949598498  |319       
 [14, 8, 14, 0, 0]   |1.023739875086081   |0.4799671888929792  |303       
 [17, 5, 16, 0, 0]   |1.4873102826453628  |0.7881785009134111  |254       
Gen 5 Train time: 14.288131403923035 minutes:
 Average MSE:        0.6742044849987118
 Average Error:      1.3473419468289547
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.656989400661973   |0.5697330315559908  |57        
 [14, 2, 6, 0, 0]    |0.8490690332774455  |0.6662336896045234  |97        
 [14, 7, 0, 0, 0]    |0.8827939431326867  |0.5991978316085613  |155       
 [14, 14, 0, 0, 0]   |1.2006955319834665  |0.6159441401538815  |267       
 [14, 8, 20, 17, 0]  |3.462821903838915   |0.5767097544847082  |717       
 [14, 3, 0, 0, 0]    |0.48612957538201507 |0.38721310654483015 |91        
 [16, 0, 0, 0, 0]    |0.4716275080552476  |0.40089097043986904 |65        
 [13, 3, 0, 0, 0]    |0.6089673369810132  |0.49238682261880057 |85        
 [10, 0, 0, 0, 0]    |0.6665596430956705  |0.6016221693652607  |41        
 [16, 7, 0, 0, 0]    |0.6941674632934952  |0.448188199769633   |175       
 [14, 8, 6, 0, 0]    |0.6394378547516734  |0.3661669725146595  |223       
 [11, 2, 0, 0, 0]    |0.8038329715558881  |0.6918654503316095  |60        
 [16, 5, 0, 0, 0]    |0.6595555632891358  |0.46594435598405753 |139       
 [20, 9, 0, 0, 0]    |1.104880106919816   |0.5782417926256092  |259       
 [13, 0, 0, 0, 0]    |0.5952497629323408  |0.5213810138784591  |53        
 [13, 0, 0, 0, 0]    |0.6362537398040489  |0.5572965175304111  |53        
 [14, 3, 11, 0, 0]   |0.9165958210650108  |0.6410879230089167  |143       
 [14, 2, 16, 0, 0]   |0.8996714745312653  |0.6387605566246515  |137       
 [4, 9, 14, 10, 0]   |6.958902434008358   |2.843460412736111   |358       
 [14, 2, 19, 8, 0]   |2.0654937446673105  |0.9805607269049037  |298       
 [13, 12, 0, 0, 0]   |0.6314684213154923  |0.3643255859392386  |220       
