/tmp/tmp.AdTj6oQp75 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k.mat
  Evaluating with: datasets/N2dataset100k.mat
Gen 0 Train time: 10.760400334993998 minutes:
 Average MSE:        1.2127998864392335
 Average Error:      2.3972563762186407
 Structure           |Error               |MSE                 |weights&biases
 [1, 16, 11, 1, 18]  |7.117984704079416   |3.4560441929729486  |289       
 [9, 0, 0, 0, 0]     |1.1546422108154903  |1.0526286604362034  |37        
 [20, 11, 0, 0, 0]   |0.917392054671903   |0.4301073898841768  |303       
 [3, 0, 0, 0, 0]     |2.909116534580576   |2.816090114649448   |13        
 [5, 20, 7, 15, 6]   |9.228914089177925   |2.6112822688820176  |505       
 [10, 15, 3, 0, 0]   |0.7812623855643067  |0.421327758459691   |247       
 [9, 0, 0, 0, 0]     |0.667930275786546   |0.6089181089000799  |37        
 [1, 4, 6, 12, 0]    |2.3933807742536284  |1.6950409779249416  |138       
 [2, 15, 3, 20, 0]   |5.464082522971731   |3.3141335773823144  |200       
 [18, 4, 11, 19, 0]  |1.3394758333456738  |0.45374422003058845 |433       
 [15, 10, 9, 17, 0]  |1.2847022389247178  |0.37550892896767707 |492       
 [19, 3, 10, 6, 6]   |0.9265235031669934  |0.469392550530492   |272       
 [8, 0, 0, 0, 0]     |0.8866934467479073  |0.8164774676381464  |33        
 [4, 10, 10, 9, 4]   |6.096712900467586   |2.766961418208009   |316       
 [16, 4, 7, 15, 12]  |1.359527384364235   |0.4135971394045875  |476       
 [17, 8, 5, 4, 2]    |2.466674763844067   |1.2341358322423612  |277       
 [4, 8, 9, 0, 0]     |2.0750797020346665  |1.4513578457183607  |143       
 [17, 0, 0, 0, 0]    |0.5138958614415586  |0.4324733217822102  |69        
 [20, 15, 15, 2, 0]  |2.7245711148952054  |0.5364998624469736  |650       
 [16, 16, 13, 8, 0]  |3.497060419324088   |0.6682604644548542  |662       
 [2, 0, 0, 0, 0]     |2.299778698287547   |2.24861146752153    |9         
 [18, 0, 0, 0, 0]    |0.5761911829864701  |0.4800736456312256  |73        
 [16, 17, 1, 15, 0]  |1.5745318902131409  |0.5777916257095144  |401       
 [18, 6, 4, 17, 0]   |1.139060301067961   |0.5394008055698343  |299       
 [13, 2, 0, 0, 0]    |0.5362246124526763  |0.4501375156326464  |70        
Gen 1 Train time: 10.900316015879314 minutes:
 Average MSE:        0.6448925778031676
 Average Error:      1.250836802862478
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.5196152050543467  |0.4372864828061146  |69        
 [13, 2, 0, 0, 0]    |0.6375165234698055  |0.5351677214831054  |70        
 [17, 4, 7, 15, 12]  |1.779682493046288   |0.5320248786789701  |483       
 [16, 0, 0, 0, 0]    |0.45006293379164974 |0.38256073533695034 |65        
 [11, 3, 10, 6, 0]   |0.9668329072722324  |0.6134051733643455  |182       
 [13, 2, 10, 6, 0]   |1.0678885424773712  |0.6981532629580567  |170       
 [6, 0, 0, 0, 0]     |1.4235634018360122  |1.337314055427939   |25        
 [13, 14, 8, 11, 0]  |1.2398600473380084  |0.386740446513595   |466       
 [4, 6, 9, 0, 0]     |1.0536790616499172  |0.7904031937845385  |115       
 [13, 2, 1, 0, 0]    |0.6441404651644603  |0.5380313425164739  |72        
 [18, 15, 3, 0, 0]   |1.23036714187365    |0.4629263143531901  |391       
 [10, 6, 4, 17, 3]   |6.3249045138852615  |3.2446092856903435  |267       
 [16, 17, 1, 15, 0]  |1.345364813868702   |0.4936962711325895  |401       
 [15, 10, 9, 17, 17] |3.9670316514891146  |0.5395704711145849  |798       
 [18, 0, 0, 0, 0]    |0.5199597301941377  |0.4332224626588734  |73        
 [9, 0, 0, 0, 0]     |0.5710857967641193  |0.5206299160130203  |37        
 [17, 7, 0, 0, 0]    |0.6376376359300433  |0.4015251426533394  |185       
 [9, 19, 0, 0, 0]    |0.8232471150685189  |0.4552088920174361  |237       
