/tmp/tmp.b6FgfA1gUp ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.486353027820584 minutes:
 Average MSE:        1.1185869005801143
 Average Error:      4.008310404564271
 Structure           |Error               |MSE                 |weights&biases
 [14, 6, 0, 0, 0]    |0.5730053955964988  |0.4048008157116527  |139       
 [8, 14, 0, 0, 0]    |1.8742329581943378  |1.2407294673383877  |165       
 [18, 12, 0, 0, 0]   |0.38664347009396144 |0.1849347393357489  |295       
 [17, 5, 0, 0, 0]    |0.8186435805493181  |0.5668806572577204  |147       
 [19, 18, 0, 0, 0]   |0.9952137145670673  |0.33460726560059306 |436       
 [17, 0, 0, 0, 0]    |0.29481107115985866 |0.24810070056805653 |69        
 [14, 19, 18, 0, 0]  |2.634350539566842   |0.4509660033433178  |706       
 [14, 15, 1, 15, 10] |1.4329596520488261  |0.42730466977375803 |484       
 [9, 11, 1, 8, 10]   |0.961492254232104   |0.49447001344654595 |266       
 [15, 10, 14, 3, 0]  |1.2751385660897958  |0.4598085149515348  |408       
 [5, 8, 0, 0, 0]     |1.156437695366125   |0.9659379582924276  |72        
 [7, 16, 20, 0, 0]   |3.2934318314380198  |0.9202868454299284  |510       
 [19, 11, 16, 9, 0]  |1.8076669743723843  |0.3723343825680764  |632       
 [16, 15, 17, 0, 0]  |1.7336634159787914  |0.3936617468630779  |593       
 [15, 0, 0, 0, 0]    |0.3173652434376649  |0.2724767523860435  |61        
 [2, 11, 13, 1, 0]   |6.590062727990753   |3.888653163174632   |211       
 [1, 14, 14, 19, 15] |60.76457125973151   |7.403900156813568   |842       
 [12, 0, 0, 0, 0]    |0.3966873010730669  |0.35095159767543577 |49        
 [3, 17, 1, 0, 0]    |1.553768710544806   |1.2191859792866466  |97        
 [11, 12, 9, 17, 8]  |2.4202015550506113  |0.5175499814012108  |617       
 [17, 2, 9, 3, 20]   |0.8710839439615259  |0.47212243528725517 |245       
 [10, 9, 0, 0, 0]    |0.5486442122696619  |0.3875908086887015  |139       
 [12, 14, 4, 0, 0]   |0.8894776174254925  |0.4384011433744671  |283       
 [13, 15, 4, 9, 0]   |0.9441384981171508  |0.3762571689206203  |368       
 [1, 11, 0, 0, 0]    |5.674067925250582   |5.172759547013453   |37        
Gen 1 Train time: 60.50982953310013 minutes:
 Average MSE:        0.42593498294054444
 Average Error:      0.8095614027264233
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6155664009206792  |0.5180350070088287  |69        
 [15, 0, 0, 0, 0]    |0.2919586382837654  |0.2506636855659247  |61        
 [17, 2, 0, 0, 0]    |0.6364544919513749  |0.5082192343254323  |90        
 [16, 9, 9, 3, 20]   |1.822186444463472   |0.6344715211021862  |422       
 [15, 10, 0, 0, 0]   |0.47093972531271666 |0.27443930189947235 |216       
 [9, 11, 1, 8, 0]    |0.9685847694855693  |0.6269306983579319  |174       
 [18, 6, 0, 0, 0]    |0.2602904626765098  |0.16805615367032278 |175       
 [17, 4, 0, 0, 0]    |0.40141250630463965 |0.29148530492245095 |128       
