/tmp/tmp.IFZm3QS0Bg ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 60.36436319748561 minutes:
 Average MSE:        1.029714449905887
 Average Error:      1.8038847686310715
 Structure           |Error               |MSE                 |weights&biases
 [15, 2, 2, 3, 2]    |0.80329095821375    |0.6209291512829808  |103       
 [19, 1, 1, 17, 0]   |2.5720189423001583  |1.8537139573176056  |131       
 [18, 18, 15, 0, 0]  |3.532688702828694   |0.6185107251051405  |697       
 [8, 16, 15, 5, 0]   |2.618402866671736   |0.7334942937013254  |509       
 [10, 8, 14, 14, 0]  |2.3876429054021413  |0.7391951256587926  |469       
 [6, 19, 3, 9, 0]    |2.271999721105022   |1.1950169604235679  |257       
 [12, 0, 0, 0, 0]    |0.5380356596993437  |0.47600332520617206 |49        
 [10, 7, 9, 16, 15]  |2.5877801043399318  |0.5631554412412785  |610       
 [8, 0, 0, 0, 0]     |1.0420651998146013  |0.9595455549818215  |33        
 [13, 8, 0, 0, 0]    |0.6604910117098874  |0.4427403653754977  |160       
 [3, 0, 0, 0, 0]     |1.767864637652548   |1.7113326575105536  |13        
 [10, 6, 0, 0, 0]    |0.48518319068985694 |0.3750376917994105  |103       
 [20, 0, 0, 0, 0]    |0.2811385309570163  |0.22960203797008574 |81        
 [19, 10, 3, 7, 13]  |0.9461737877537428  |0.3181192333557823  |436       
 [11, 5, 17, 4, 18]  |1.5155852852548812  |0.5920297992803409  |376       
 [9, 9, 8, 13, 12]   |2.2548275312113804  |0.6541448212600673  |495       
 [4, 1, 12, 4, 1]    |6.1132565407387505  |4.761008981043727   |100       
 [20, 1, 0, 0, 0]    |0.6441641276900335  |0.5234563000361377  |83        
 [12, 2, 14, 9, 3]   |1.4413335707469943  |0.7283808483982399  |273       
 [1, 0, 0, 0, 0]     |5.258642405374482   |5.193318500283584   |5         
 [16, 9, 11, 17, 0]  |1.0996143107985126  |0.2900968320175073  |533       
 [19, 16, 16, 1, 15] |1.6374403997254465  |0.27613491527244777 |712       
 [20, 8, 3, 20, 0]   |0.8468428054991652  |0.34776086975516785 |356       
 [8, 0, 0, 0, 0]     |0.8222245950348976  |0.757113811595313   |33        
 [7, 7, 0, 0, 0]     |0.9684114245638217  |0.783019047774632   |85        
Gen 1 Train time: 61.30256345669429 minutes:
 Average MSE:        0.5064906074880914
 Average Error:      0.886546991928334
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.19322859466377276 |0.15780718131333268 |81        
 [10, 6, 0, 0, 0]    |0.5417235238295587  |0.4187423304620433  |103       
 [16, 9, 11, 17, 0]  |1.2667329476377251  |0.33418555170953684 |533       
 [20, 13, 0, 0, 0]   |0.5591855959542018  |0.23485808363077024 |347       
 [13, 2, 3, 20, 0]   |1.2139262716933759  |0.7798606407815895  |177       
 [20, 8, 3, 20, 0]   |0.6976924862081719  |0.28651143311347227 |356       
 [12, 0, 0, 0, 0]    |0.36547113163365436 |0.3233344682426712  |49        
 [10, 6, 12, 0, 0]   |0.6781458527956574  |0.4185776376920892  |193       
 [20, 1, 3, 0, 0]    |1.175250012517457   |0.9361129858353625  |91        
 [20, 3, 0, 0, 0]    |0.6036913193874449  |0.43946716598674307 |127       
 [19, 10, 3, 7, 0]   |0.7382743489135716  |0.32678926121124274 |326       
 [10, 6, 13, 0, 0]   |1.2861687694046868  |0.7781529760130208  |201       
 [12, 0, 0, 0, 0]    |0.6512685892495879  |0.5761811666133225  |49        
 [20, 13, 0, 0, 0]   |0.37153868968497294 |0.15604633825590672 |347       
 [12, 12, 0, 0, 0]   |1.0164228298561304  |0.6088334277720712  |205       
 [20, 1, 0, 0, 0]    |1.4021438290082073  |1.1394006423225034  |83        
 [7, 5, 17, 4, 18]   |2.393095350650281   |1.0126672117660962  |344       
 [11, 7, 0, 0, 0]    |0.548863986712169   |0.40155747084458476 |125       
 [6, 19, 0, 0, 0]    |1.2632868680334257  |0.8238366160951578  |171       
 [10, 6, 3, 9, 0]    |1.0408269996864203  |0.6924741218156275  |163       
 [19, 8, 3, 16, 12]  |1.3051932697837525  |0.35128800294820167 |525       
 [20, 8, 3, 20, 8]   |1.6522649082599483  |0.45939127472614044 |512       
 [14, 0, 0, 0, 0]    |0.43496238193263637 |0.3771939641972966  |57        
 [20, 5, 0, 0, 0]    |0.35963269813739623 |0.23452993343618336 |171       
 [7, 8, 0, 0, 0]     |0.9187073022388664  |0.7263032124911042  |94        
 [20, 11, 0, 0, 0]   |0.37252323226360645 |0.17465269541430656 |303       
Gen 2 Train time: 60.8818122347196 minutes:
 Average MSE:        0.43670251099429874
 Average Error:      0.8998130219597518
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.34994937589808    |0.28579892488960706 |81        
 [20, 5, 0, 0, 0]    |0.4439932225299218  |0.2895445866445569  |171       
 [20, 9, 11, 17, 0]  |1.2050528058401377  |0.2819637924813655  |581       
 [16, 13, 0, 0, 0]   |0.4156825339263298  |0.20487946473747415 |283       
 [15, 5, 13, 0, 0]   |0.5196743352095354  |0.30208315795504864 |217       
 [20, 11, 0, 0, 0]   |0.582042611044157   |0.272883144085116   |303       
 [20, 13, 0, 0, 0]   |0.5651547405573998  |0.23736512578737265 |347       
 [20, 13, 0, 0, 0]   |0.4103470213073359  |0.17234584679060452 |347       
 [20, 11, 4, 0, 0]   |0.747126784153984   |0.3161557257379632  |344       
 [20, 5, 5, 0, 0]    |0.4279845398836546  |0.25893759148900664 |201       
 [20, 16, 0, 0, 0]   |0.5975787992372157  |0.2128071074708195  |413       
 [20, 11, 20, 0, 0]  |1.0399284653266672  |0.26162369859253604 |552       
 [10, 6, 0, 0, 0]    |0.6708803913619675  |0.5185782159767998  |103       
 [20, 16, 9, 19, 0]  |4.4238843813751     |0.6633305336754698  |759       
 [20, 8, 3, 20, 8]   |2.0883758950156195  |0.5806463961816659  |512       
 [20, 6, 0, 0, 0]    |0.419963414471614   |0.2592175314822741  |193       
 [10, 6, 13, 0, 0]   |0.9613635434128824  |0.5816405437082846  |201       
 [10, 6, 13, 0, 0]   |1.143337417864912   |0.6917376906223781  |201       
 [20, 5, 7, 0, 0]    |0.30053336444490436 |0.17557367889677625 |215       
 [12, 0, 0, 0, 0]    |0.8286184354277113  |0.7330836227679268  |49        
 [10, 6, 13, 0, 0]   |0.9559824552512508  |0.5783848980521549  |201       
 [12, 12, 0, 0, 0]   |0.7373818410951931  |0.4416889317159599  |205       
 [14, 6, 0, 0, 0]    |0.30566294166755825 |0.21593620072468117 |139       
 [2, 0, 0, 0, 0]     |2.6012515926169852  |2.5433769629323937  |9         
 [20, 12, 0, 0, 0]   |0.3233139185954236  |0.14346968168849245 |325       
 [20, 14, 0, 0, 0]   |0.3300737434379987  |0.13121223076504127 |369       
Increasing Epochs
Gen 3 Train time: 70.88662941058477 minutes:
 Average MSE:        0.6128021188595005
 Average Error:      0.9498406735940932
 Structure           |Error               |MSE                 |weights&biases
 [20, 5, 7, 0, 0]    |0.38154092957952934 |0.22289886109551924 |215       
 [14, 6, 0, 0, 0]    |0.5125241754809232  |0.36207373595608716 |139       
 [12, 0, 0, 0, 0]    |0.6901846926546682  |0.6106104730931883  |49        
 [2, 14, 0, 0, 0]    |2.4666228067271763  |2.1071786717048964  |63        
 [20, 14, 0, 0, 0]   |0.35779066720141905 |0.14223037282948603 |369       
 [14, 6, 12, 0, 0]   |0.7731482729916835  |0.43614329394425705 |229       
 [20, 5, 7, 18, 0]   |1.1482199222077165  |0.45530527516320374 |370       
 [4, 5, 13, 0, 0]    |1.3735374200378079  |0.9949025070147526  |129       
 [20, 13, 20, 0, 0]  |1.1407912082052705  |0.23380264052871502 |634       
 [20, 12, 0, 0, 0]   |0.47068474838042923 |0.2088650909900054  |325       
 [1, 6, 12, 0, 0]    |6.9350321593680375  |5.2413845525229545  |112       
 [20, 5, 5, 0, 0]    |0.3883219919537905  |0.23494110639151183 |201       
 [12, 6, 0, 0, 0]    |0.5216744912737242  |0.3855010101797978  |121       
 [12, 14, 0, 0, 0]   |0.8289984899510057  |0.4629959624338132  |233       
 [20, 6, 13, 0, 0]   |0.412073082266404   |0.19907879831100292 |291       
 [20, 0, 0, 0, 0]    |0.24208147868424487 |0.1977046713287855  |81        
 [20, 5, 5, 8, 0]    |0.529026181845169   |0.28175500696872086 |252       
 [15, 5, 13, 0, 0]   |0.5583811371976916  |0.3245831587953988  |217       
 [10, 6, 0, 0, 0]    |0.4959640528494235  |0.38337110016457376 |103       
 [16, 13, 0, 0, 0]   |0.4593989714798106  |0.22642619714787107 |283       
 [20, 6, 0, 0, 0]    |0.26151006905896135 |0.1614140475653383  |193       
 [10, 11, 0, 0, 0]   |0.5024277671390613  |0.33427094697795956 |163       
 [15, 0, 0, 0, 0]    |0.5938250687938221  |0.5098337942672039  |61        
 [11, 5, 13, 0, 0]   |0.8074514072370689  |0.5084581323428559  |185       
 [20, 12, 5, 0, 0]   |0.8594570659549214  |0.32990372557857367 |383       
 [20, 5, 7, 10, 8]   |0.9851892549266652  |0.3772219570505412  |384       
Increasing Epochs
Gen 4 Train time: 81.610231701533 minutes:
 Average MSE:        0.3511734733289352
 Average Error:      0.6673809995514416
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.1584951985192752  |0.1294408861873962  |81        
 [20, 6, 0, 0, 0]    |0.33042140929489694 |0.20394877057107702 |193       
 [11, 5, 4, 0, 0]    |0.4158916983217313  |0.3065634920483794  |122       
 [20, 12, 5, 0, 0]   |0.40512637822282005 |0.1555082933169727  |383       
 [9, 6, 13, 0, 0]    |0.9697868457152086  |0.6000879937206354  |192       
 [4, 5, 0, 0, 0]     |1.1851358363972304  |1.064342670583448   |43        
 [20, 6, 8, 0, 0]    |0.44068524718288216 |0.23529284691379776 |251       
 [20, 5, 7, 0, 0]    |0.42012868753395527 |0.2454420973080794  |215       
 [20, 6, 13, 0, 0]   |0.3596653695584559  |0.17375983204719464 |291       
 [20, 14, 0, 0, 0]   |0.33592748264963124 |0.1335392325200881  |369       
 [20, 6, 7, 0, 0]    |0.4384154796788685  |0.23880971051668504 |243       
 [20, 15, 5, 8, 0]   |0.744632454000417   |0.20703559734011318 |512       
 [12, 6, 0, 0, 0]    |0.2753171274640827  |0.20345068147392825 |121       
 [20, 7, 19, 0, 0]   |0.43778351077606636 |0.16973264464788174 |379       
 [20, 1, 0, 0, 0]    |0.7005257626395592  |0.5692565109241038  |83        
 [20, 14, 16, 0, 0]  |0.7756375426308042  |0.16837360116251068 |611       
 [4, 5, 13, 18, 0]   |4.1877328263645195  |1.595455851841813   |386       
 [10, 14, 4, 0, 0]   |0.9850363408594256  |0.5285717378851963  |249       
 [20, 2, 0, 0, 0]    |0.5347439529606764  |0.411285672408723   |105       
 [16, 13, 0, 0, 0]   |0.3319016692012192  |0.1635859839698519  |283       
 [12, 5, 5, 8, 0]    |0.7632658311352318  |0.4770428757622008  |188       
