/tmp/tmp.IpKkq7wh6p ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k.mat
  Evaluating with: datasets/N1dataset100k.mat
Gen 0 Train time: 64.75336556434631 minutes:
 Average MSE:        1.076858081418535
 Average Error:      1.7625333589812684
 Structure           |Error               |MSE                 |weights&biases
 [3, 16, 7, 4, 0]    |2.784639960300839   |1.5708526904353275  |229       
 [12, 0, 0, 0, 0]    |0.443689899416517   |0.39253507397757287 |49        
 [8, 13, 0, 0, 0]    |0.7460715359946212  |0.5063972743248121  |155       
 [19, 20, 0, 0, 0]   |0.7375221116572369  |0.22325085949540951 |478       
 [4, 1, 5, 11, 17]   |2.656053468772358   |1.2084534030297198  |315       
 [18, 9, 11, 15, 14] |1.872021398415372   |0.2842272481531733  |754       
 [6, 0, 0, 0, 0]     |0.9342682726544094  |0.8776638195037343  |25        
 [14, 0, 0, 0, 0]    |0.6529955375991902  |0.5662696032143979  |57        
 [1, 12, 0, 0, 0]    |5.689292019232971   |5.147884301135352   |40        
 [16, 0, 0, 0, 0]    |0.48737436307807125 |0.4142760505797158  |65        
 [11, 9, 0, 0, 0]    |0.5081137102085428  |0.34834914307654447 |151       
 [7, 2, 0, 0, 0]     |1.3482159060956247  |1.2199161994265766  |40        
 [18, 14, 5, 7, 19]  |2.015174098068691   |0.4396420493753711  |609       
 [10, 7, 0, 0, 0]    |0.690647947447289   |0.5180802801455348  |115       
 [13, 2, 0, 0, 0]    |0.7101883166074191  |0.5961725684443626  |70        
 [13, 19, 0, 0, 0]   |0.8233021217810764  |0.3653381019243983  |325       
 [3, 0, 0, 0, 0]     |1.7051187662603982  |1.6505932453687246  |13        
 [1, 4, 11, 0, 0]    |6.313285242754205   |5.194789903931763   |78        
 [20, 12, 10, 14, 0] |1.7490874503102591  |0.3796878523414531  |611       
 [4, 10, 18, 8, 0]   |3.923692909296188   |1.3696199314227173  |421       
 [4, 14, 15, 3, 0]   |3.65110489574184    |1.4881441890339442  |359       
 [15, 4, 5, 1, 0]    |0.9128146416413929  |0.6400413852908946  |142       
 [18, 4, 13, 15, 0]  |1.0095665038016148  |0.35240331944108894 |421       
 [9, 15, 0, 0, 0]    |1.2716842458253148  |0.784932305216355   |193       
 [11, 0, 0, 0, 0]    |0.42740865157027175 |0.38193123717442273 |45        
